rank_by_sharpe,strategy,total_pnl,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,day_std_pnl,day_sharpe,min_day_pnl,total_own_trades
1,v24_partial_hedge,706155.00,228508.50,307599.00,170047.50,235385.00,69033.10,3.409741,170047.50,6696
2,v17_hp_mr500,709202.00,228889.50,312604.00,167708.50,236400.67,72739.19,3.249977,167708.50,6764
3,v18_both_mr_smaller,712868.00,229667.50,314391.00,168809.50,237622.67,73116.05,3.249939,168809.50,6730
4,v16_hp_smaller_mr,714767.00,229525.50,316469.00,168772.50,238255.67,74234.26,3.209511,168772.50,6734
5,v25_worst_mid_fair,714323.00,229384.50,316640.00,168298.50,238107.67,74554.48,3.193741,168298.50,6732
6,v13_dual_informed,713784.00,229114.50,316700.00,167969.50,237928.00,74755.93,3.182731,167969.50,6701
7,v19_vfe_mr_3000,716239.00,229510.50,318073.00,168655.50,238746.33,75135.70,3.177535,168655.50,6730
8,v11_hybrid_plus_informed,713432.00,229106.50,316700.00,167625.50,237810.67,74917.44,3.174303,167625.50,6700
9,v12_hybrid_strong_informed,713432.00,229106.50,316700.00,167625.50,237810.67,74917.44,3.174303,167625.50,6700
10,v14_high_conviction,713432.00,229106.50,316700.00,167625.50,237810.67,74917.44,3.174303,167625.50,6700
11,v26_worst_mid_target,713544.00,228258.50,318691.00,166594.50,237848.00,76500.36,3.109110,166594.50,6701
