strategy,total_pnl,day_0_pnl,day_1_pnl,day_2_pnl,min_day_pnl,max_day_pnl,mean_day_pnl,day_std_pnl,day_sharpe,total_own_trades,features,docstring_excerpt,path
v19_vfe_mr_3000,716239.00,229510.50,318073.00,168655.50,168655.50,318073.00,238746.33,75135.70,3.177535,6730,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v19_vfe_mr_3000.py
v16_hp_smaller_mr,714767.00,229525.50,316469.00,168772.50,168772.50,316469.00,238255.67,74234.26,3.209511,6734,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v16_hp_smaller_mr.py
v25_worst_mid_fair,714323.00,229384.50,316640.00,168298.50,168298.50,316640.00,238107.67,74554.48,3.193741,6732,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v25 — v16 with worst-mid as the Kalman observation (P3 winner trick). CHRIS'S P3 INSIGHT (verbatim from his round-1 walkthrough video): ""The way they actually calculate the price... it's the mid price of the worst bid and the worst ask, right? It's consistently that... we",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v25_worst_mid_fair.py
v13_dual_informed,713784.00,229114.50,316700.00,167969.50,167969.50,316700.00,237928.00,74755.93,3.182731,6701,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus",Round 3 v13 — v12 + HP informed-flow + LOWERED VFE threshold for 15x events. Empirical re-mining of trade CSV (3 days): HYDROGEL_PACK qty distribution: 2-6 (uniform). qty>=3 has 778 events with +1.5 mid move over 500t — usable informed signal we missed in v12.,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v13_dual_informed.py
v26_worst_mid_target,713544.00,228258.50,318691.00,166594.50,166594.50,318691.00,237848.00,76500.36,3.109110,6701,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v25 — v16 with worst-mid as the Kalman observation (P3 winner trick). CHRIS'S P3 INSIGHT (verbatim from his round-1 walkthrough video): ""The way they actually calculate the price... it's the mid price of the worst bid and the worst ask, right? It's consistently that... we",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v26_worst_mid_target.py
v11_hybrid_plus_informed,713432.00,229106.50,316700.00,167625.50,167625.50,316700.00,237810.67,74917.44,3.174303,6700,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v11_hybrid_plus_informed.py
v12_hybrid_strong_informed,713432.00,229106.50,316700.00,167625.50,167625.50,316700.00,237810.67,74917.44,3.174303,6700,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v12_hybrid_strong_informed.py
v14_high_conviction,713432.00,229106.50,316700.00,167625.50,167625.50,316700.00,237810.67,74917.44,3.174303,6700,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v14_high_conviction.py
v18_both_mr_smaller,712868.00,229667.50,314391.00,168809.50,168809.50,314391.00,237622.67,73116.05,3.249939,6730,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v18_both_mr_smaller.py
v17_hp_mr500,709202.00,228889.50,312604.00,167708.50,167708.50,312604.00,236400.67,72739.19,3.249977,6764,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v17_hp_mr500.py
