product,signal,source_family,description,n,nonzero_n,coverage,corr_fwd1,abs_corr_fwd1,direction,directed_corr_fwd1,directed_corr_fwd5,directed_corr_fwd10,directed_hit_rate,directed_quantile_edge,directed_z_proxy_pnl,mean_signal,std_signal,positive_day_fraction,day_corr_min,day_corr_median
VEV_4000,micro_edge_l3,microprice,Three-level microprice minus mid.,29997,17063,0.9999,0.5147058209557294,0.5147058209557294,positive,0.5147058209557294,0.30604663312170166,0.22207482297358355,0.6625588361146769,0.9836502400464497,21872.64644918054,0.005723928065891869,0.6113963902252639,1.0,0.5081670579914908,0.5154399312418835
VEV_4000,micro_l1_plus_inv_imb_l3,composite_book,Level-1 microprice edge plus inverted three-level imbalance.,29997,29997,0.9999,0.5013735840577208,0.5013735840577208,positive,0.5013735840577208,0.2953902580598013,0.21488156902279895,0.5087983911513323,0.0976882647981262,21306.0997299917,-0.0033527154576511817,1.2637573539230749,1.0,0.49766896081997886,0.49935839745218374
VEV_4000,book_slope_skew,book_shape,Bid-side versus ask-side level spacing.,29997,17063,0.9999,-0.4941594290317876,0.4941594290317876,inverted,0.4941594290317876,0.29546804320940884,0.21444845837261303,0.6625588361146769,0.8418410850135807,21000.893115090075,-0.011633333333333334,1.317885639818902,1.0,0.4855356957188567,0.4968491897005651
VEV_4000,micro_l3_plus_ofi_10,composite_book,Three-level microprice edge plus rolling top-of-book OFI.,29997,29997,0.9999,0.4865560653936453,0.4865560653936453,positive,0.4865560653936453,0.2891760621671817,0.21030533444018676,0.5708670414552768,0.8688333333333333,20676.198696254316,0.00868785931585316,1.9910604334305895,1.0,0.48115995252487165,0.4863629034717841
VEV_4000,imbalance_l1,book_imbalance,Top-of-book volume imbalance.,29997,549,0.9999,0.4827603218532406,0.4827603218532406,positive,0.4827603218532406,0.28377206433762825,0.20530188457103388,0.9963503649635036,0.0976882647981262,20521.163199423703,0.00017967109830886925,0.07217227605760755,1.0,0.4802424848309834,0.4809583382395961
VEV_4000,micro_edge_l1,microprice,Level-1 microprice minus mid.,29997,549,0.9999,0.4802430922170443,0.4802430922170443,positive,0.4802430922170443,0.2826548194125441,0.20428823889051706,0.9963503649635036,0.0976882647981262,20416.14790522662,-0.0014677259427879107,0.38044246697843265,1.0,0.47750285735118275,0.47771377639560425
VEV_4000,wall_skew_1,book_walls,Top-level wall concentration skew.,29997,549,0.9999,0.48017027669542406,0.48017027669542406,positive,0.48017027669542406,0.28246990999033833,0.20471468790654357,0.9963503649635036,0.0976882647981262,20409.38113414443,3.2527950546168844e-05,0.03280538497727272,1.0,0.4759854413990284,0.48006323608274326
VEV_4000,depth_ratio_l3,book_depth,Log bid/ask depth ratio across three levels.,29997,549,0.9999,-0.4755734011882356,0.4755734011882356,inverted,0.4755734011882356,0.2805674052679421,0.205860587803011,0.9963503649635036,0.0976882647981262,20218.125754609242,-6.904545845922809e-05,0.013978468588118957,1.0,0.4699158093033598,0.4749716603508017
VEV_4000,imbalance_l3,book_imbalance,Three-level volume imbalance.,29997,549,0.9999,-0.475387410701138,0.475387410701138,inverted,0.475387410701138,0.28045451903172364,0.205754971740552,0.9963503649635036,0.0976882647981262,20210.627426855586,-3.548026570613978e-05,0.007188637075481855,1.0,0.4697697357716065,0.47481859263727233
VEV_4000,book_pressure_3,book_imbalance,Three-level imbalance scaled by spread.,29997,549,0.9999,-0.47371789152967775,0.47371789152967775,inverted,0.47371789152967775,0.279772312759757,0.20525565766196044,0.9963503649635036,0.0976882647981262,20139.657489178164,9.830644222107981e-05,0.07557029335514376,1.0,0.46902530239099305,0.47242233023124564
