strategy,description,mode,n,corr_signal_next_return,corr_signal_next_return_pct,hit_rate,proxy_pnl
best_bid_ask_mid_quote,Midpoint / inside spread quoting.,mid,359988,-0.035348621297708355,-0.009357949562693172,0.29059784260899646,-176103.25
wall_mid_reversion,Wall-mid reversion anchor.,wall_mid,359988,nan,nan,nan,0.0
volume_imbalance,Top-of-book imbalance signal.,imbalance,359988,-0.2155389270038063,-0.03468773720583959,0.048593642808140866,-974.6934354413595
microprice,Microprice edge signal.,microprice,359988,0.203693636010469,0.07155875915064029,0.46201215395003375,37264.189001535735
over_underbid,One-tick book improvement logic.,quote_improve,359988,0.0064931170289448305,0.004831854886371491,0.24269420091780838,14231.5
take_favorable_levels,Take favorable visible liquidity.,take,359988,0.14388327205697618,0.025886388667902438,0.4663470260463911,17011.5
hybrid_book_signal,"Blend wall-mid, imbalance, and microprice.",hybrid,359988,0.19435559707147465,0.07032054454255483,0.45826584602094805,17657.401065326507
micro_invimb_0.25_0.25,Blend microprice edge with inverted imbalance.,blend,359988,0.20812954025893787,0.07210721929588874,0.46204308622644563,9559.720609244272
micro_invimb_0.25_0.5,Blend microprice edge with inverted imbalance.,blend,359988,0.2124040497415671,0.07260873144157869,0.46205863297700034,9803.393968104612
micro_invimb_0.25_0.75,Blend microprice edge with inverted imbalance.,blend,359988,0.21651387096357325,0.07306371017155343,0.46196415073966096,10047.06732696495
micro_invimb_0.25_1,Blend microprice edge with inverted imbalance.,blend,359988,0.2204566523725134,0.07347279452919615,0.46191016088975273,10290.74068582529
micro_invimb_0.25_1.5,Blend microprice edge with inverted imbalance.,blend,359988,0.22783622892503916,0.07415685373918006,0.4617751862649822,10778.087403545973
micro_invimb_0.5_0.25,Blend microprice edge with inverted imbalance.,blend,359988,0.2059315193689195,0.07183887444437552,0.463144082355965,18875.767859628206
micro_invimb_0.5_0.5,Blend microprice edge with inverted imbalance.,blend,359988,0.20812954025893787,0.07210721929588874,0.46204308622644563,19119.441218488544
micro_invimb_0.5_0.75,Blend microprice edge with inverted imbalance.,blend,359988,0.21028719749438754,0.07236382340394562,0.46207213043947737,19363.114577348882
micro_invimb_0.5_1,Blend microprice edge with inverted imbalance.,blend,359988,0.2124040497415671,0.07260873144157869,0.46205863297700034,19606.787936209224
micro_invimb_0.5_1.5,Blend microprice edge with inverted imbalance.,blend,359988,0.21651387096357325,0.07306371017155343,0.46196415073966096,20094.1346539299
micro_invimb_0.75_0.25,Blend microprice edge with inverted imbalance.,blend,359988,0.20518996093499284,0.07174681153407549,0.462220602526725,28191.81511001214
micro_invimb_0.75_0.5,Blend microprice edge with inverted imbalance.,blend,359988,0.20666864814583932,0.0719296294011976,0.4620991253644315,28435.488468872474
micro_invimb_0.75_0.75,Blend microprice edge with inverted imbalance.,blend,359988,0.20812954025893746,0.07210721929588852,0.46204308622644563,28679.161827732816
micro_invimb_0.75_1,Blend microprice edge with inverted imbalance.,blend,359988,0.20957249173795492,0.07227959077415526,0.4620991253644315,28922.83518659316
micro_invimb_0.75_1.5,Blend microprice edge with inverted imbalance.,blend,359988,0.21240404974156665,0.07260873144157891,0.46205863297700034,29410.18190431384
micro_invimb_1_0.25,Blend microprice edge with inverted imbalance.,blend,359988,0.20481752683127127,0.07170028936283605,0.462220602526725,37507.86236039607
micro_invimb_1_0.5,Blend microprice edge with inverted imbalance.,blend,359988,0.2059315193689195,0.07183887444437552,0.463144082355965,37751.53571925641
micro_invimb_1_0.75,Blend microprice edge with inverted imbalance.,blend,359988,0.20703554535192314,0.07197451667508475,0.4620991253644315,37995.20907811675
micro_invimb_1_1,Blend microprice edge with inverted imbalance.,blend,359988,0.20812954025893787,0.07210721929588874,0.46204308622644563,38238.88243697709
micro_invimb_1_1.5,Blend microprice edge with inverted imbalance.,blend,359988,0.21028719749438754,0.07236382340394562,0.46207213043947737,38726.229154697765
micro_invimb_1.5_0.25,Blend microprice edge with inverted imbalance.,blend,359988,0.20444399288745121,0.07165343994685272,0.462220602526725,56139.95686116393
micro_invimb_1.5_0.5,Blend microprice edge with inverted imbalance.,blend,359988,0.20518996093499284,0.07174681153407549,0.462220602526725,56383.63022002428
micro_invimb_1.5_0.75,Blend microprice edge with inverted imbalance.,blend,359988,0.20593151936892126,0.07183887444437619,0.4631503476637537,56627.30357888461
micro_invimb_1.5_1,Blend microprice edge with inverted imbalance.,blend,359988,0.20666864814583932,0.0719296294011976,0.4620991253644315,56870.97693774495
micro_invimb_1.5_1.5,Blend microprice edge with inverted imbalance.,blend,359988,0.20812954025893746,0.07210721929588852,0.46204308622644563,57358.32365546563
