variant_id,day,k_micro,k_imbalance,threshold,max_order_clip,passive_offset,final_pnl_total,hydrogel_pnl,own_trade_count,turnover_units,notional_turnover,tick_count,return_code
hydro_k1_imb1_thr0_clip20_po0,0,1.0,1.0,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0_clip20_po0,1,1.0,1.0,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0_clip20_po0,2,1.0,1.0,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0_clip20_po1,0,1.0,1.0,0.0,20,1,981.0,981.0,6,28,279665.0,10000,0
hydro_k1_imb1_thr0_clip20_po1,1,1.0,1.0,0.0,20,1,-454.0,-454.0,3,16,160074.0,10000,0
hydro_k1_imb1_thr0_clip20_po1,2,1.0,1.0,0.0,20,1,-276.0,-276.0,3,14,139864.0,10000,0
hydro_k1_imb1_thr0p1_clip20_po0,0,1.0,1.0,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p1_clip20_po0,1,1.0,1.0,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p1_clip20_po0,2,1.0,1.0,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p1_clip20_po1,0,1.0,1.0,0.1,20,1,981.0,981.0,6,,,10000,0
hydro_k1_imb1_thr0p1_clip20_po1,1,1.0,1.0,0.1,20,1,-454.0,-454.0,3,,,10000,0
hydro_k1_imb1_thr0p1_clip20_po1,2,1.0,1.0,0.1,20,1,-276.0,-276.0,3,,,10000,0
hydro_k1_imb1_thr0p2_clip20_po0,0,1.0,1.0,0.2,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p2_clip20_po0,1,1.0,1.0,0.2,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p2_clip20_po0,2,1.0,1.0,0.2,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1_thr0p2_clip20_po1,0,1.0,1.0,0.2,20,1,981.0,981.0,6,28,279665.0,10000,0
hydro_k1_imb1_thr0p2_clip20_po1,1,1.0,1.0,0.2,20,1,-310.0,-310.0,2,10,99840.0,10000,0
hydro_k1_imb1_thr0p2_clip20_po1,2,1.0,1.0,0.2,20,1,-276.0,-276.0,3,14,139864.0,10000,0
hydro_k1_imb1p15_thr0_clip20_po0,0,1.0,1.15,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0_clip20_po0,1,1.0,1.15,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0_clip20_po0,2,1.0,1.15,0.0,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0_clip20_po1,0,1.0,1.15,0.0,20,1,981.0,981.0,6,,,10000,0
hydro_k1_imb1p15_thr0_clip20_po1,1,1.0,1.15,0.0,20,1,-454.0,-454.0,3,,,10000,0
hydro_k1_imb1p15_thr0_clip20_po1,2,1.0,1.15,0.0,20,1,-276.0,-276.0,3,,,10000,0
hydro_k1_imb1p15_thr0p1_clip20_po0,0,1.0,1.15,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0p1_clip20_po0,1,1.0,1.15,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0p1_clip20_po0,2,1.0,1.15,0.1,20,0,0.0,0.0,0,,,10000,0
hydro_k1_imb1p15_thr0p1_clip20_po1,0,1.0,1.15,0.1,20,1,981.0,981.0,6,,,10000,0
hydro_k1_imb1p15_thr0p1_clip20_po1,1,1.0,1.15,0.1,20,1,-454.0,-454.0,3,,,10000,0
