variant_id,engine,k_micro,k_imbalance,threshold,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,mean_corr_signal_next_return,mean_hit_rate_triggered,mean_trigger_rate
micro_k1p25_imb1p25_thr0,fallback,1.25,1.25,0.0,10990.0,712.0,4166.5,6111.5,3663.3333333333335,2232.86551070343,712.0,3,1.6406421774044133,0.26828287456796884,0.734935330789988,1.0
micro_k1p25_imb1_thr0,fallback,1.25,1.0,0.0,9905.5,410.0,4768.0,4727.5,3301.8333333333335,2044.9018042167424,410.0,3,1.614665959276425,0.2670797517793275,0.734935330789988,1.0
micro_k1p25_imb0p75_thr0,fallback,1.25,0.75,0.0,3793.0,95.0,3061.0,637.0,1264.3333333333333,1289.5604763725594,95.0,3,0.9804374098753641,0.265849364314208,0.7349068990829483,1.0
micro_k1p25_imb0p75_thr0p25,fallback,1.25,0.75,0.25,18.0,18.0,0.0,0.0,6.0,8.48528137423857,0.0,1,0.7071067811032142,0.265849364314208,0.7335394001646252,0.3068166666666667
micro_k1p25_imb1_thr0p25,fallback,1.25,1.0,0.25,18.0,18.0,0.0,0.0,6.0,8.48528137423857,0.0,1,0.7071067811032142,0.2670797517793275,0.7337009824654543,0.3071666666666667
micro_k1p25_imb1p25_thr0p25,fallback,1.25,1.25,0.25,18.0,18.0,0.0,0.0,6.0,8.48528137423857,0.0,1,0.7071067811032142,0.26828287456796884,0.7340485128566577,0.30756666666666665
micro_k1p25_imb0p75_thr0p5,fallback,1.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.265849364314208,0.7297545331143047,0.30133333333333334
micro_k1p25_imb1_thr0p5,fallback,1.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2670797517793275,0.7300565813705535,0.3018
micro_k1p25_imb1p25_thr0p5,fallback,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.26828287456796884,0.7303394039735099,0.30211666666666664
micro_k1p5_imb0p75_thr0p5,fallback,1.5,0.75,0.5,-1257.5,237.0,-276.0,-1218.5,-419.1666666666667,602.7672758941786,-1218.5,1,-0.6954038207269233,0.2652236462099114,0.7306436510260352,0.3028166666666667
micro_k1p5_imb1_thr0p5,fallback,1.5,1.0,0.5,-1356.0,159.0,-309.0,-1206.0,-452.0,566.3585436805911,-1206.0,1,-0.7980810125363204,0.2662625817031743,0.7307485999051024,0.303
micro_k1p5_imb1p25_thr0p5,fallback,1.5,1.25,0.5,-1983.0,278.0,-366.0,-1895.0,-661.0,911.3180930205801,-1895.0,1,-0.7253230294247515,0.2672821400869767,0.7309142238024365,0.3033166666666667
micro_k1p5_imb1_thr0,fallback,1.5,1.0,0.0,-3795.5,-1342.0,2234.5,-4688.0,-1265.1666666666667,2826.6209607153833,-4688.0,1,-0.44758978449873976,0.2662625817031743,0.734935330789988,1.0
micro_k1p5_imb1p25_thr0,fallback,1.5,1.25,0.0,-4159.0,-1309.0,1984.0,-4834.0,-1386.3333333333333,2783.973938256048,-4834.0,1,-0.4979692210054487,0.2672821400869767,0.734935330789988,1.0
micro_k1p5_imb0p75_thr0,fallback,1.5,0.75,0.0,-5819.0,-1350.0,957.5,-5426.5,-1939.6666666666667,2639.3994371615845,-5426.5,1,-0.7348893992156994,0.2652236462099114,0.734935330789988,1.0
micro_k1p75_imb0p75_thr0p25,fallback,1.75,0.75,0.25,-7884.5,-1745.0,-345.0,-5794.5,-2628.1666666666665,2310.735825566297,-5794.5,0,-1.1373721900994194,0.26477231563027925,0.7341352464958386,0.3076666666666667
micro_k1p75_imb1_thr0p25,fallback,1.75,1.0,0.25,-8101.0,-1702.0,-466.5,-5932.5,-2700.3333333333335,2340.483010453659,-5932.5,0,-1.1537504529070564,0.265671313175161,0.7342950282246553,0.30795
micro_k1p5_imb0p75_thr0p25,fallback,1.5,0.75,0.25,-9964.0,601.0,-3769.0,-6796.0,-3321.3333333333335,3036.3581621555927,-6796.0,1,-1.093854267499963,0.2652236462099114,0.7337734633598214,0.30725
micro_k1p75_imb1p25_thr0p25,fallback,1.75,1.25,0.25,-10236.0,-2903.0,-581.0,-6752.0,-3412.0,2544.879957876206,-6752.0,0,-1.340731215804024,0.26655583684153217,0.7345555686659131,0.30838333333333334
