variant_id,product,k_micro,k_imbalance,threshold,n,trigger_count,trigger_rate,corr_signal_next_return,hit_rate_all,hit_rate_triggered,signal_x_return_proxy
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,1.25,0.75,0.0,29997,29997,1.0,0.3011520085067456,0.9737373737373738,0.9737373737373738,5827.335454308188
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,1.25,0.75,0.0,29997,29997,1.0,0.2305467201216705,0.4960764244285227,0.4960764244285227,9060.671196895251
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,1.25,0.75,0.25,29997,961,0.03203333333333333,0.3011520085067456,0.9737373737373738,0.9739854318418314,5827.335454308188
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,1.25,0.75,0.25,29997,17447,0.5816,0.2305467201216705,0.4960764244285227,0.493093368487419,9060.671196895251
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,1.25,0.75,0.5,29997,908,0.030266666666666667,0.3011520085067456,0.9737373737373738,0.9724669603524229,5827.335454308188
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,1.25,0.75,0.5,29997,17171,0.5724,0.2305467201216705,0.4960764244285227,0.48704210587618657,9060.671196895251
micro_k1p25_imb1_thr0,HYDROGEL_PACK,1.25,1.0,0.0,29997,29997,1.0,0.30243310017423963,0.9737373737373738,0.9737373737373738,5913.5378193770575
micro_k1p25_imb1_thr0,VELVETFRUIT_EXTRACT,1.25,1.0,0.0,29997,29997,1.0,0.2317264033844154,0.4961332878426021,0.4961332878426021,9114.875179439445
micro_k1p25_imb1_thr0p25,HYDROGEL_PACK,1.25,1.0,0.25,29997,961,0.03203333333333333,0.30243310017423963,0.9737373737373738,0.9739854318418314,5913.5378193770575
micro_k1p25_imb1_thr0p25,VELVETFRUIT_EXTRACT,1.25,1.0,0.25,29997,17468,0.5823,0.2317264033844154,0.4961332878426021,0.4934165330890772,9114.875179439445
micro_k1p25_imb1_thr0p5,HYDROGEL_PACK,1.25,1.0,0.5,29997,912,0.0304,0.30243310017423963,0.9737373737373738,0.9725877192982456,5913.5378193770575
micro_k1p25_imb1_thr0p5,VELVETFRUIT_EXTRACT,1.25,1.0,0.5,29997,17195,0.5732,0.2317264033844154,0.4961332878426021,0.4875254434428613,9114.875179439445
micro_k1p25_imb1p25_thr0,HYDROGEL_PACK,1.25,1.25,0.0,29997,29997,1.0,0.30366580593754816,0.9737373737373738,0.9737373737373738,5999.7401844459255
micro_k1p25_imb1p25_thr0,VELVETFRUIT_EXTRACT,1.25,1.25,0.0,29997,29997,1.0,0.23289994319838955,0.4961332878426021,0.4961332878426021,9169.07916198364
micro_k1p25_imb1p25_thr0p25,HYDROGEL_PACK,1.25,1.25,0.25,29997,961,0.03203333333333333,0.30366580593754816,0.9737373737373738,0.9739854318418314,5999.7401844459255
micro_k1p25_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,1.25,1.25,0.25,29997,17492,0.5831,0.23289994319838955,0.4961332878426021,0.4941115938714841,9169.07916198364
micro_k1p25_imb1p25_thr0p5,HYDROGEL_PACK,1.25,1.25,0.5,29997,912,0.0304,0.30366580593754816,0.9737373737373738,0.9725877192982456,5999.7401844459255
