k_micro,k_imbalance,threshold,mean_corr,mean_hit_rate,mean_proxy_pnl,mean_active_rate
1.5,1.0,0.05,0.2662474473102091,0.7349351108905249,8960.91145072132,0.3095833333333333
1.5,1.0,0.1,0.2662474473102091,0.7349351108905249,8960.91145072132,0.3095833333333333
1.5,1.0,0.0,0.26624689190365736,0.734935330789988,8960.88526024513,1.0
1.5,1.0,0.15,0.265934590310296,0.7349870260204889,8952.956884217956,0.30895
1.5,1.0,0.2,0.26583538151634223,0.734599280771611,8948.229702362583,0.3085
1.5,0.75,0.05,0.26520822728863414,0.7349351108905249,8890.69190786682,0.3095833333333333
1.5,0.75,0.0,0.265208017493173,0.734935330789988,8890.682086438248,1.0
1.5,0.75,0.1,0.26504931257720415,0.7346352575208233,8886.75397690601,0.30915
1.5,0.75,0.15,0.26493636409839605,0.7348435556590313,8883.134945919097,0.30878333333333335
1.5,0.75,0.2,0.26479289350168544,0.7342950282246553,8876.285077638866,0.30795
1.5,0.5,0.0,0.26414919665203274,0.734935330789988,8820.478912631503,1.0
1.5,0.5,0.05,0.26414919665203274,0.734935330789988,8820.478912631503,0.3096166666666667
1.5,0.5,0.1,0.2639821688707591,0.7349583450109971,8816.232061104716,0.3089166666666667
1.5,0.5,0.15,0.2639203007736263,0.7346131205946119,8813.292221856522,0.30845
1.5,0.5,0.2,0.2637869865154685,0.7341496963197957,8806.939175810872,0.30768333333333336
1.5,0.25,0.0,0.26306984151537394,0.734935330789988,8750.275738824856,1.0
1.5,0.25,0.05,0.2629874682084516,0.7350015906506916,8748.266593212142,0.309
1.5,0.25,0.1,0.2629646120999841,0.7348007323180917,8747.1860929957,0.3087666666666667
1.5,0.25,0.15,0.2628645712089246,0.7342664812649066,8742.432411485972,0.30795
1.5,0.25,0.2,0.2627335677084075,0.7338603856960745,8736.206249920888,0.30735
1.5,0.0,0.0,0.2619693465240411,0.7350159254322645,8680.07256501857,1.0
1.5,0.0,0.05,0.2619649166208612,0.7349155476987441,8679.863426392316,0.3089
1.5,0.0,0.1,0.26192106506717716,0.7345265016311284,8677.787451338143,0.3083166666666667
1.5,0.0,0.15,0.26184692648431585,0.7341362259757603,8674.27059213395,0.3077666666666667
1.5,0.0,0.2,0.26169448608391843,0.7335696279804975,8667.019022801063,0.30695
1.0,1.0,0.1,0.2682677517090476,0.7349207826430144,6067.548193117713,0.30956666666666666
1.0,1.0,0.0,0.26826706578733744,0.734935330789988,6067.527738572258,1.0
1.0,1.0,0.05,0.26826706578733744,0.734935330789988,6067.527738572258,0.3096166666666667
1.0,1.0,0.15,0.26778503674703386,0.7348866139172727,6058.715089101528,0.30883333333333335
1.0,1.0,0.2,0.26743909206214034,0.7340485128566577,6047.632115704935,0.30756666666666665
1.0,0.75,0.05,0.2667597599416065,0.7349351108905249,5997.347481432045,0.3095833333333333
1.0,0.75,0.0,0.26675902812091057,0.734935330789988,5997.324564765377,1.0
1.0,0.75,0.1,0.2665193049864642,0.734606586300907,5993.175219934234,0.30911666666666665
1.0,0.75,0.15,0.2662534631835969,0.734454500087012,5986.378945331397,0.30823333333333336
1.0,0.75,0.2,0.2659060643962524,0.7336280747205263,5975.280670992256,0.30705
1.0,0.5,0.05,0.2652082272886192,0.7349351108905249,5927.127938577681,0.3095833333333333
1.0,0.5,0.0,0.2652080174931582,0.734935330789988,5927.121390958631,1.0
1.0,0.5,0.1,0.26493636409838056,0.7348435556590313,5922.089963945864,0.30878333333333335
1.0,0.5,0.15,0.26472335330114644,0.7341207950201899,5915.308528220212,0.30765000000000003
1.0,0.5,0.2,0.2643806956404575,0.7332772169824868,5904.368359058478,0.30648333333333333
1.0,0.25,0.0,0.2636121233010209,0.734935330789988,5856.918217151984,1.0
1.0,0.25,0.05,0.26348546182841226,0.7349585765183553,5854.781101905584,0.30895
1.0,0.25,0.1,0.2633855274319997,0.7343965730474705,5851.616220287968,0.30813333333333337
1.0,0.25,0.15,0.26316299252579417,0.7336715981930183,5844.548097064684,0.30710000000000004
1.0,0.25,0.2,0.26276330075185406,0.7329143949313911,5833.073177271458,0.30596666666666666
1.0,0.0,0.0,0.2619693465240388,0.7350159254322645,5786.715043345699,1.0
1.0,0.0,0.05,0.26194730728589133,0.7347289195771604,5786.021226352066,0.30868333333333337
1.0,0.0,0.1,0.2618469264843137,0.7341362259757603,5782.8470614226235,0.3077666666666667
1.0,0.0,0.15,0.2616423205904294,0.7334090003245854,5776.352514074324,0.30670000000000003
1.0,0.0,0.2,0.2607808633226995,0.7321943698976968,5756.173875473241,0.3050333333333333
0.75,1.0,0.0,0.270214076569621,0.734935330789988,4620.848977735848,1.0
0.75,1.0,0.05,0.27021395951030847,0.7349210041845811,4620.846217995588,0.30960000000000004
0.75,1.0,0.1,0.27020448794655716,0.7348923460849753,4620.620788142336,0.30956666666666666
0.75,1.0,0.15,0.26951893188037424,0.7346711754435045,4610.329672470786,0.3085833333333333
0.75,1.0,0.2,0.2688334055660987,0.7334667441286901,4593.762401457875,0.30673333333333336
0.75,0.75,0.0,0.2682670657873529,0.734935330789988,4550.645803928967,1.0
0.75,0.75,0.05,0.2682670657873529,0.734935330789988,4550.645803928967,0.3096166666666667
0.75,0.75,0.1,0.2679525055424016,0.734577908555164,4546.451248931646,0.3090833333333333
0.75,0.75,0.15,0.2674390920621545,0.7340485128566577,4535.724086778457,0.30756666666666665
0.75,0.75,0.2,0.2667681118303667,0.732852881514292,4519.55624625205,0.3059
0.75,0.5,0.05,0.2662474473102029,0.7349351108905249,4480.455725360318,0.3095833333333333
0.75,0.5,0.0,0.26624689190365103,0.734935330789988,4480.442630122221,1.0
0.75,0.5,0.1,0.26583538151633473,0.734599280771611,4474.114851180935,0.3085
0.75,0.5,0.15,0.265441069932148,0.7335692357169393,4464.661767344542,0.30691666666666667
0.75,0.5,0.2,0.2644692722770848,0.7322006217751108,4444.539741771474,0.3050166666666667
0.75,0.25,0.0,0.26414919665203307,0.734935330789988,4410.239456315574,1.0
0.75,0.25,0.05,0.26398216887076104,0.7349583450109971,4408.116030552199,0.3089166666666667
0.75,0.25,0.1,0.2637869865154704,0.7341496963197957,4403.469587905274,0.30768333333333336
0.75,0.25,0.15,0.26338014235407836,0.7331010506902879,4393.737443531538,0.30618333333333336
0.75,0.25,0.2,0.2614276012355014,0.7312136178665346,4362.162857929783,0.30384999999999995
0.75,0.0,0.0,0.26196934652404597,0.7350159254322645,4340.036282509289,1.0
0.75,0.0,0.05,0.26192106506718194,0.7345265016311284,4338.893725669074,0.3083166666666667
0.75,0.0,0.1,0.26169448608392304,0.7335696279804975,4333.509511400528,0.30695
0.75,0.0,0.15,0.26078086332270445,0.7321943698976968,4317.130406604909,0.3050333333333333
0.75,0.0,0.2,0.25954255923927994,0.7308244766186794,4296.5600875849705,0.3031833333333333
0.5,1.0,0.1,0.27390655329511043,0.7349066759496696,3174.198612127303,0.3095833333333333
0.5,1.0,0.05,0.2739056794690455,0.7348925708607256,3174.1853004389914,0.30960000000000004
0.5,1.0,0.0,0.27390472335789384,0.7348784673759086,3174.170216899387,1.0
0.5,1.0,0.15,0.2725344837474749,0.7340922186928195,3157.461347232588,0.30765000000000003
0.5,1.0,0.2,0.2706838465593917,0.7320177140866796,3129.147096449189,0.3047166666666667
0.5,0.75,0.0,0.27116143477738064,0.7349068990829483,3103.9670430925066,1.0
0.5,0.75,0.05,0.27115918755504553,0.7349066759496696,3103.9314756741583,0.3095833333333333
0.5,0.75,0.1,0.270682862012161,0.7345064237171488,3099.34788231277,0.3090333333333333
0.5,0.75,0.15,0.26931789821056357,0.7329409917829847,3078.763106220828,0.3060333333333333
0.5,0.75,0.2,0.2664676839739011,0.7308401302138328,3044.753123174686,0.30319999999999997
0.5,0.5,0.05,0.2682677517090261,0.7349207826430144,3033.7740965584894,0.30956666666666666
0.5,0.5,0.0,0.26826706578731596,0.734935330789988,3033.763869285761,1.0
0.5,0.5,0.1,0.26743909206211725,0.7340485128566577,3023.816057852092,0.30756666666666665
0.5,0.5,0.15,0.2662192890721591,0.7322115123671586,3005.6972528115402,0.3050333333333334
0.5,0.5,0.2,0.2637643997373768,0.7303245341393336,2977.2145159426573,0.3021
0.5,0.25,0.0,0.2652080174931451,0.734935330789988,2963.5606954791137,1.0
0.5,0.25,0.05,0.26493636409836974,0.7348435556590313,2961.0449819727482,0.30878333333333335
0.5,0.25,0.1,0.2643806956404477,0.7332772169824868,2952.1841795290707,0.30648333333333333
0.5,0.25,0.15,0.261953003660007,0.7308996327734358,2924.7034002113796,0.30333333333333334
0.5,0.25,0.2,0.26077718812858974,0.7294699670379816,2907.9703427144486,0.30101666666666665
0.5,0.0,0.0,0.26196934652403225,0.7350159254322645,2893.3575216728286,1.0
0.5,0.0,0.05,0.26184692648430746,0.7341362259757603,2891.423530711297,0.3077666666666667
0.5,0.0,0.1,0.2608778160304433,0.7324443531942517,2879.636937736611,0.30538333333333334
0.5,0.0,0.15,0.2593961590656801,0.7306545439054289,2861.987132852194,0.3026333333333333
0.5,0.0,0.2,0.25713493371729623,0.7290417439797372,2834.2739842167202,0.29969999999999997
0.25,1.0,0.1,0.2836112294578738,0.7348925708607256,1727.604195852573,0.30960000000000004
0.25,1.0,0.0,0.28359680021483324,0.7348784673759086,1727.491456062969,1.0
0.25,1.0,0.05,0.28359680021483324,0.7348784673759086,1727.491456062969,0.3096166666666667
0.25,1.0,0.15,0.27828065295700305,0.731466694880105,1687.2153647906364,0.304
0.25,0.75,0.05,0.27899389659278856,0.7348925708607256,1657.348423035792,0.30960000000000004
0.25,0.75,0.0,0.278986235219845,0.7348784673759086,1657.2882822560885,1.0
0.25,0.75,0.1,0.27733673120442703,0.7334808024774344,1646.074826872891,0.3075833333333333
0.25,1.0,0.2,0.2675131142208811,0.7244798038926682,1605.1607186111464,0.2940666666666667
0.25,0.75,0.15,0.27060204304518376,0.729183839485259,1598.170267820241,0.3006333333333333
0.25,0.5,0.05,0.2739065532950714,0.7349066759496696,1587.0993060633007,0.3095833333333333
0.25,0.5,0.0,0.273904723357855,0.7348784673759086,1587.085108449343,1.0
0.25,0.5,0.1,0.27068384655935007,0.7320177140866796,1564.5735482242305,0.3047166666666667
0.25,0.75,0.2,0.2614489306890465,0.7253590143605744,1531.6683637183294,0.2920833333333333
0.25,0.25,0.0,0.2682670657872886,0.734935330789988,1516.8819346426956,1.0
0.25,0.5,0.15,0.26345800414367904,0.7266464066142109,1515.395856462418,0.2972666666666667
0.25,0.25,0.05,0.26743909206209504,0.7340485128566577,1511.908028925883,0.30756666666666665
0.25,0.25,0.1,0.2637643997373638,0.7303245341393336,1488.6072579712268,0.3021
