product,trader,buy_volume,sell_volume,trade_events,activity,alpha_notional,trader_aggressiveness_score,net_buy_volume,net_sell_volume,rolling_trader_activity,trader_alpha_raw,trader_alpha_score,trader_reliability
VELVETFRUIT_EXTRACT,Mark 01,3689.0,986.0,1123,4675.0,241.0,0.0,2703.0,-2703.0,4675.0,0.051550802139037434,0.02646368292225398,0.7807989895309448
VELVETFRUIT_EXTRACT,Mark 55,2201.0,2197.0,795,4398.0,225.0,1.0,4.0,-4.0,4398.0,0.05115961800818554,0.026103911384130273,0.7653453715267898
VELVETFRUIT_EXTRACT,Mark 22,112.0,3448.0,932,3560.0,-757.0,0.9012875536480687,-3336.0,3336.0,3560.0,-0.21264044943820223,-0.21651266873030425,0.758062477858974
VELVETFRUIT_EXTRACT,Mark 14,1658.0,1411.0,759,3069.0,-550.5,0.0,247.0,-247.0,3069.0,-0.1793743890518084,-0.1859179161096766,0.7412388456069459
HYDROGEL_PACK,Mark 38,1403.0,1326.0,686,2729.0,-786.0,1.0,77.0,-77.0,2729.0,-0.2880175888603884,0.3442892264182028,0.7296280258688651
HYDROGEL_PACK,Mark 14,1300.0,1379.0,673,2679.0,905.5,0.0,-79.0,79.0,2679.0,0.33799925345278087,0.782370287894735,0.7276454345695336
VELVETFRUIT_EXTRACT,Mark 67,1086.0,0.0,119,1086.0,2143.0,1.0,1086.0,-1086.0,1086.0,1.9732965009208103,1.7938907112827136,0.5749474700629477
VELVETFRUIT_EXTRACT,Mark 49,78.0,742.0,83,820.0,-1436.5,0.024096385542168676,-664.0,664.0,820.0,-1.7518292682926828,-1.6321026304604804,0.5301260594615045
VEV_6000,Mark 01,682.0,0.0,193,682.0,0.0,0.0,682.0,-682.0,682.0,0.0,0.0,0.5634831738430964
VEV_6500,Mark 01,682.0,0.0,193,682.0,0.0,0.0,682.0,-682.0,682.0,0.0,0.0,0.5634831738430964
VEV_6000,Mark 22,0.0,682.0,193,682.0,0.0,1.0,-682.0,682.0,682.0,0.0,0.0,0.5634831738430964
VEV_6500,Mark 22,0.0,682.0,193,682.0,0.0,1.0,-682.0,682.0,682.0,0.0,0.0,0.5634831738430964
VEV_5500,Mark 22,0.0,656.0,186,656.0,20.0,1.0,-656.0,656.0,656.0,0.03048780487804878,0.8116721597966631,0.5581749775405295
VEV_5500,Mark 01,634.0,0.0,180,634.0,-16.0,0.0,634.0,-634.0,634.0,-0.025236593059936908,0.30542423022607385,0.5534786560417134
VELVETFRUIT_EXTRACT,Mark 38,277.0,317.0,297,594.0,135.0,1.0,-40.0,40.0,594.0,0.22727272727272727,0.18807490971136337,0.5707262413436199
VEV_4000,Mark 38,272.0,317.0,292,589.0,116.5,1.0,-45.0,45.0,589.0,0.19779286926994907,0.6591976131223721,0.5692103285165694
VEV_4000,Mark 14,317.0,271.0,291,588.0,-112.5,0.0,46.0,-46.0,588.0,-0.1913265306122449,0.49143339752116627,0.5689044415309183
