symbol,kind,fair,source,mc_mean,mc_se,ci95_lo,ci95_hi,bid,ask,buy_edge,sell_edge,max_buy,max_sell,pure_ev_side,pure_ev_volume,pure_ev_expected_pnl,edge_abs,tiny_edge_flag
AC_50_CO,chooser,21.897658523926737,quadrature,25.73226580153958,0.03160195757080594,25.6703259647008,25.794205638378358,22.2,22.3,-0.4023414760732642,0.3023414760732628,50,50,SELL,50,45351.22141098942,0.3023414760732628,False
AC_40_BP,binary_put,4.767945195522642,closed_form,5.21483,0.004995385172820062,5.205039045061273,5.224620954938727,5.0,5.1,-0.3320548044773579,0.23205480447735827,50,50,SELL,50,34808.22067160374,0.23205480447735827,False
AC_50_P_2,put,9.870709287833343,closed_form,11.62374535464209,0.012316706836033493,11.599604609243464,11.647886100040715,9.7,9.75,0.12070928783334267,-0.17070928783334338,50,50,BUY,50,18106.3931750014,0.12070928783334267,False
AC_50_C_2,call,9.870709287833343,closed_form,11.584561522159307,0.024854672342003215,11.53584636436898,11.633276679949633,9.7,9.75,0.12070928783334267,-0.17070928783334338,50,50,BUY,50,18106.3931750014,0.12070928783334267,False
AC,underlying,50.0,closed_form,49.968400576180095,0.04150218943409885,49.88705628488926,50.04974486747093,49.975,50.025,-0.02499999999999858,-0.02499999999999858,200,200,BUY,0,0.0,-0.02499999999999858,True
AC_50_P,put,12.026949236112511,closed_form,14.137379092150546,0.014001780674748726,14.109935602028038,14.164822582273054,12.0,12.05,-0.023050763887489722,-0.026949236112510988,50,50,BUY,0,0.0,-0.023050763887489722,True
AC_50_C,call,12.026949236112511,closed_form,14.10577966833139,0.03357892133186508,14.039964982520935,14.171594354141845,12.0,12.05,-0.023050763887489722,-0.026949236112510988,50,50,BUY,0,0.0,-0.023050763887489722,True
AC_45_KO,ko_put,0.13032460111843244,mc_antithetic,0.13032460111843244,0.0008685613913202108,0.12862222079144484,0.13202698144542005,0.15,0.175,-0.044675398881567546,0.019675398881567552,500,500,SELL,500,29513.09832235133,0.019675398881567552,False
AC_45_P,put,9.088899920480927,closed_form,11.066290097057735,0.01215175728451654,11.042472652780082,11.090107541335387,9.05,9.1,-0.011100079519072992,-0.03889992048092594,50,50,BUY,0,0.0,-0.011100079519072992,True
AC_40_P,put,6.509540160325431,closed_form,8.2942084197084,0.010237158022857748,8.2741435899836,8.314273249433201,6.5,6.55,-0.04045983967456923,-0.009540160325430591,50,50,BUY,0,0.0,-0.009540160325430591,True
AC_60_C,call,8.791791697309286,closed_form,10.986593430210263,0.0309253128008272,10.925979817120641,11.047207043299885,8.8,8.85,-0.058208302690713865,0.00820830269071493,50,50,SELL,50,1231.2454036072395,0.00820830269071493,True
AC_35_P,put,4.336145575468787,closed_form,5.865222587963355,0.008288497526675256,5.848977132811071,5.881468043115638,4.33,4.35,-0.013854424531212217,-0.0061455754687873565,50,50,BUY,0,0.0,-0.0061455754687873565,True
