signal,x_product,y_product,beta,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.0,1,3808,-8.914914136071458,-33947.99303016011,0.005777310924369748,-232.13735189430994
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.0,2,2647,-8.971800200270692,-23748.35513011652,0.004533434076312807,-201.3053637132319
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.0,3,3999,-8.93400449698944,-35727.08398346077,0.005001250312578144,-233.94569559576487
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.5,1,1142,-8.866144197114325,-10125.13667310456,0.006129597197898424,-130.47663834461017
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.5,2,1224,-8.880366090781518,-10869.568095116578,0.008986928104575163,-131.33693077529904
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,1.5,3,1537,-8.88516202248045,-13656.494028552454,0.003903708523096942,-142.3606862317795
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.0,1,113,-8.633846272788707,-975.6246288251239,0.008849557522123894,-43.03785531443087
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.0,2,589,-8.986181232351464,-5292.860745855012,0.008488964346349746,-96.6378231832728
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.0,3,485,-8.766502835044129,-4251.753874996402,0.002061855670103093,-79.56595006380316
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.5,1,0,,0.0,,
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.5,2,118,-8.716540309750089,-1028.5517565505104,0.03389830508474576,-36.86510330128594
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,1,2.5,3,86,-8.6718303715006,-745.7774119490516,0.011627906976744186,-27.76494327405115
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.0,1,3808,-8.593659159348158,-32724.654078797786,0.03046218487394958,-118.36662931116493
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.0,2,2647,-8.7253721043449,-23096.059960200953,0.028333962976955042,-98.94143495256029
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.0,3,3999,-8.570937533983125,-34275.17919839852,0.029257314328582147,-120.74035834760765
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.5,1,1142,-8.233162607935178,-9402.271698261973,0.03152364273204904,-63.94687486589209
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.5,2,1224,-8.419070219724201,-10304.941948942422,0.03431372549019608,-63.694961890769704
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,1.5,3,1537,-8.4766509581538,-13028.61252268239,0.031229668184775537,-74.1445645119248
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,2.0,1,113,-7.031117173606033,-794.5162406174817,0.04424778761061947,-17.931659845932064
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,2.0,2,589,-8.701987030563144,-5125.470361001691,0.023769100169779286,-47.88500085401732
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,2.0,3,485,-8.13042162570293,-3943.254488465921,0.030927835051546393,-42.42249056005647
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,0.4727495807097714,5,2.5,1,0,,0.0,,
