day,symbol,trades,quantity,notional,vwap,min_price,max_price
1,HYDROGEL_PACK,375,1485,14841524.0,9994.292255892256,9902.0,10086.0
1,VELVETFRUIT_EXTRACT,450,2685,14088077.0,5246.956052141527,5198.0,5277.0
1,VEV_4000,164,333,415613.0,1248.0870870870872,1196.0,1289.0
1,VEV_4500,1,1,733.0,733.0,733.0,733.0
1,VEV_5000,1,1,238.0,238.0,238.0,238.0
1,VEV_5100,1,1,152.0,152.0,152.0,152.0
1,VEV_5200,7,22,1905.0,86.5909090909091,74.0,98.0
1,VEV_5300,39,130,5747.0,44.207692307692305,34.0,53.0
1,VEV_5400,81,286,4250.0,14.86013986013986,8.0,21.0
1,VEV_5500,92,321,1923.0,5.990654205607477,3.0,9.0
1,VEV_6000,98,345,0.0,0.0,0.0,0.0
1,VEV_6500,98,345,0.0,0.0,0.0,0.0
2,HYDROGEL_PACK,311,1244,12423776.0,9986.958199356914,9890.0,10051.0
2,VELVETFRUIT_EXTRACT,477,2895,15220660.0,5257.568221070812,5208.0,5291.0
2,VEV_4000,128,256,321203.0,1254.69921875,1202.0,1307.0
2,VEV_5200,8,26,2150.0,82.6923076923077,76.0,91.0
2,VEV_5300,45,162,7002.0,43.22222222222222,28.0,53.0
2,VEV_5400,80,283,3640.0,12.862190812720849,7.0,19.0
2,VEV_5500,94,335,1607.0,4.7970149253731345,2.0,8.0
2,VEV_6000,95,337,0.0,0.0,0.0,0.0
2,VEV_6500,95,337,0.0,0.0,0.0,0.0
3,HYDROGEL_PACK,336,1367,13673910.0,10002.86027798098,9919.0,10080.0
3,VELVETFRUIT_EXTRACT,454,2623,13739641.0,5238.139916126573,5190.0,5296.0
3,VEV_4000,150,287,355641.0,1239.1672473867595,1182.0,1310.0
3,VEV_4500,2,5,3656.0,731.2,726.0,739.0
3,VEV_5000,2,5,1171.0,234.2,229.0,242.0
3,VEV_5100,2,5,719.0,143.8,139.0,151.0
3,VEV_5200,32,114,8145.0,71.44736842105263,52.0,88.0
3,VEV_5300,80,256,7561.0,29.53515625,18.0,46.0
3,VEV_5400,115,390,2979.0,7.638461538461539,3.0,15.0
3,VEV_5500,120,413,672.0,1.6271186440677967,0.0,4.0
3,VEV_6000,124,423,0.0,0.0,0.0,0.0
3,VEV_6500,124,423,0.0,0.0,0.0,0.0
