timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;10000;6
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;13011;5
5000;;;INTARIAN_PEPPER_ROOT;XIRECS;12998;5
9100;;;ASH_COATED_OSMIUM;XIRECS;10006;4
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;13013;3
23000;;;INTARIAN_PEPPER_ROOT;XIRECS;13016;4
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;13019;4
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;13037;6
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;13037;7
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;13041;3
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;13043;7
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;13039;3
38500;;;INTARIAN_PEPPER_ROOT;XIRECS;13031;5
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;13050;5
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;13040;8
51400;;;INTARIAN_PEPPER_ROOT;XIRECS;13044;4
52600;;;INTARIAN_PEPPER_ROOT;XIRECS;13056;8
57000;;;INTARIAN_PEPPER_ROOT;XIRECS;13064;4
61700;;;INTARIAN_PEPPER_ROOT;XIRECS;13069;6
70400;;;INTARIAN_PEPPER_ROOT;XIRECS;13074;5
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;13067;4
73700;;;INTARIAN_PEPPER_ROOT;XIRECS;13067;4
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;13067;3
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;13073;5
84400;;;INTARIAN_PEPPER_ROOT;XIRECS;13088;5
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;13092;6
87400;;;INTARIAN_PEPPER_ROOT;XIRECS;13080;3
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;13087;8
92500;;;INTARIAN_PEPPER_ROOT;XIRECS;13103;7
95100;;;INTARIAN_PEPPER_ROOT;XIRECS;13091;8
97200;;;INTARIAN_PEPPER_ROOT;XIRECS;13104;7
