rank,pnl,own_trades,repo,rel,url,score,error
1,666607.0,5823,chennethelius__slu-imc-prosperity-4,strategies/round3/hybrid.py,https://github.com/chennethelius/slu-imc-prosperity-4,480,
2,465369.5,6332,Fisjo__imc-prosperity-4,Round3/ftrader-round3-v4.py,https://github.com/Fisjo/imc-prosperity-4,415,
3,432562.5,5750,Fisjo__imc-prosperity-4,Round3/trader-round3-v2.py,https://github.com/Fisjo/imc-prosperity-4,435,
4,394048.5,3767,Fisjo__imc-prosperity-4,Round3/nftrader-round3-v5.py,https://github.com/Fisjo/imc-prosperity-4,415,
5,215015.0,2501,Oscarlifeiyang__Backtester-for-IMC-prosperity-4-,trader_r3_v7.py,https://github.com/Oscarlifeiyang/Backtester-for-IMC-prosperity-4-,460,
6,132889.0,1878,Oscarlifeiyang__Backtester-for-IMC-prosperity-4-,trader_r3.py,https://github.com/Oscarlifeiyang/Backtester-for-IMC-prosperity-4-,460,
7,127927.0,1908,chennethelius__slu-imc-prosperity-4,strategies/round3/v07_v03_plus_pos_reduce.py,https://github.com/chennethelius/slu-imc-prosperity-4,480,
8,127927.0,1908,chennethelius__slu-imc-prosperity-4,strategies/round3/v03_iv_scalp_dual_mr.py,https://github.com/chennethelius/slu-imc-prosperity-4,455,
9,127887.0,1939,chennethelius__slu-imc-prosperity-4,strategies/round3/v01_bs_smile_flow.py,https://github.com/chennethelius/slu-imc-prosperity-4,455,
10,127826.0,1914,chennethelius__slu-imc-prosperity-4,strategies/round3/v08_ema_trend_inf.py,https://github.com/chennethelius/slu-imc-prosperity-4,485,
11,127535.0,1922,chennethelius__slu-imc-prosperity-4,strategies/round3/v02_inventory_aware.py,https://github.com/chennethelius/slu-imc-prosperity-4,455,
12,120414.5,3669,nikaslukyanov__kernel_trick,ROUND3/engine_ab.py,https://github.com/nikaslukyanov/kernel_trick,415,
13,73918.0,2170,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot_v4_smile.py,https://github.com/Xa4-wi/Prosperity,540,
14,61935.5,3983,chennethelius__slu-imc-prosperity-4,strategies/round3/v04_p3_clean_mm.py,https://github.com/chennethelius/slu-imc-prosperity-4,500,
15,61589.5,2197,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot_v2.py,https://github.com/Xa4-wi/Prosperity,540,
16,59115.0,1709,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot_v5_risklock_oai.py,https://github.com/Xa4-wi/Prosperity,540,
17,58614.5,2137,nikaslukyanov__kernel_trick,ROUND3/451051/451051.py,https://github.com/nikaslukyanov/kernel_trick,410,
18,56506.5,2380,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot.py,https://github.com/Xa4-wi/Prosperity,540,
19,56422.5,4653,chennethelius__slu-imc-prosperity-4,strategies/round3/v05_informed_flow.py,https://github.com/chennethelius/slu-imc-prosperity-4,465,
20,56239.0,524,nikaslukyanov__kernel_trick,ROUND3/template_skew.py,https://github.com/nikaslukyanov/kernel_trick,400,
21,54056.0,388,nikaslukyanov__kernel_trick,ROUND3/template.py,https://github.com/nikaslukyanov/kernel_trick,400,
22,52222.5,2354,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot_v3_bs.py,https://github.com/Xa4-wi/Prosperity,540,
23,49690.5,1720,Adhvaith-A__RAV3N-IMC-prosperity-4,IMC-P4/Round-3/Algo/experiments/traderv1-unn.py,https://github.com/Adhvaith-A/RAV3N-IMC-prosperity-4,440,
24,46416.0,578,ishaanthenerd__IMC-Prosperity-4,algo/R3_ig.py,https://github.com/ishaanthenerd/IMC-Prosperity-4,410,
25,45697.5,4936,chennethelius__slu-imc-prosperity-4,strategies/round3/v06_targeted_p3_informed.py,https://github.com/chennethelius/slu-imc-prosperity-4,465,
26,44571.0,1915,amberhli__IMC-Prosperity-4,Round-3/algos/trader1.py,https://github.com/amberhli/IMC-Prosperity-4,465,
27,44273.0,2241,Xa4-wi__Prosperity,Bots/Round3/robust_round3_bot_v5_hybrid_bs.py,https://github.com/Xa4-wi/Prosperity,565,
28,39206.5,8015,quantrron__IMC_Prosperity-4,trader.py,https://github.com/quantrron/IMC_Prosperity-4,465,
