timestamp,symbol,price,quantity,buyer,seller
30000,TOMATOES,4988,7,SUBMISSION,
117600,TOMATOES,4998,8,,SUBMISSION
220800,TOMATOES,4986,5,SUBMISSION,
280100,TOMATOES,4982,8,SUBMISSION,
335800,TOMATOES,4991,8,,SUBMISSION
369200,TOMATOES,4994,10,SUBMISSION,
416700,TOMATOES,4983,9,SUBMISSION,
432300,TOMATOES,4997,5,,SUBMISSION
432400,TOMATOES,4997,8,,SUBMISSION
434000,TOMATOES,4999,10,,SUBMISSION
477000,TOMATOES,4983,9,SUBMISSION,
613200,TOMATOES,4976,7,,SUBMISSION
689800,TOMATOES,4962,3,SUBMISSION,
691100,TOMATOES,4959,10,SUBMISSION,
741700,TOMATOES,4961,3,,SUBMISSION
743000,TOMATOES,4962,8,,SUBMISSION
832100,TOMATOES,4956,5,SUBMISSION,
985300,TOMATOES,4950,10,SUBMISSION,
