timestamp,symbol,price,quantity,buyer,seller
600,TOMATOES,5014,4,SUBMISSION,
900,TOMATOES,5000,3,,SUBMISSION
1100,TOMATOES,5013,3,SUBMISSION,
1400,TOMATOES,5000,3,,SUBMISSION
1500,TOMATOES,5014,4,SUBMISSION,
1700,TOMATOES,5000,3,,SUBMISSION
1900,TOMATOES,5000,3,,SUBMISSION
2200,TOMATOES,4997,4,,SUBMISSION
2500,TOMATOES,4996,3,,SUBMISSION
2900,TOMATOES,5011,3,SUBMISSION,
4200,TOMATOES,5009,3,SUBMISSION,
4300,TOMATOES,4995,4,,SUBMISSION
4500,TOMATOES,5009,3,SUBMISSION,
5000,TOMATOES,5009,3,SUBMISSION,
5700,TOMATOES,5009,4,SUBMISSION,
5800,TOMATOES,4995,3,,SUBMISSION
7600,TOMATOES,5012,3,SUBMISSION,
9600,TOMATOES,4999,3,,SUBMISSION
10300,TOMATOES,5015,3,SUBMISSION,
10600,TOMATOES,5002,3,,SUBMISSION
11100,TOMATOES,4999,3,,SUBMISSION
11800,TOMATOES,4999,3,,SUBMISSION
12100,TOMATOES,5012,3,SUBMISSION,
12300,TOMATOES,5014,3,SUBMISSION,
13000,TOMATOES,4998,3,,SUBMISSION
13700,TOMATOES,5012,5,SUBMISSION,
13900,TOMATOES,4997,8,,SUBMISSION
14900,TOMATOES,5009,3,SUBMISSION,
15800,TOMATOES,5012,3,SUBMISSION,
15900,TOMATOES,4998,3,,SUBMISSION
17400,TOMATOES,5010,4,SUBMISSION,
17800,TOMATOES,4996,3,,SUBMISSION
18500,TOMATOES,4994,6,,SUBMISSION
19400,TOMATOES,5006,3,SUBMISSION,
20300,TOMATOES,5006,3,SUBMISSION,
20400,TOMATOES,4992,4,,SUBMISSION
20500,TOMATOES,5005,3,SUBMISSION,
20700,TOMATOES,5005,3,SUBMISSION,
21300,TOMATOES,4992,3,,SUBMISSION
22600,TOMATOES,5004,3,SUBMISSION,
22900,TOMATOES,4991,3,,SUBMISSION
23500,TOMATOES,4989,3,,SUBMISSION
24400,TOMATOES,5003,3,SUBMISSION,
25700,TOMATOES,5003,3,SUBMISSION,
26300,TOMATOES,4987,3,,SUBMISSION
26800,TOMATOES,4989,3,,SUBMISSION
27000,TOMATOES,5002,3,SUBMISSION,
27400,TOMATOES,5002,6,SUBMISSION,
27600,TOMATOES,4987,4,,SUBMISSION
28000,TOMATOES,4987,3,,SUBMISSION
28900,TOMATOES,5000,5,SUBMISSION,
29100,TOMATOES,4985,4,,SUBMISSION
29600,TOMATOES,4984,3,,SUBMISSION
30000,TOMATOES,4983,5,,SUBMISSION
30000,TOMATOES,4983,1,,SUBMISSION
30200,TOMATOES,4996,3,SUBMISSION,
30400,TOMATOES,4996,4,SUBMISSION,
31000,TOMATOES,4997,4,SUBMISSION,
33200,TOMATOES,4984,3,,SUBMISSION
33400,TOMATOES,4998,3,SUBMISSION,
35100,TOMATOES,5000,3,SUBMISSION,
36600,TOMATOES,4985,3,,SUBMISSION
37900,TOMATOES,4984,3,,SUBMISSION
38200,TOMATOES,4982,3,,SUBMISSION
38400,TOMATOES,4982,3,,SUBMISSION
38900,TOMATOES,4994,3,SUBMISSION,
41100,TOMATOES,4991,3,SUBMISSION,
41700,TOMATOES,4991,4,SUBMISSION,
42200,TOMATOES,4976,3,,SUBMISSION
42600,TOMATOES,4975,3,,SUBMISSION
43400,TOMATOES,4989,3,SUBMISSION,
43500,TOMATOES,4990,4,SUBMISSION,
43800,TOMATOES,4976,3,,SUBMISSION
44300,TOMATOES,4991,3,SUBMISSION,
45100,TOMATOES,4976,3,,SUBMISSION
45500,TOMATOES,4976,4,,SUBMISSION
45600,TOMATOES,4989,5,SUBMISSION,
46500,TOMATOES,4990,3,SUBMISSION,
46600,TOMATOES,4976,6,,SUBMISSION
46900,TOMATOES,4991,3,SUBMISSION,
48500,TOMATOES,4993,3,SUBMISSION,
48700,TOMATOES,4995,4,SUBMISSION,
49100,TOMATOES,4996,3,SUBMISSION,
49500,TOMATOES,4981,4,,SUBMISSION
50100,TOMATOES,4982,3,,SUBMISSION
50300,TOMATOES,4980,3,,SUBMISSION
50400,TOMATOES,4980,4,,SUBMISSION
51100,TOMATOES,4994,3,SUBMISSION,
51600,TOMATOES,4994,5,SUBMISSION,
51900,TOMATOES,4980,3,,SUBMISSION
52500,TOMATOES,4979,3,,SUBMISSION
52600,TOMATOES,4980,3,,SUBMISSION
52800,TOMATOES,4994,4,SUBMISSION,
53100,TOMATOES,4995,3,SUBMISSION,
53700,TOMATOES,4997,3,SUBMISSION,
54800,TOMATOES,4982,3,,SUBMISSION
55800,TOMATOES,4982,3,,SUBMISSION
56100,TOMATOES,4981,3,,SUBMISSION
56500,TOMATOES,4980,5,,SUBMISSION
56600,TOMATOES,4995,3,SUBMISSION,
56900,TOMATOES,4994,3,SUBMISSION,
57200,TOMATOES,4995,3,SUBMISSION,
57900,TOMATOES,4981,3,,SUBMISSION
58100,TOMATOES,4995,3,SUBMISSION,
59000,TOMATOES,4979,3,,SUBMISSION
59900,TOMATOES,4995,4,SUBMISSION,
60400,TOMATOES,4996,3,SUBMISSION,
61200,TOMATOES,4982,5,,SUBMISSION
61400,TOMATOES,4997,6,SUBMISSION,
62000,TOMATOES,4983,3,,SUBMISSION
65300,TOMATOES,4983,3,,SUBMISSION
65400,TOMATOES,4983,3,,SUBMISSION
65700,TOMATOES,4997,3,SUBMISSION,
66100,TOMATOES,4996,3,SUBMISSION,
66500,TOMATOES,4982,4,,SUBMISSION
66800,TOMATOES,4981,3,,SUBMISSION
68500,TOMATOES,4993,3,SUBMISSION,
68900,TOMATOES,4994,3,SUBMISSION,
69400,TOMATOES,4979,3,,SUBMISSION
69900,TOMATOES,4994,3,SUBMISSION,
70500,TOMATOES,4980,4,,SUBMISSION
71500,TOMATOES,4994,3,SUBMISSION,
72000,TOMATOES,4995,3,SUBMISSION,
74000,TOMATOES,4981,3,,SUBMISSION
74100,TOMATOES,4996,4,SUBMISSION,
75200,TOMATOES,4982,3,,SUBMISSION
75800,TOMATOES,4982,3,,SUBMISSION
76800,TOMATOES,4997,3,SUBMISSION,
77100,TOMATOES,4997,3,SUBMISSION,
77500,TOMATOES,4982,4,,SUBMISSION
78500,TOMATOES,4997,5,SUBMISSION,
78700,TOMATOES,4984,3,,SUBMISSION
80500,TOMATOES,4985,4,,SUBMISSION
82100,TOMATOES,4981,3,,SUBMISSION
84600,TOMATOES,4993,7,SUBMISSION,
84800,TOMATOES,4979,3,,SUBMISSION
85100,TOMATOES,4977,4,,SUBMISSION
86000,TOMATOES,4991,4,SUBMISSION,
87200,TOMATOES,4990,3,SUBMISSION,
87900,TOMATOES,4976,4,,SUBMISSION
88600,TOMATOES,4976,4,,SUBMISSION
88800,TOMATOES,4989,3,SUBMISSION,
91000,TOMATOES,4974,3,,SUBMISSION
91100,TOMATOES,4988,3,SUBMISSION,
91300,TOMATOES,4987,3,SUBMISSION,
93700,TOMATOES,4971,3,,SUBMISSION
94000,TOMATOES,4984,3,SUBMISSION,
