timestamp,cash,realized_pnl,unrealized_pnl,total_pnl,own_trade_count,positions
0,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
100,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
200,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
300,-15024.00,0.00,-19.50,-19.50,1,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
400,-15024.00,0.00,-19.50,-19.50,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
500,-15024.00,0.00,-21.00,-21.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
600,-15024.00,0.00,-22.50,-22.50,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
700,-45.00,-45.00,0.00,-45.00,1,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
800,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
900,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1000,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1100,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1200,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1300,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1400,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1500,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1600,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1700,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1800,-45.00,-45.00,0.00,-45.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
1900,14931.00,-45.00,-19.50,-64.50,1,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2000,14931.00,-45.00,-19.50,-64.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2100,14931.00,-45.00,-18.00,-63.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2200,14931.00,-45.00,-16.50,-61.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2300,14931.00,-45.00,-16.50,-61.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2400,14931.00,-45.00,-16.50,-61.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
2500,29901.00,-45.00,-33.00,-78.00,1,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
2600,29901.00,-45.00,-33.00,-78.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
2700,29901.00,-45.00,-33.00,-78.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
2800,29901.00,-45.00,-27.00,-72.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
2900,29901.00,-45.00,-33.00,-78.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
3000,29901.00,-45.00,-30.00,-75.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
3100,29901.00,-45.00,-27.00,-72.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
3200,29901.00,-45.00,-24.00,-69.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
3300,54841.00,-45.00,-9.50,-54.50,1,"{""EMERALDS"": 0, ""TOMATOES"": -11}"
3400,54841.00,-45.00,-53.50,-98.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -11}"
3500,39838.00,-79.09,-38.91,-118.00,1,"{""EMERALDS"": 0, ""TOMATOES"": -8}"
3600,39838.00,-79.09,-42.91,-122.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -8}"
3700,24832.00,-116.18,-26.82,-143.00,1,"{""EMERALDS"": 0, ""TOMATOES"": -5}"
3800,24832.00,-116.18,-26.82,-143.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -5}"
3900,24832.00,-116.18,-29.32,-145.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -5}"
4000,9826.00,-153.27,-11.73,-165.00,1,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4100,9826.00,-153.27,-11.73,-165.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4200,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4300,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4400,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4500,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4600,9826.00,-153.27,-10.73,-164.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4700,9826.00,-153.27,-8.73,-162.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4800,9826.00,-153.27,-8.73,-162.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
4900,9826.00,-153.27,-7.73,-161.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5000,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5100,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5200,9826.00,-153.27,-9.73,-163.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5300,9826.00,-153.27,-10.73,-164.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5400,9826.00,-153.27,-10.73,-164.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5500,9826.00,-153.27,-10.73,-164.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -2}"
5600,-15184.00,-178.00,-12.00,-190.00,1,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
5700,-15184.00,-178.00,-19.50,-197.50,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
5800,-15184.00,-178.00,-21.00,-199.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
5900,-15184.00,-178.00,-21.00,-199.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 3}"
6000,-220.00,-220.00,0.00,-220.00,1,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6100,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6200,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6300,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6400,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6500,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6600,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6700,-220.00,-220.00,0.00,-220.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
6800,29702.00,-220.00,-15.00,-235.00,1,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
6900,29702.00,-220.00,-36.00,-256.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
7000,29702.00,-220.00,-39.00,-259.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -6}"
7100,14702.00,-259.00,-19.50,-278.50,1,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7200,14702.00,-259.00,-19.50,-278.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7300,14702.00,-259.00,-21.00,-280.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7400,14702.00,-259.00,-19.50,-278.50,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7500,14702.00,-259.00,-21.00,-280.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7600,14702.00,-259.00,-21.00,-280.00,0,"{""EMERALDS"": 0, ""TOMATOES"": -3}"
7700,-301.00,-301.00,0.00,-301.00,1,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
