timestamp,cash,realized_pnl,unrealized_pnl,total_pnl,own_trade_count,positions
0,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
100,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
200,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
300,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
400,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
500,0.00,0.00,0.00,0.00,0,"{""EMERALDS"": 0, ""TOMATOES"": 0}"
600,120012.00,0.00,-12.00,-12.00,1,"{""EMERALDS"": -12, ""TOMATOES"": 0}"
700,120012.00,0.00,-12.00,-12.00,0,"{""EMERALDS"": -12, ""TOMATOES"": 0}"
800,120012.00,0.00,-12.00,-12.00,0,"{""EMERALDS"": -12, ""TOMATOES"": 0}"
900,320321.00,0.00,-65.00,-65.00,5,"{""EMERALDS"": -20, ""TOMATOES"": -24}"
1000,370431.00,0.00,-71.00,-71.00,1,"{""EMERALDS"": -20, ""TOMATOES"": -34}"
1100,515866.00,0.00,-265.00,-265.00,4,"{""EMERALDS"": -20, ""TOMATOES"": -63}"
1200,601169.00,0.00,-411.00,-411.00,3,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1300,601169.00,0.00,-51.00,-51.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1400,601169.00,0.00,-311.00,-311.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1500,601169.00,0.00,-531.00,-531.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1600,601169.00,0.00,-851.00,-851.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1700,601169.00,0.00,-851.00,-851.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1800,601169.00,0.00,-471.00,-471.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
1900,601169.00,0.00,-1191.00,-1191.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2000,601169.00,0.00,-1031.00,-1031.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2100,601169.00,0.00,-1191.00,-1191.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2200,601169.00,0.00,-1271.00,-1271.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2300,601169.00,0.00,-371.00,-371.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2400,601169.00,0.00,-771.00,-771.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2500,601169.00,0.00,-1011.00,-1011.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
2600,481157.00,4.80,-1487.80,-1483.00,1,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
2700,481157.00,4.80,-2207.80,-2203.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
2800,481157.00,4.80,-2615.80,-2611.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
2900,481157.00,4.80,-2455.80,-2451.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3000,481157.00,4.80,-3183.80,-3179.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3100,481157.00,4.80,-4543.80,-4539.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3200,481157.00,4.80,-4863.80,-4859.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3300,481157.00,4.80,-4455.80,-4451.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3400,481157.00,4.80,-4863.80,-4859.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3500,481157.00,4.80,-4703.80,-4699.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3600,481157.00,4.80,-5015.80,-5011.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3700,481157.00,4.80,-5415.80,-5411.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3800,481157.00,4.80,-5743.80,-5739.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
3900,481157.00,4.80,-6863.80,-6859.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
4000,601181.00,4.80,-7043.80,-7039.00,1,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4100,601181.00,4.80,-7343.80,-7339.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4200,601181.00,4.80,-7763.80,-7759.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4300,601181.00,4.80,-8063.80,-8059.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4400,601181.00,4.80,-8443.80,-8439.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4500,601181.00,4.80,-8123.80,-8119.00,0,"{""EMERALDS"": -20, ""TOMATOES"": -80}"
4600,481169.00,13.92,-8604.92,-8591.00,1,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
4700,481169.00,13.92,-9180.92,-9167.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
4800,481169.00,13.92,-9020.92,-9007.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
4900,481169.00,13.92,-9340.92,-9327.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5000,481169.00,13.92,-9420.92,-9407.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5100,481169.00,13.92,-9580.92,-9567.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5200,481169.00,13.92,-9900.92,-9887.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5300,481169.00,13.92,-9980.92,-9967.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5400,481169.00,13.92,-9732.92,-9719.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5500,481169.00,13.92,-9492.92,-9479.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5600,481169.00,13.92,-10292.92,-10279.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5700,481169.00,13.92,-10692.92,-10679.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5800,481169.00,13.92,-11244.92,-11231.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
5900,481169.00,13.92,-11252.92,-11239.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
6000,481169.00,13.92,-11084.92,-11071.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
6100,481169.00,13.92,-10924.92,-10911.00,0,"{""EMERALDS"": -8, ""TOMATOES"": -80}"
6200,391169.00,28.00,-10459.50,-10431.50,1,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6300,391169.00,28.00,-10700.00,-10672.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6400,391169.00,28.00,-10220.00,-10192.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6500,391169.00,28.00,-10380.00,-10352.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6600,391169.00,28.00,-10460.00,-10432.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6700,391169.00,28.00,-10220.00,-10192.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6800,391169.00,28.00,-10139.00,-10111.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
6900,391169.00,28.00,-10299.00,-10271.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7000,391169.00,28.00,-10540.00,-10512.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7100,391169.00,28.00,-10699.00,-10671.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7200,391169.00,28.00,-11658.00,-11630.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7300,391169.00,28.00,-11580.00,-11552.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7400,391169.00,28.00,-11100.00,-11072.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7500,391169.00,28.00,-10860.00,-10832.00,0,"{""EMERALDS"": 1, ""TOMATOES"": -80}"
7600,271181.00,28.00,-10473.00,-10445.00,1,"{""EMERALDS"": 13, ""TOMATOES"": -80}"
