timestamp,symbol,price,quantity,buyer,seller
600,EMERALDS,10001,12,,SUBMISSION
900,EMERALDS,10002,8,,SUBMISSION
900,TOMATOES,5013,7,,SUBMISSION
900,TOMATOES,5012,10,,SUBMISSION
900,TOMATOES,5012,5,,SUBMISSION
900,TOMATOES,5011,2,,SUBMISSION
1000,TOMATOES,5011,10,,SUBMISSION
1100,TOMATOES,5016,9,,SUBMISSION
1100,TOMATOES,5015,10,,SUBMISSION
1100,TOMATOES,5015,1,,SUBMISSION
1100,TOMATOES,5014,9,,SUBMISSION
1200,TOMATOES,5018,10,,SUBMISSION
1200,TOMATOES,5018,4,,SUBMISSION
1200,TOMATOES,5017,3,,SUBMISSION
2600,EMERALDS,10001,12,SUBMISSION,
4000,EMERALDS,10002,12,,SUBMISSION
4600,EMERALDS,10001,12,SUBMISSION,
6200,EMERALDS,10000,9,SUBMISSION,
7600,EMERALDS,9999,12,SUBMISSION,
8400,EMERALDS,10000,10,,SUBMISSION
8600,EMERALDS,10001,11,,SUBMISSION
9500,TOMATOES,5108,10,SUBMISSION,
9500,TOMATOES,5108,4,SUBMISSION,
9500,TOMATOES,5109,6,SUBMISSION,
9500,TOMATOES,5109,10,SUBMISSION,
9600,TOMATOES,5110,10,SUBMISSION,
9600,TOMATOES,5110,3,SUBMISSION,
9600,TOMATOES,5111,6,SUBMISSION,
9600,TOMATOES,5111,3,SUBMISSION,
9600,TOMATOES,5112,7,SUBMISSION,
10100,TOMATOES,5111,8,SUBMISSION,
10200,TOMATOES,5110,8,SUBMISSION,
10200,TOMATOES,5111,10,SUBMISSION,
10400,TOMATOES,5106,10,SUBMISSION,
10400,TOMATOES,5106,3,SUBMISSION,
10400,TOMATOES,5107,7,SUBMISSION,
10400,TOMATOES,5107,8,SUBMISSION,
10400,TOMATOES,5108,2,SUBMISSION,
10500,TOMATOES,5106,10,SUBMISSION,
10500,TOMATOES,5106,1,SUBMISSION,
10500,TOMATOES,5107,6,SUBMISSION,
10500,TOMATOES,5107,1,SUBMISSION,
10500,TOMATOES,5108,9,SUBMISSION,
10600,TOMATOES,5095,10,SUBMISSION,
10600,TOMATOES,5095,4,SUBMISSION,
10600,TOMATOES,5096,4,SUBMISSION,
11000,EMERALDS,10000,10,SUBMISSION,
11300,EMERALDS,9999,8,SUBMISSION,
11600,EMERALDS,9998,12,SUBMISSION,
12100,EMERALDS,10000,12,,SUBMISSION
12100,EMERALDS,10000,5,,SUBMISSION
12100,EMERALDS,9999,7,,SUBMISSION
13600,EMERALDS,10001,8,,SUBMISSION
13900,EMERALDS,10002,12,,SUBMISSION
14600,EMERALDS,10001,12,SUBMISSION,
14800,EMERALDS,10000,12,SUBMISSION,
15100,EMERALDS,9999,12,SUBMISSION,
16600,EMERALDS,10000,12,,SUBMISSION
16700,EMERALDS,10001,12,,SUBMISSION
