product,mode,base,best,improve,shift,base_d2,base_d3,base_d4,best_d2,best_d3,best_d4
SLEEP_POD_SUEDE,static,20770.0,50564.0,29794.0,697.458,10950.0,6495.0,3325.0,10950.0,10407.0,29207.0
PEBBLES_XS,static,35800.0,58740.0,22940.0,-1449.547,19455.0,21095.0,-4750.0,19455.0,11985.0,27300.0
TRANSLATOR_VOID_BLUE,static,28109.0,50625.0,22516.0,376.515,8066.0,13495.0,6548.0,14166.0,18251.0,18208.0
UV_VISOR_RED,static,23086.0,45367.0,22281.0,-279.165,20375.0,7446.0,-4735.0,35669.0,16753.0,-7055.0
UV_VISOR_MAGENTA,static,27855.5,47892.0,20036.5,506.182,12861.5,10295.0,4699.0,12935.0,12990.0,21967.0
TRANSLATOR_GRAPHITE_MIST,static,31064.0,49173.0,18109.0,-212.305,4570.0,5474.0,21020.0,21850.0,10143.0,17180.0
SLEEP_POD_POLYESTER,static,43911.0,56488.0,12577.0,171.07,17615.0,17183.0,9113.0,17615.0,29760.0,9113.0
GALAXY_SOUNDS_DARK_MATTER,static,50714.0,63016.0,12302.0,41.338,13015.0,19993.0,17706.0,14166.0,31254.0,17596.0
TRANSLATOR_ASTRO_BLACK,static,26688.0,35686.0,8998.0,-48.975,-1590.0,11237.0,17041.0,-1590.0,16538.0,20738.0
TRANSLATOR_SPACE_GRAY,static,22762.0,31639.0,8877.0,263.921,5030.0,9680.0,8052.0,14708.0,12610.0,4321.0
GALAXY_SOUNDS_BLACK_HOLES,mid,33218.0,40097.0,6879.0,2.0,3796.0,14061.0,15361.0,16479.0,6381.0,17237.0
UV_VISOR_AMBER,static,26045.0,32185.0,6140.0,-797.534,14935.0,12870.0,-1760.0,14935.0,11030.0,6220.0
UV_VISOR_YELLOW,static,38885.0,44413.0,5528.0,34.09,18085.0,0.0,20800.0,17705.0,0.0,26708.0
ROBOT_DISHES,static,21493.0,26065.0,4572.0,-69.58,5360.0,26483.0,-10350.0,4618.0,32247.0,-10800.0
