product,base,best,improve,base_d2,base_d3,base_d4,best_d2,best_d3,best_d4,shift,z,edge,imp,walk
SLEEP_POD_SUEDE,50564.0,65373.0,14809.0,10950.0,10407.0,29207.0,10950.0,31659.0,22764.0,697.458,0.4,6.0,0,True
UV_VISOR_AMBER,32185.0,42171.0,9986.0,14935.0,11030.0,6220.0,14935.0,11030.0,16206.0,-1046.764,0.3,15.0,1,False
ROBOT_DISHES,26065.0,32268.0,6203.0,4618.0,32247.0,-10800.0,6448.0,36194.0,-10374.0,-55.664,0.35,1.0,0,True
PEBBLES_S,46637.0,52761.0,6124.0,19330.0,7032.0,20275.0,19088.0,6728.0,26945.0,1.0,0.0,3.0,1,False
PEBBLES_XS,58740.0,64152.0,5412.0,19455.0,11985.0,27300.0,19455.0,32737.0,11960.0,-1014.683,0.35,2.0,0,False
MICROCHIP_RECTANGLE,41174.0,46434.0,5260.0,5750.0,21744.0,13680.0,5750.0,22696.0,17988.0,-470.012,1.0,0.0,0,False
GALAXY_SOUNDS_BLACK_HOLES,40097.0,45323.5,5226.5,16479.0,6381.0,17237.0,18410.0,13163.0,13750.5,2.0,0.0,1.5,4,False
OXYGEN_SHAKE_CHOCOLATE,25944.0,31027.0,5083.0,8964.0,12415.0,4565.0,10610.0,8094.0,12323.0,0.0,0.0,5.0,6,False
SLEEP_POD_COTTON,41035.0,45970.0,4935.0,11190.0,10708.0,19137.0,11190.0,14460.0,20320.0,554.808,1.5,0.0,0,True
UV_VISOR_ORANGE,28390.0,32514.0,4124.0,0.0,9465.0,18925.0,7345.0,8575.0,16594.0,-151.416,1.55,0.0,0,True
MICROCHIP_OVAL,60348.5,64398.5,4050.0,24466.0,27672.5,8210.0,18851.0,31411.5,14136.0,-1.0,0.0,1.5,4,False
OXYGEN_SHAKE_EVENING_BREATH,49023.0,52265.0,3242.0,1392.0,24929.0,22702.0,1450.0,26038.0,24777.0,0.0,0.55,15.0,1,False
UV_VISOR_MAGENTA,47892.0,51105.0,3213.0,12935.0,12990.0,21967.0,12935.0,14371.0,23799.0,506.182,0.35,6.0,1,False
OXYGEN_SHAKE_GARLIC,29856.0,33057.0,3201.0,18225.0,24746.0,-13115.0,18225.0,27003.0,-12171.0,-47.667,0.35,25.0,5,True
MICROCHIP_SQUARE,69474.0,72659.0,3185.0,11689.0,32426.0,25359.0,10474.0,36244.0,25941.0,2.0,0.0,15.0,1,True
GALAXY_SOUNDS_SOLAR_FLAMES,62897.0,66032.0,3135.0,27315.0,20017.0,15565.0,27815.0,21655.0,16562.0,-33.761,0.8,2.0,0,False
GALAXY_SOUNDS_PLANETARY_RINGS,43636.0,46683.0,3047.0,10805.0,-1655.0,34486.0,12213.0,-1655.0,36125.0,-172.313,0.8,12.0,0,False
TRANSLATOR_GRAPHITE_MIST,49173.0,52187.0,3014.0,21850.0,10143.0,17180.0,18289.0,14696.0,19202.0,-199.816,0.15,0.0,0,False
