category,target,test_day,features,intercept,betas,resid_std,resid_mae,resid_ac1,resid_diff_ac1
galaxy,GALAXY_SOUNDS_DARK_MATTER,2,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",13279.732284909303,"{""GALAXY_SOUNDS_BLACK_HOLES"":-0.10542770564506479,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.2414839940058722,""GALAXY_SOUNDS_SOLAR_WINDS"":0.001241650346454431,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.4011758927731115}",485.2730397409448,408.2964619001092,0.9997282145762715,-0.009910459074552623
galaxy,GALAXY_SOUNDS_DARK_MATTER,3,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",10480.13972036557,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.05925856167478147,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.06183468317592737,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.18827848885555673,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.026923668284558822}",374.91093934871583,319.206962045909,0.9995942825764849,-0.029002837440967898
galaxy,GALAXY_SOUNDS_DARK_MATTER,4,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",2029.8801291203526,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.43580139397141016,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.031055912977927147,""GALAXY_SOUNDS_SOLAR_WINDS"":0.2746204806519337,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.03181400416566753}",490.21195770269566,1082.2861871635412,0.9996978678467624,-0.0223658850270763
galaxy,GALAXY_SOUNDS_BLACK_HOLES,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",29488.19794520776,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.3671243297763648,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.9609626609162881,""GALAXY_SOUNDS_SOLAR_WINDS"":0.14998876124486143,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.42715351277825364}",956.4317461225453,2244.120687584981,0.9998646182775801,-0.016459412388983168
galaxy,GALAXY_SOUNDS_BLACK_HOLES,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",-16521.71439989032,"{""GALAXY_SOUNDS_DARK_MATTER"":0.5051740612054249,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.8149624971559449,""GALAXY_SOUNDS_SOLAR_WINDS"":0.9714383448158982,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.40159188210176033}",746.8550995404934,1638.6295323033937,0.9996738336338113,-0.007726878355446044
galaxy,GALAXY_SOUNDS_BLACK_HOLES,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",2933.9303562868317,"{""GALAXY_SOUNDS_DARK_MATTER"":0.9109357817410906,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.16412635878023843,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.43977286063232807,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.11749468013739053}",743.9425095443945,2210.535267378834,0.9997475616065137,-0.027640855784075793
galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",12912.429235591826,"{""GALAXY_SOUNDS_DARK_MATTER"":0.3855347243757855,""GALAXY_SOUNDS_BLACK_HOLES"":-0.44057845107120563,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.08904160655537738,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.03942647195131801}",577.6622399377399,1633.1935189153346,0.9997905608550739,-0.01055839442710623
galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",10114.181869614682,"{""GALAXY_SOUNDS_DARK_MATTER"":0.16122891792831628,""GALAXY_SOUNDS_BLACK_HOLES"":0.24926338373168408,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.014363558265027413,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.3776118445749014}",243.19667584978586,1451.9792709418623,0.9985912094418314,-0.004168168759740654
galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",-5252.816410362677,"{""GALAXY_SOUNDS_DARK_MATTER"":0.3396545565556961,""GALAXY_SOUNDS_BLACK_HOLES"":0.8587610376612191,""GALAXY_SOUNDS_SOLAR_WINDS"":0.5840672363012749,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.24389697501872748}",724.7861183141714,2076.385305829434,0.9997198063046332,-0.011667445552420367
galaxy,GALAXY_SOUNDS_SOLAR_WINDS,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",16131.801773207426,"{""GALAXY_SOUNDS_DARK_MATTER"":0.0032001615032829604,""GALAXY_SOUNDS_BLACK_HOLES"":0.11101275724427984,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.1437442296410505,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.473942083734668}",395.15053190993297,592.4894790500157,0.9995657935868617,-0.024480224352385994
galaxy,GALAXY_SOUNDS_SOLAR_WINDS,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",13980.613018696196,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.4734213315826286,""GALAXY_SOUNDS_BLACK_HOLES"":0.2865315332395726,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.013851549544434948,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.17056489795525562}",562.7159195278099,472.0767790184598,0.9997716074997615,-0.015594059205117286
galaxy,GALAXY_SOUNDS_SOLAR_WINDS,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",9052.307810221915,"{""GALAXY_SOUNDS_DARK_MATTER"":0.7505828429772609,""GALAXY_SOUNDS_BLACK_HOLES"":-0.5750359386113844,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.1459605230011298,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.16856426175585543}",607.6999223489199,1804.3341541895154,0.9996709836655548,-0.027992006065978493
galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",21725.619208456752,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.5877475948444534,""GALAXY_SOUNDS_BLACK_HOLES"":-0.1797138729947591,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.036180019710777944,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.2694069058360257}",641.8439230658694,607.5846098173487,0.9997938606911357,-0.03089820351468639
galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",13939.253351377698,"{""GALAXY_SOUNDS_DARK_MATTER"":0.056809487361867396,""GALAXY_SOUNDS_BLACK_HOLES"":0.09939891124359101,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.30557755254187113,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.1431295082699651}",379.25706820660747,655.6359144874014,0.9994968310104146,-0.0012489884345980415
galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",10884.855468121983,"{""GALAXY_SOUNDS_DARK_MATTER"":0.13411705703888133,""GALAXY_SOUNDS_BLACK_HOLES"":0.23696529095906835,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.0940110603948978,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.2599952862724819}",407.7185928860897,531.6934654716939,0.9995810515711223,-0.00439481125239175
sleep,SLEEP_POD_SUEDE,2,"SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",7518.79849556247,"{""SLEEP_POD_LAMB_WOOL"":0.3278778419217972,""SLEEP_POD_POLYESTER"":-0.03674257126095161,""SLEEP_POD_NYLON"":-0.0989633788419669,""SLEEP_POD_COTTON"":0.198619756931702}",507.8235817895497,1593.1350660397547,0.9997581866091644,-0.005443717977409389
sleep,SLEEP_POD_SUEDE,3,"SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",-775.6839448009941,"{""SLEEP_POD_LAMB_WOOL"":0.11819734956173118,""SLEEP_POD_POLYESTER"":0.7641574442260624,""SLEEP_POD_NYLON"":0.1955042374675523,""SLEEP_POD_COTTON"":-0.022507142218608497}",362.43354557638895,711.5189808609633,0.9991228087729879,-0.01277652345958547
sleep,SLEEP_POD_SUEDE,4,"SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",-2064.9925413720885,"{""SLEEP_POD_LAMB_WOOL"":-0.01016777492905512,""SLEEP_POD_POLYESTER"":0.9834745274821118,""SLEEP_POD_NYLON"":0.18400419693467415,""SLEEP_POD_COTTON"":0.03241367025809343}",361.1342206384406,664.3273908956098,0.9988146183414208,0.0014680084073362693
sleep,SLEEP_POD_LAMB_WOOL,2,"SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",3708.302719762518,"{""SLEEP_POD_SUEDE"":0.2526170914565963,""SLEEP_POD_POLYESTER"":0.04960961459057716,""SLEEP_POD_NYLON"":0.393160914864362,""SLEEP_POD_COTTON"":-0.04135793025638143}",502.6567564472615,670.0916226537454,0.999728803823511,-0.006944668323661949
sleep,SLEEP_POD_LAMB_WOOL,3,"SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",8060.356434667436,"{""SLEEP_POD_SUEDE"":0.13120664934630036,""SLEEP_POD_POLYESTER"":-0.19076572374664263,""SLEEP_POD_NYLON"":0.35554431403936604,""SLEEP_POD_COTTON"":0.002903983974604631}",278.0426634350397,262.1160821172284,0.9991767918968893,0.004420638068226401
