fold,y,name,legs,nlegs,sd,hl,phi,proxy,avg,trades,entry,margin,dayp,cross,coef,intercept,mu
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,cat4,GALAXY_SOUNDS_DARK_MATTER|GALAXY_SOUNDS_PLANETARY_RINGS|GALAXY_SOUNDS_SOLAR_FLAMES|GALAXY_SOUNDS_SOLAR_WINDS,4,316.093975024418,429.2908401714195,0.9983866697641063,-145284.0,-8.581959950381004,16929,1.8,1,"{3: -2630.5, 4: -142653.5}",0,1.15127|0.570702|0.389086|-0.0558787,-10430.328163920618,-20.1555530044443
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,lev2,OXYGEN_SHAKE_GARLIC|PEBBLES_XL,2,234.57032739583545,380.43704309535474,0.9981796827420772,-82706.0,-5.591265548945376,14792,1.0,1,"{3: 7445.0, 4: -90151.0}",2,0.140415|0.304561,5610.145469675631,-32.03770102259659
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,ret2,OXYGEN_SHAKE_EVENING_BREATH|SNACKPACK_CHOCOLATE,2,281.9533161920636,304.9809138368166,0.9977298248239181,-148100.0,-9.682902909447533,15295,1.0,1,"{3: 681.5, 4: -148781.5}",2,-0.867034|-0.720261,25818.493190376616,31.90615175362018
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,lev3,OXYGEN_SHAKE_GARLIC|PEBBLES_XL|PEBBLES_S,3,234.7237599731569,306.180386431569,0.9977387082532244,-28388.0,-3.0630125161847217,9268,2.2,1,"{3: 10621.5, 4: -39009.5}",3,0.0747184|0.262173|-0.267258,9405.37099456367,-23.100105369123412
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,ret3,OXYGEN_SHAKE_EVENING_BREATH|SNACKPACK_CHOCOLATE|MICROCHIP_SQUARE,3,268.120644949607,323.629675173653,0.9978605008283261,-130281.0,-8.696995994659545,14980,0.8,1,"{3: 18500.5, 4: -148781.5}",3,-0.760434|-0.712886|0.106715,23563.43864609248,29.202645450584896
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,lev4,OXYGEN_SHAKE_GARLIC|PEBBLES_XL|PEBBLES_S|TRANSLATOR_VOID_BLUE,4,215.05074715214184,321.6082947746833,0.9978470680811361,32993.5,3.26054946140923,10119,2.2,1,"{3: 43117.0, 4: -10123.5}",4,0.13563|0.16517|-0.245633|0.360599,5969.539675741355,-20.33848393689823
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,ret4,OXYGEN_SHAKE_EVENING_BREATH|SNACKPACK_CHOCOLATE|MICROCHIP_SQUARE|OXYGEN_SHAKE_GARLIC,4,227.61061988899544,212.41682814772074,0.9967421720049565,-140273.5,-10.488522506355615,13374,2.2,1,"{3: 1366.0, 4: -141639.5}",4,-0.961254|-0.405033|0.272607|-0.35914,24443.41244260168,16.496394851194964
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,lev5,OXYGEN_SHAKE_GARLIC|PEBBLES_XL|PEBBLES_S|TRANSLATOR_VOID_BLUE|PANEL_2X4,5,212.0082480114299,329.81624492601475,0.9979005905970305,65918.0,7.10629581716257,9276,2.2,1,"{3: 49701.5, 4: 16216.5}",5,0.124189|0.123413|-0.27518|0.362222|0.138062,5367.814533686841,-16.820435862604427
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,ret5,OXYGEN_SHAKE_EVENING_BREATH|SNACKPACK_CHOCOLATE|MICROCHIP_SQUARE|OXYGEN_SHAKE_GARLIC|SNACKPACK_PISTACHIO,5,207.41133654566917,188.54675900817938,0.996330487731848,-170295.5,-9.982736385485667,17059,0.8,1,"{3: -32616.0, 4: -137679.5}",5,-0.956053|-0.429799|0.314294|-0.459929|-0.43782,29514.558710208235,16.56039916862119
train_day_2_test_3_4,GALAXY_SOUNDS_BLACK_HOLES,ridge8,OXYGEN_SHAKE_GARLIC|PEBBLES_XL|PEBBLES_S|TRANSLATOR_VOID_BLUE|PANEL_2X4|OXYGEN_SHAKE_EVENING_BREATH|TRANSLATOR_SPACE_GRAY|ROBOT_DISHES,8,172.96853553306624,150.3708690117659,0.9954010236368792,-129602.5,-7.625470698987997,16996,0.8,1,"{3: 19179.0, 4: -148781.5}",8,-0.212777|0.0365776|-0.350284|0.226917|0.171627|-0.735529|0.215037|-0.198731,18391.32947535789,-14.223197997113857
