y,name,legs,folds,sum_proxy,mean_proxy,min_proxy,avg,trades,sd,hl,cross,entry,margin
PEBBLES_XS,lev2,PANEL_2X4|UV_VISOR_AMBER,4,287699.0,71924.75,50065.0,17.666660882188474,5988.25,310.01823908898336,410.94997765753146,2,2.2,1.0
PEBBLES_XS,lev4,PANEL_2X4|UV_VISOR_AMBER|MICROCHIP_OVAL|MICROCHIP_SQUARE,4,283816.0,70954.0,46902.5,21.41842793959928,6821.75,261.2564098052176,311.3754616525531,4,2.2,1.0
SLEEP_POD_SUEDE,lev3,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE|UV_VISOR_AMBER,4,267616.5,66904.125,37707.5,17.491404081576075,5030.5,234.7116616808297,421.2562651680406,3,1.65,1.0
SLEEP_POD_SUEDE,xlev5,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE|UV_VISOR_AMBER|TRANSLATOR_ASTRO_BLACK|PEBBLES_XS,4,265067.5,66266.875,35401.0,21.06292284467048,4112.75,221.03916346665366,349.42324526826155,5,2.2,1.0
PEBBLES_XL,lev3,PANEL_2X4|PEBBLES_L|PEBBLES_S,4,258479.0,64619.75,-6662.0,9.34101718772663,6822.5,487.3190527098858,576.5345091256384,1,2.0,1.0
PEBBLES_M,lev5,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_IRONING|PANEL_1X4|GALAXY_SOUNDS_SOLAR_WINDS|ROBOT_MOPPING,4,254715.5,63678.875,4600.5,41.41566797052721,2572.75,284.2177725555414,358.53096349858185,5,2.2,1.0
SLEEP_POD_SUEDE,lev4,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE|UV_VISOR_AMBER|SLEEP_POD_POLYESTER,4,247378.0,61844.5,31889.5,16.005944850228055,5260.75,236.0539295615495,399.526157367785,3,1.65,1.0
SLEEP_POD_POLYESTER,lev3,SLEEP_POD_COTTON|UV_VISOR_AMBER|UV_VISOR_YELLOW,4,235319.0,58829.75,21414.5,26.46329172379348,3699.75,251.1048777987196,515.6555947215362,2,2.2,1.0
SLEEP_POD_SUEDE,lev2,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE,4,229712.0,57428.0,29121.5,21.004408954673238,5652.25,244.3870324595565,425.92744954178886,2,2.2,1.0
PEBBLES_XS,lev5,PANEL_2X4|UV_VISOR_AMBER|MICROCHIP_OVAL|MICROCHIP_SQUARE|PEBBLES_XL,4,229509.5,57377.375,27077.5,14.722050130204343,7494.0,246.68325442433311,330.745425759311,4,2.2,1.0
PEBBLES_L,xlev2,MICROCHIP_CIRCLE|TRANSLATOR_SPACE_GRAY,4,225282.0,56320.5,19130.5,11.858578818565833,7318.75,396.3628594155089,637.4900012574938,2,2.2,1.0
PEBBLES_L,xlev3,MICROCHIP_CIRCLE|TRANSLATOR_SPACE_GRAY|TRANSLATOR_GRAPHITE_MIST,4,220755.5,55188.875,31522.0,14.678972066861135,6117.0,331.3017465619644,536.610846810342,3,2.0,1.0
PEBBLES_M,lev4,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_IRONING|PANEL_1X4|GALAXY_SOUNDS_SOLAR_WINDS,4,216847.5,54211.875,18687.5,32.596130627568535,2711.5,294.5965713407156,361.56816516985555,4,2.2,1.0
PEBBLES_XL,lev4,PANEL_2X4|PEBBLES_L|PEBBLES_S|OXYGEN_SHAKE_GARLIC,4,199509.0,49877.25,-3635.0,9.63271298962599,5424.75,495.0629962669411,569.7797469726702,2,2.2,1.0
SLEEP_POD_SUEDE,ridge8,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE|UV_VISOR_AMBER|SLEEP_POD_POLYESTER|TRANSLATOR_ASTRO_BLACK|PEBBLES_XS|UV_VISOR_MAGENTA|SLEEP_POD_COTTON,4,199457.0,49864.25,34213.0,29.767525351911402,3714.25,214.73327360182924,298.14655245292647,6,2.2,1.0
PEBBLES_XL,xret5,UV_VISOR_RED|GALAXY_SOUNDS_SOLAR_WINDS|TRANSLATOR_VOID_BLUE|GALAXY_SOUNDS_DARK_MATTER|SLEEP_POD_SUEDE,4,199233.0,49808.25,-19784.5,5.553247544046882,7678.0,650.7268407909448,402.5174190753045,5,1.35,1.0
SLEEP_POD_SUEDE,lev5,GALAXY_SOUNDS_PLANETARY_RINGS|MICROCHIP_SQUARE|UV_VISOR_AMBER|SLEEP_POD_POLYESTER|TRANSLATOR_ASTRO_BLACK,4,187650.5,46912.625,22625.0,23.942968601209902,3893.75,230.7595479397968,373.1613357271412,4,2.2,1.0
TRANSLATOR_VOID_BLUE,ridge8,PEBBLES_XL|TRANSLATOR_GRAPHITE_MIST|GALAXY_SOUNDS_BLACK_HOLES|PANEL_2X4|OXYGEN_SHAKE_EVENING_BREATH|SNACKPACK_CHOCOLATE|SNACKPACK_VANILLA|UV_VISOR_MAGENTA,4,184205.0,46051.25,18826.5,9.115163906007664,5821.25,159.36281045980593,165.5486188711592,7,1.85,1.0
ROBOT_IRONING,ridge8,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_MOPPING|PEBBLES_M|PANEL_1X4|MICROCHIP_OVAL|TRANSLATOR_ECLIPSE_CHARCOAL|MICROCHIP_RECTANGLE|PEBBLES_XS,4,182743.0,45685.75,22926.0,7.260663226929234,6816.0,221.50502379029362,423.08188742552306,7,2.0,1.0
