category,base,best1,gain1,ov1,best2,gain2,ov2
microchip,234448.5,244480.5,10032.0,"((1, 0.1),)",247547.5,13099.0,"((1, 0.1), (2, -0.05))"
snack,167845.0,170222.0,2377.0,"((2, -2),)",171080.0,3235.0,"((2, -2), (2, 0.25))"
galaxy,263092.5,264192.5,1100.0,"((10, -0.1),)",266041.5,2949.0,"((10, -0.1), (2, -0.05))"
translator,214738.0,216309.0,1571.0,"((5, -0.1),)",216689.0,1951.0,"((5, -0.1), (200, -0.05))"
visor,216012.0,216844.0,832.0,"((2, 0.05),)",216989.0,977.0,"((2, 0.05), (50, 0.1))"
robot,125291.0,125896.0,605.0,"((200, -0.1),)",126157.0,866.0,"((200, -0.1), (50, -0.05))"
panel,168503.0,168580.0,77.0,"((20, 0.05),)",168640.0,137.0,"((20, 0.05), (2, -0.1))"
sleep,236664.0,236664.0,0.0,(),236664.0,0.0,()
pebbles,352928.0,352928.0,0.0,(),352928.0,0.0,()
oxygen,202797.0,202797.0,0.0,(),202797.0,0.0,()
