product,mode,imp,edge,z,total,day_2,day_3,day_4
PEBBLES_XL,static,0,2.0,0.5,99074.0,45695.0,52056.0,1323.0
MICROCHIP_SQUARE,mid,0,2.0,0.0,62672.0,11881.0,20360.0,30431.0
GALAXY_SOUNDS_SOLAR_FLAMES,static,0,0.0,0.75,62315.0,27155.0,19622.0,15538.0
MICROCHIP_OVAL,mid,3,0.0,0.0,59780.5,24211.0,26908.5,8661.0
PEBBLES_L,static,1,0.0,0.25,58781.0,32054.0,25150.0,1577.0
SNACKPACK_RASPBERRY,static,0,2.0,1.0,50895.0,24805.0,12645.0,13445.0
OXYGEN_SHAKE_MINT,static,0,0.0,0.5,50077.0,30901.0,3840.0,15336.0
GALAXY_SOUNDS_DARK_MATTER,static,1,0.0,0.25,48606.0,13349.0,19684.0,15573.0
OXYGEN_SHAKE_EVENING_BREATH,static,2,6.0,0.5,48524.0,1410.0,24374.0,22740.0
PEBBLES_S,mid,1,1.0,0.0,46526.0,19505.0,4463.0,22558.0
SLEEP_POD_LAMB_WOOL,static,0,0.0,1.0,43966.0,20621.0,11829.0,11516.0
SLEEP_POD_POLYESTER,static,0,0.0,0.25,43911.0,17615.0,17183.0,9113.0
PANEL_2X4,static,0,6.0,0.75,43058.0,26506.0,12963.0,3589.0
GALAXY_SOUNDS_SOLAR_WINDS,static,0,0.0,1.0,42038.0,18703.0,15990.0,7345.0
GALAXY_SOUNDS_PLANETARY_RINGS,static,0,6.0,0.75,41844.0,12430.0,-595.0,30009.0
TRANSLATOR_ECLIPSE_CHARCOAL,static,0,6.0,0.5,41746.0,4786.0,21017.0,15943.0
UV_VISOR_YELLOW,static,0,0.0,1.5,38375.0,16385.0,-625.0,22615.0
SLEEP_POD_COTTON,static,0,2.0,1.0,37046.0,11190.0,15606.0,10250.0
OXYGEN_SHAKE_MORNING_BREATH,static,0,2.0,2.0,34686.0,0.0,34686.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,6.0,0.0,33218.0,3796.0,14061.0,15361.0
MICROCHIP_RECTANGLE,static,0,0.0,0.25,33073.0,5750.0,1628.0,25695.0
ROBOT_MOPPING,static,0,0.0,1.5,30704.0,-1251.0,25294.0,6661.0
PANEL_1X4,static,0,0.0,1.5,30428.0,-4123.0,23666.0,10885.0
SNACKPACK_VANILLA,static,0,2.0,0.75,29830.0,17715.0,10235.0,1880.0
PEBBLES_XS,static,0,0.0,1.0,29640.0,19455.0,9295.0,890.0
PANEL_4X4,static,0,0.0,0.75,29459.0,19473.0,6655.0,3331.0
PANEL_1X2,static,0,6.0,0.5,29451.0,24086.0,4195.0,1170.0
PEBBLES_M,static,0,2.0,1.5,28920.0,-2125.0,25115.0,5930.0
MICROCHIP_CIRCLE,static,1,6.0,0.75,28177.0,20434.0,5018.0,2725.0
UV_VISOR_MAGENTA,static,1,6.0,0.75,26528.5,12861.5,8968.0,4699.0
TRANSLATOR_ASTRO_BLACK,static,1,2.0,0.5,26235.0,-1590.0,8237.0,19588.0
OXYGEN_SHAKE_GARLIC,static,1,6.0,3.0,25790.0,19611.0,20646.0,-14467.0
TRANSLATOR_GRAPHITE_MIST,static,0,0.0,1.5,25672.0,101.0,13028.0,12543.0
OXYGEN_SHAKE_CHOCOLATE,mid,2,4.0,0.0,24551.0,8536.0,11894.0,4121.0
SNACKPACK_CHOCOLATE,static,0,6.0,0.5,24300.0,13345.0,7455.0,3500.0
SNACKPACK_STRAWBERRY,static,1,0.0,0.5,23886.0,4648.0,18212.0,1026.0
UV_VISOR_AMBER,static,0,0.0,0.5,22965.0,14935.0,10630.0,-2600.0
PANEL_2X2,static,0,6.0,0.5,22811.0,12665.0,8225.0,1921.0
UV_VISOR_ORANGE,static,0,6.0,2.0,22065.0,0.0,0.0,22065.0
ROBOT_DISHES,static,0,6.0,0.25,21493.0,5360.0,26483.0,-10350.0
TRANSLATOR_VOID_BLUE,static,1,6.0,1.5,21139.5,11052.0,7003.5,3084.0
UV_VISOR_RED,static,1,0.0,0.5,21116.0,21533.0,4330.0,-4747.0
SNACKPACK_PISTACHIO,static,1,0.0,0.25,21082.0,13635.0,6336.0,1111.0
SLEEP_POD_SUEDE,static,0,0.0,0.5,20770.0,10950.0,6495.0,3325.0
TRANSLATOR_SPACE_GRAY,static,0,6.0,1.5,20391.0,6982.0,661.0,12748.0
ROBOT_IRONING,static,0,6.0,1.0,19680.0,4860.0,11550.0,3270.0
SLEEP_POD_NYLON,mid,1,0.5,0.0,13187.0,1743.0,6625.5,4818.5
ROBOT_VACUUMING,static,0,0.0,1.5,13102.0,-680.0,14662.0,-880.0
MICROCHIP_TRIANGLE,mid,1,0.0,0.0,12214.0,4961.0,-938.0,8191.0
ROBOT_LAUNDRY,static,0,0.0,1.0,12064.0,1904.0,9645.0,515.0
