product,mode,imp,edge,z,total,day_2,day_3,day_4
PEBBLES_XL,static,0,0.0,0.35,122080.0,67145.0,58705.0,-3770.0
PEBBLES_L,static,1,0.0,0.3,65553.0,36280.0,27162.0,2111.0
MICROCHIP_SQUARE,mid,4,10.0,0.0,65119.0,11822.0,21749.0,31548.0
GALAXY_SOUNDS_SOLAR_FLAMES,static,0,2.0,0.75,62315.0,27155.0,19622.0,15538.0
MICROCHIP_OVAL,mid,4,1.5,0.0,60348.5,24466.0,27672.5,8210.0
SNACKPACK_RASPBERRY,static,0,0.0,1.1,55455.0,26975.0,13675.0,14805.0
SLEEP_POD_LAMB_WOOL,static,0,2.0,1.25,54302.0,24811.0,14972.0,14519.0
GALAXY_SOUNDS_DARK_MATTER,static,1,0.0,0.35,50714.0,13015.0,19993.0,17706.0
OXYGEN_SHAKE_MINT,static,0,2.0,0.5,50077.0,30901.0,3840.0,15336.0
OXYGEN_SHAKE_EVENING_BREATH,static,3,12.0,0.5,49023.0,1392.0,24929.0,22702.0
PEBBLES_S,mid,1,3.0,0.0,46637.0,19330.0,7032.0,20275.0
SLEEP_POD_POLYESTER,static,0,6.0,0.25,43911.0,17615.0,17183.0,9113.0
PANEL_2X4,static,0,6.0,0.75,43058.0,26506.0,12963.0,3589.0
GALAXY_SOUNDS_SOLAR_WINDS,static,0,2.0,1.0,42038.0,18703.0,15990.0,7345.0
GALAXY_SOUNDS_PLANETARY_RINGS,static,0,12.0,0.75,41844.0,12430.0,-595.0,30009.0
TRANSLATOR_ECLIPSE_CHARCOAL,static,0,4.0,0.5,41746.0,4786.0,21017.0,15943.0
PEBBLES_M,static,0,2.0,0.15,40414.0,-970.0,25391.0,15993.0
UV_VISOR_YELLOW,static,0,6.0,1.75,38885.0,18085.0,0.0,20800.0
SLEEP_POD_COTTON,static,0,0.0,0.9,37836.0,11190.0,17436.0,9210.0
MICROCHIP_RECTANGLE,static,0,0.0,0.3,37113.0,5750.0,2521.0,28842.0
PEBBLES_XS,static,0,2.0,0.6,35800.0,19455.0,21095.0,-4750.0
OXYGEN_SHAKE_MORNING_BREATH,static,0,6.0,2.0,34686.0,0.0,34686.0,0.0
PANEL_1X4,static,0,2.0,1.75,34631.0,-2050.0,23666.0,13015.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,6.0,0.0,33218.0,3796.0,14061.0,15361.0
PANEL_4X4,static,0,2.0,1.25,31671.0,7981.0,13773.0,9917.0
ROBOT_MOPPING,static,0,8.0,1.5,30704.0,-1251.0,25294.0,6661.0
SNACKPACK_VANILLA,static,0,6.0,0.75,29830.0,17715.0,10235.0,1880.0
PANEL_1X2,static,0,2.0,0.5,29451.0,24086.0,4195.0,1170.0
TRANSLATOR_GRAPHITE_MIST,static,0,0.0,0.1,28332.0,4298.0,3912.0,20122.0
OXYGEN_SHAKE_GARLIC,static,1,6.0,0.3,28209.0,18225.0,22487.0,-12503.0
MICROCHIP_CIRCLE,static,5,6.0,0.75,28177.0,20434.0,5018.0,2725.0
TRANSLATOR_VOID_BLUE,static,1,6.0,0.15,28109.0,8066.0,13495.0,6548.0
UV_VISOR_MAGENTA,static,1,6.0,0.6,27855.5,12861.5,10295.0,4699.0
TRANSLATOR_ASTRO_BLACK,static,1,6.0,0.1,26688.0,-1590.0,11237.0,17041.0
UV_VISOR_AMBER,static,0,0.0,0.6,26045.0,14935.0,12870.0,-1760.0
OXYGEN_SHAKE_CHOCOLATE,mid,1,5.0,0.0,25944.0,8964.0,12415.0,4565.0
PANEL_2X2,static,0,6.0,1.75,25560.0,0.0,15520.0,10040.0
ROBOT_IRONING,static,0,0.0,1.25,25336.0,4860.0,17206.0,3270.0
UV_VISOR_ORANGE,static,0,0.0,1.75,25090.0,6975.0,0.0,18115.0
SNACKPACK_STRAWBERRY,static,1,0.0,0.2,24871.0,4488.0,20548.0,-165.0
SNACKPACK_CHOCOLATE,static,0,6.0,0.5,24300.0,13345.0,7455.0,3500.0
UV_VISOR_RED,static,1,0.0,0.1,23086.0,20375.0,7446.0,-4735.0
TRANSLATOR_SPACE_GRAY,static,0,6.0,1.1,22762.0,5030.0,9680.0,8052.0
ROBOT_DISHES,static,0,1.0,0.25,21493.0,5360.0,26483.0,-10350.0
SNACKPACK_PISTACHIO,static,1,0.0,0.25,21082.0,13635.0,6336.0,1111.0
SLEEP_POD_SUEDE,static,0,6.0,0.5,20770.0,10950.0,6495.0,3325.0
MICROCHIP_TRIANGLE,mid,4,1.5,0.0,19921.0,3058.0,5867.0,10996.0
ROBOT_LAUNDRY,static,0,2.0,1.25,16574.0,3426.0,11073.0,2075.0
SLEEP_POD_NYLON,mid,5,1.5,0.0,14095.0,1960.0,7298.5,4836.5
ROBOT_VACUUMING,static,0,6.0,1.25,13954.0,-680.0,16794.0,-2160.0
