product,mode,imp,edge,z,total,day_2,day_3,day_4
GALAXY_SOUNDS_BLACK_HOLES,static,1,10.0,3.0,24583.0,22818.0,16987.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,6.0,0.0,3489.0,0.0,0.0,3489.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,1.0,3.0,23355.0,22680.0,15937.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,1.0,0.0,10853.0,-7632.0,4407.0,14078.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,0.5,0.0,10541.5,-7632.0,4407.0,13766.5
GALAXY_SOUNDS_BLACK_HOLES,mid,3,10.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,10.0,3.0,24429.0,22758.0,16903.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,5.0,0.0,3449.0,0.0,0.0,3449.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,4.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,8.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,3,0.0,3.0,23647.0,22816.0,16073.0,-15242.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,8.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,2,4.0,0.0,20220.0,-5816.0,11137.0,14899.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.2,14442.0,20877.0,6850.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.0,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.25,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.5,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.75,23349.0,22330.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,3,2.0,3.0,23647.0,22816.0,16073.0,-15242.0
GALAXY_SOUNDS_BLACK_HOLES,mid,2,1.5,0.0,13528.5,-6660.0,5501.0,14687.5
GALAXY_SOUNDS_BLACK_HOLES,mid,2,6.0,0.0,12175.0,637.0,-126.0,11664.0
GALAXY_SOUNDS_BLACK_HOLES,mid,5,2.0,0.0,22351.5,1348.0,7673.0,13330.5
GALAXY_SOUNDS_BLACK_HOLES,mid,2,10.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,1.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,0.5,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,5.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,3.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,0.0,0.0,14942.5,-6333.0,6117.0,15158.5
GALAXY_SOUNDS_BLACK_HOLES,mid,5,4.0,0.0,3409.0,0.0,0.0,3409.0
GALAXY_SOUNDS_BLACK_HOLES,static,4,8.0,3.0,23399.0,22638.0,16013.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,2.0,0.0,18681.0,-6357.0,10601.0,14437.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,8.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,12.0,3.0,23431.0,22578.0,16115.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,4,1.0,3.0,23509.0,22748.0,16013.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,4.0,0.0,30608.0,3220.0,12951.0,14437.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,10.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,2,0.0,0.0,13432.5,-6781.0,5526.0,14687.5
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.3,20325.0,22212.0,11398.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,3.0,3.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,4,3.0,3.0,23509.0,22748.0,16013.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,3.0,0.0,18956.5,-5659.0,9603.0,15012.5
GALAXY_SOUNDS_BLACK_HOLES,mid,2,2.0,0.0,17480.5,-6087.0,9026.0,14541.5
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.1,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,5,0.0,0.0,9102.5,-8065.0,3837.0,13330.5
GALAXY_SOUNDS_BLACK_HOLES,static,4,4.0,3.0,23509.0,22748.0,16013.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,3.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,4.0,3.0,23253.0,22578.0,15937.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,4.0,0.0,11375.0,633.0,-142.0,10884.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,8.0,3.0,23253.0,22578.0,15937.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,1.5,0.0,10853.0,-7632.0,4407.0,14078.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,0.0,0.0,11942.5,-7215.0,4941.0,14216.5
GALAXY_SOUNDS_BLACK_HOLES,static,5,6.0,3.0,23253.0,22578.0,15937.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,6.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,1.5,0.0,14942.5,-6333.0,6117.0,15158.5
GALAXY_SOUNDS_BLACK_HOLES,static,5,10.0,3.0,24535.0,22578.0,17219.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.15,14924.0,24282.0,3927.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,4,10.0,3.0,24133.0,22638.0,16747.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,10.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.4,19685.0,20878.0,12092.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.9,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,5,1.0,0.0,9102.5,-8065.0,3837.0,13330.5
GALAXY_SOUNDS_BLACK_HOLES,static,1,3.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,5.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,12.0,3.0,24429.0,22758.0,16903.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,4.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,1.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,10.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,1.5,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,4,0.0,3.0,23509.0,22748.0,16013.0,-15252.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,1.0,0.0,15920.5,-6628.0,8478.0,14070.5
GALAXY_SOUNDS_BLACK_HOLES,mid,0,6.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,1,1.0,0.0,14942.5,-6333.0,6117.0,15158.5
GALAXY_SOUNDS_BLACK_HOLES,mid,1,0.5,0.0,14942.5,-6333.0,6117.0,15158.5
GALAXY_SOUNDS_BLACK_HOLES,mid,0,10.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,0.0,3.0,23355.0,22680.0,15937.0,-15262.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,5.0,0.0,11775.0,635.0,-134.0,11274.0
GALAXY_SOUNDS_BLACK_HOLES,mid,4,0.0,0.0,10541.5,-7632.0,4407.0,13766.5
GALAXY_SOUNDS_BLACK_HOLES,mid,1,5.0,0.0,21675.0,-5388.0,11702.0,15361.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,7.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,mid,3,3.0,0.0,18765.0,-6244.0,10572.0,14437.0
GALAXY_SOUNDS_BLACK_HOLES,mid,0,8.0,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,3.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,5,2.0,3.0,23355.0,22680.0,15937.0,-15262.0
