product,day_2,day_3,day_4,total
GALAXY_SOUNDS_BLACK_HOLES,14658.5,14142.0,19100.0,47900.5
GALAXY_SOUNDS_DARK_MATTER,14473.0,31791.0,18118.0,64382.0
GALAXY_SOUNDS_PLANETARY_RINGS,13200.0,-1655.0,37537.0,49082.0
GALAXY_SOUNDS_SOLAR_FLAMES,25975.0,28622.0,22587.0,77184.0
GALAXY_SOUNDS_SOLAR_WINDS,17685.0,4127.0,21575.0,43387.0
MICROCHIP_CIRCLE,27668.0,9057.0,8609.0,45334.0
MICROCHIP_OVAL,30006.0,34590.5,19124.0,83720.5
MICROCHIP_RECTANGLE,24859.0,17234.0,20819.0,62912.0
MICROCHIP_SQUARE,12468.0,43367.0,34306.0,90141.0
MICROCHIP_TRIANGLE,1031.0,15980.0,9029.5,26040.5
OXYGEN_SHAKE_CHOCOLATE,12416.0,15986.0,14749.0,43151.0
OXYGEN_SHAKE_EVENING_BREATH,361.0,32473.0,26366.0,59200.0
OXYGEN_SHAKE_GARLIC,19232.0,30159.0,-7778.0,41613.0
OXYGEN_SHAKE_MINT,31847.0,4000.0,19805.0,55652.0
OXYGEN_SHAKE_MORNING_BREATH,1575.0,36050.0,7220.0,44845.0
PANEL_1X2,31518.0,4425.0,13939.0,49882.0
PANEL_1X4,-2030.0,30502.0,15780.0,44252.0
PANEL_2X2,28961.0,11839.0,17265.0,58065.0
PANEL_2X4,28152.0,13832.0,-9007.0,32977.0
PANEL_4X4,25122.0,12467.0,21075.0,58664.0
PEBBLES_L,43877.0,39042.0,12005.0,94924.0
PEBBLES_M,28454.0,31409.0,20042.0,79905.0
PEBBLES_S,13525.0,18363.0,40155.0,72043.0
PEBBLES_XL,71115.0,64081.0,-2374.0,132822.0
PEBBLES_XS,19455.0,39811.0,23011.0,82277.0
ROBOT_DISHES,10068.0,36978.0,-10169.0,36877.0
ROBOT_IRONING,15367.0,10628.0,14661.0,40656.0
ROBOT_LAUNDRY,11417.0,18844.0,8037.0,38298.0
ROBOT_MOPPING,19268.0,19550.0,9754.0,48572.0
ROBOT_VACUUMING,326.0,14662.0,-3090.0,11898.0
SLEEP_POD_COTTON,11190.0,15009.0,33073.0,59272.0
SLEEP_POD_LAMB_WOOL,18390.0,31387.0,27222.0,76999.0
SLEEP_POD_NYLON,2095.0,14242.0,5121.0,21458.0
SLEEP_POD_POLYESTER,17615.0,30609.0,10167.0,58391.0
SLEEP_POD_SUEDE,10950.0,39119.0,22870.0,72939.0
SNACKPACK_CHOCOLATE,18845.0,10155.0,2060.0,31060.0
SNACKPACK_PISTACHIO,14368.0,6101.0,3501.0,23970.0
SNACKPACK_RASPBERRY,29811.0,15655.0,12635.0,58101.0
SNACKPACK_STRAWBERRY,13886.0,13098.0,15748.0,42732.0
SNACKPACK_VANILLA,16495.0,9586.0,1780.0,27861.0
TRANSLATOR_ASTRO_BLACK,-1590.0,16787.0,26437.0,41634.0
TRANSLATOR_ECLIPSE_CHARCOAL,10036.0,17447.0,28286.0,55769.0
TRANSLATOR_GRAPHITE_MIST,22948.0,21218.0,27956.0,72122.0
TRANSLATOR_SPACE_GRAY,9883.0,10092.0,17219.0,37194.0
TRANSLATOR_VOID_BLUE,14490.0,26576.0,19470.0,60536.0
UV_VISOR_AMBER,14935.0,11030.0,23512.0,49477.0
UV_VISOR_MAGENTA,12935.0,27274.0,37382.0,77591.0
UV_VISOR_ORANGE,7645.0,8875.0,24572.0,41092.0
UV_VISOR_RED,39387.0,17201.0,4387.0,60975.0
UV_VISOR_YELLOW,18145.0,0.0,25440.0,43585.0
