trader: flow_overlay_cm2p0_d0p99.py
dataset: round5
mode: fast
artifacts: metrics-only
bundle: runs/r5_flow_overlay_cm2p0_d0p99 [flat multi-run output]
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        1112    787014.50  runs/r5_flow_overlay_cm2p0_d0p99/round5-day+2-*
D+3               3    10000        1496   1054864.50  runs/r5_flow_overlay_cm2p0_d0p99/round5-day+3-*
D+4               4    10000        1276    700613.50  runs/r5_flow_overlay_cm2p0_d0p99/round5-day+4-*
TOTAL             -    30000        3884   2542492.50  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES       14658.50   14142.00   21124.00   49924.50
GALAXY_SOUNDS_DARK_MATTER       14473.00   31791.00   18118.00   64382.00
GALAXY_SOUNDS_PLANETARY_RINGS   13200.00   -1655.00   37537.00   49082.00
GALAXY_SOUNDS_SOLAR_FLAMES      25942.00   27554.00   20434.00   73930.00
GALAXY_SOUNDS_SOLAR_WINDS       18908.00   16270.00    7635.00   42813.00
MICROCHIP_CIRCLE                27668.00    9057.00    5613.00   42338.00
MICROCHIP_OVAL                  30006.00   31446.50   17148.00   78600.50
MICROCHIP_RECTANGLE              5750.00   25458.00   20905.00   52113.00
MICROCHIP_SQUARE                12460.00   43367.00   35105.00   90932.00
MICROCHIP_TRIANGLE               1031.00   15980.00   14886.50   31897.50
OXYGEN_SHAKE_CHOCOLATE          12416.00   15986.00   17908.00   46310.00
OXYGEN_SHAKE_EVENING_BREATH       361.00   32473.00   25966.00   58800.00
OXYGEN_SHAKE_GARLIC             19232.00   30159.00   -4761.00   44630.00
OXYGEN_SHAKE_MINT               31847.00    4000.00   15805.00   51652.00
OXYGEN_SHAKE_MORNING_BREATH      1575.00   36050.00    3725.00   41350.00
PANEL_1X2                       31518.00    4425.00    8110.00   44053.00
PANEL_1X4                       -2030.00   30625.00   10405.00   39000.00
PANEL_2X2                           0.00   16422.00   10260.00   26682.00
PANEL_2X4                       27857.00   13927.00    4935.00   46719.00
PANEL_4X4                       25122.00   12467.00    7073.00   44662.00
PEBBLES_L                       43877.00   39042.00   12005.00   94924.00
PEBBLES_M                         746.00   22186.00   24721.00   47653.00
PEBBLES_S                       13525.00   18363.00   33973.00   65861.00
PEBBLES_XL                      71115.00   64081.00   -2374.00  132822.00
PEBBLES_XS                      19455.00   39811.00   24061.00   83327.00
ROBOT_DISHES                    10068.00   36978.00  -10374.00   36672.00
ROBOT_IRONING                    4860.00   20290.00    3679.00   28829.00
ROBOT_LAUNDRY                   10727.00   18969.00     950.00   30646.00
ROBOT_MOPPING                   -1835.00   26603.00    7463.00   32231.00
ROBOT_VACUUMING                   326.00   14662.00     290.00   15278.00
SLEEP_POD_COTTON                11190.00   15009.00   20490.00   46689.00
SLEEP_POD_LAMB_WOOL             18390.00   31387.00   21109.00   70886.00
SLEEP_POD_NYLON                  2095.00   14242.00    6591.00   22928.00
SLEEP_POD_POLYESTER             17615.00   30609.00    9113.00   57337.00
SLEEP_POD_SUEDE                 10950.00   37249.00   18861.00   67060.00
SNACKPACK_CHOCOLATE             18845.00   10155.00    2060.00   31060.00
SNACKPACK_PISTACHIO             14252.00    6053.00    2921.00   23226.00
SNACKPACK_RASPBERRY             29811.00   15655.00   16985.00   62451.00
SNACKPACK_STRAWBERRY             4280.00   20670.00   13230.00   38180.00
SNACKPACK_VANILLA               16495.00    9586.00    6240.00   32321.00
TRANSLATOR_ASTRO_BLACK          -1590.00   16627.00   24351.00   39388.00
TRANSLATOR_ECLIPSE_CHARCOAL      8051.00   16074.00   26655.00   50780.00
TRANSLATOR_GRAPHITE_MIST        22948.00   21218.00   19195.00   63361.00
TRANSLATOR_SPACE_GRAY           21347.00    8445.00    5168.00   34960.00
TRANSLATOR_VOID_BLUE            14490.00   26576.00   19470.00   60536.00
UV_VISOR_AMBER                  14935.00   11030.00   24436.00   50401.00
UV_VISOR_MAGENTA                12935.00   27274.00   35234.00   75443.00
UV_VISOR_ORANGE                  7645.00    8875.00   16374.00   32894.00
UV_VISOR_RED                    39387.00   17201.00   -7055.00   49533.00
UV_VISOR_YELLOW                 18085.00       0.00   26860.00   44945.00
