name,path,n_products,micro_bias_mult,micro_take_edge,min_edge,returncode,total_pnl,day_2,day_3,day_4,stdout_tail
focus_totalpos_m0p75_t6p0_e0p0,research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e0p0.py,38,0.75,6.0,0.0,0,561580.5,174189.5,169845.5,217545.5,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.06s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t6p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7149    174189.50  runs/backtest-1777385846121-round5-day+2
D+3               3    10000        8686    169845.50  runs/backtest-1777385846121-round5-day+3
D+4               4    10000        7778    217545.50  runs/backtest-1777385846121-round5-day+4
TOTAL             -    30000       23613    561580.50  -
"
focus_totalpos_m0p75_t3p5_e1p0,research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e1p0.py,38,0.75,3.5,1.0,0,560942.5,164155.5,178327.5,218459.5,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t3p5_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7154    164155.50  runs/backtest-1777385822114-round5-day+2
D+3               3    10000        8715    178327.50  runs/backtest-1777385822114-round5-day+3
D+4               4    10000        7836    218459.50  runs/backtest-1777385822114-round5-day+4
TOTAL             -    30000       23705    560942.50  -
"
focus_totalpos_m0p75_t3p5_e0p0,research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e0p0.py,38,0.75,3.5,0.0,0,560926.5,163832.5,179144.5,217949.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t3p5_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7196    163832.50  runs/backtest-1777385822125-round5-day+2
D+3               3    10000        8778    179144.50  runs/backtest-1777385822125-round5-day+3
D+4               4    10000        7879    217949.50  runs/backtest-1777385822125-round5-day+4
TOTAL             -    30000       23853    560926.50  -
"
focus_totalpos_m0p75_t3p5_e0p5,research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e0p5.py,38,0.75,3.5,0.5,0,560582.0,164186.5,178893.0,217502.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t3p5_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t3p5_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7177    164186.50  runs/backtest-1777385822107-round5-day+2
D+3               3    10000        8768    178893.00  runs/backtest-1777385822107-round5-day+3
D+4               4    10000        7866    217502.50  runs/backtest-1777385822107-round5-day+4
TOTAL             -    30000       23811    560582.00  -
"
focus_totalpos_m0p75_t6p0_e0p5,research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e0p5.py,38,0.75,6.0,0.5,0,560116.0,173471.5,169929.0,216715.5,"   Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on shared package cache
    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t6p0_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7129    173471.50  runs/backtest-1777385854109-round5-day+2
D+3               3    10000        8676    169929.00  runs/backtest-1777385854109-round5-day+3
D+4               4    10000        7764    216715.50  runs/backtest-1777385854109-round5-day+4
TOTAL             -    30000       23569    560116.00  -
"
focus_totalpos_m1p25_t5p5_e0p5,research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e0p5.py,38,1.25,5.5,0.5,0,559044.5,188495.5,186537.5,184011.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m1p25_t5p5_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7279    188495.50  runs/backtest-1777385925268-round5-day+2
D+3               3    10000        8855    186537.50  runs/backtest-1777385925268-round5-day+3
D+4               4    10000        7930    184011.50  runs/backtest-1777385925268-round5-day+4
TOTAL             -    30000       24064    559044.50  -
"
focus_robust_m0p75_t6p0_e0p0,research/round5/generated_traders/focus_robust_m0p75_t6p0_e0p0.py,41,0.75,6.0,0.0,0,558086.5,166591.5,163959.0,227536.0,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t6p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t6p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7719    166591.50  runs/backtest-1777386140096-round5-day+2
D+3               3    10000        9377    163959.00  runs/backtest-1777386140096-round5-day+3
D+4               4    10000        8388    227536.00  runs/backtest-1777386140096-round5-day+4
TOTAL             -    30000       25484    558086.50  -
"
focus_robust_m0p75_t3p5_e1p0,research/round5/generated_traders/focus_robust_m0p75_t3p5_e1p0.py,41,0.75,3.5,1.0,0,557482.5,156557.5,172441.0,228484.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t3p5_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t3p5_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7724    156557.50  runs/backtest-1777386116009-round5-day+2
D+3               3    10000        9406    172441.00  runs/backtest-1777386116009-round5-day+3
D+4               4    10000        8445    228484.00  runs/backtest-1777386116009-round5-day+4
TOTAL             -    30000       25575    557482.50  -
"
focus_robust_m0p75_t3p5_e0p0,research/round5/generated_traders/focus_robust_m0p75_t3p5_e0p0.py,41,0.75,3.5,0.0,0,557432.5,156234.5,173258.0,227940.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t3p5_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t3p5_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7766    156234.50  runs/backtest-1777386108600-round5-day+2
D+3               3    10000        9469    173258.00  runs/backtest-1777386108600-round5-day+3
D+4               4    10000        8489    227940.00  runs/backtest-1777386108600-round5-day+4
TOTAL             -    30000       25724    557432.50  -
"
focus_robust_m0p75_t3p5_e0p5,research/round5/generated_traders/focus_robust_m0p75_t3p5_e0p5.py,41,0.75,3.5,0.5,0,557088.0,156588.5,173006.5,227493.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t3p5_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t3p5_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7747    156588.50  runs/backtest-1777386116011-round5-day+2
D+3               3    10000        9459    173006.50  runs/backtest-1777386116011-round5-day+3
D+4               4    10000        8476    227493.00  runs/backtest-1777386116011-round5-day+4
TOTAL             -    30000       25682    557088.00  -
"
