day,signal_product,target,horizon,imbalance_future_corr
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,1,-0.04769829300225131
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,5,-0.039846744001911585
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,10,-0.034487819221442804
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,20,-0.015540406530826188
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,50,-0.003979497044447993
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,100,-0.0004998085062971845
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,1,-0.06536261710387287
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,5,-0.021637949679202295
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,10,-0.013506579827706247
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,20,-0.007586370867304166
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,50,-0.013999705877918782
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,100,-0.0019159602140176295
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.0502867122084154
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,5,-0.0261327920482574
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,10,-0.02415078738186492
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,20,-0.024148728780058276
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,50,-0.016017756320672736
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,100,-0.003360313398873535
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.048101950640999015
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,5,-0.026441494191991256
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,10,-0.02714407912707565
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,20,-0.019187180407814308
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,50,-0.013187056076147246
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,100,-0.010078173868744504
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05613726563001251
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,5,-0.01868876060087967
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,10,-0.02549343101452629
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,20,-0.02947742563770212
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,50,-0.0011501920531958735
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,100,-0.0044758310048225195
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,1,-0.04769829300225131
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,5,-0.039846744001911585
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,10,-0.034487819221442804
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,20,-0.015540406530826188
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,50,-0.003979497044447993
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,100,-0.0004998085062971845
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,1,-0.06536261710387287
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,5,-0.021637949679202295
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,10,-0.013506579827706247
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,20,-0.007586370867304166
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,50,-0.013999705877918782
