day,product,mid_start,mid_end,net_move,ret_vol,abs_ret_mean,ret_ac1,ret_ac10,ret_ac50,mean_reversion_score,momentum_score,avg_spread,median_spread,avg_top_depth,avg_book_depth,liquidity_score,jump_95,jump_99,max_jump,trade_volume,trade_count,mid_adf_t,return_adf_t,market_making_feasible,aggressive_crossing_feasible
2,GALAXY_SOUNDS_BLACK_HOLES,10000.0,11446.5,1446.5,10.597468089969427,8.416991699169918,-0.01766658978810269,0.012632614497052237,-0.013272953957716714,-0.0005453909894545046,-0.0007405630378849879,13.6031,14.0,36.5445,99.1411,2.6864832280877153,21.0,27.0,44.0,562,229,-0.8500479970643595,-33.24354898054394,True,True
2,GALAXY_SOUNDS_DARK_MATTER,10000.0,10417.0,417.0,10.066863717693048,8.017501750175018,0.002111268263293531,-0.014039781485598504,-0.004527925938726441,0.008449081750083652,-0.004706084181876431,12.9228,13.0,36.5445,99.1411,2.8279088123316924,19.5,26.0,36.5,562,229,-1.7956169703824574,-34.25135721348156,True,True
2,GALAXY_SOUNDS_PLANETARY_RINGS,10000.0,11249.0,1249.0,10.156710309262227,8.128112811281127,-0.005584291539175153,-0.014721084831231893,-0.018291115075702916,0.0008044262614503679,-0.005974712965003255,12.8162,13.0,36.5445,99.1411,2.8514302211263867,20.0,26.5,46.0,562,229,0.41839462185738513,-31.96052511452499,True,True
2,GALAXY_SOUNDS_SOLAR_FLAMES,10000.0,11345.5,1345.5,11.116032390406172,8.866736673667367,-0.02420194761932055,-0.0006723286813908018,0.00631238781156708,0.0010000355454114383,-0.0015327960980865824,14.0921,14.0,36.5445,99.1411,2.593261472740046,22.0,29.0,43.0,562,229,-2.09990029034306,-32.49120581395275,True,True
2,GALAXY_SOUNDS_SOLAR_WINDS,10000.0,9583.5,-416.5,10.230709009872916,8.146464646464647,-0.011704726494308941,0.0058859710243017675,-0.008895711156239133,-0.001456384412336005,0.0009032574833980229,12.8726,13.0,36.5445,99.1411,2.8389369668909157,20.0,26.5,41.5,562,229,-1.0196108481653285,-32.97058359041175,True,True
3,GALAXY_SOUNDS_BLACK_HOLES,11444.5,12133.0,688.5,11.125271294200305,8.837433743374337,-0.005014799839276489,-0.0016283206176726762,0.005189047465315879,0.0040794588205581616,0.003828996793554024,14.0854,14.0,36.5868,99.3298,2.597498118619279,22.0,29.0,50.0,649,255,-0.4625011315006988,-32.29720287029754,True,True
3,GALAXY_SOUNDS_DARK_MATTER,10409.5,10872.0,462.5,10.482326728400352,8.380388038803881,-0.024342123749659376,-0.014793139852352545,0.005228080675147023,0.005884666236226375,0.0028284027025683536,13.2836,13.0,36.5868,99.3298,2.754283477370592,20.5,27.5,40.0,649,255,-1.3619616206054836,-32.956930071082276,True,True
3,GALAXY_SOUNDS_PLANETARY_RINGS,11249.5,11407.5,158.0,11.634480497584684,9.233523352335233,-0.004092224530882165,-0.0014369424260212392,-0.000462827603896233,-0.003419044606792901,-0.0044277107314836086,14.688,15.0,36.5868,99.3298,2.4909313725490194,23.0,30.0,47.0,649,255,-2.3281137900662614,-32.7437968374979,True,True
3,GALAXY_SOUNDS_SOLAR_FLAMES,11338.5,10645.0,-693.5,11.226048615308104,8.955445544554456,-0.003590862100480179,0.021746244033711008,-0.004782535230737101,-0.0018659174794318136,0.008995141687397006,14.2676,14.0,36.5868,99.3298,2.5643275673554062,22.0,29.5,42.0,649,255,-0.8923533385926423,-33.37541328576061,True,True
3,GALAXY_SOUNDS_SOLAR_WINDS,9591.5,10767.0,1175.5,10.374182762143715,8.275777577757776,0.0002684509786096354,0.008419393989971794,0.009831337242874213,-0.0043102179991059975,-0.003323405569045435,13.1533,13.0,36.5868,99.3298,2.781568123588757,20.5,27.0,40.5,649,255,-1.3827668253569363,-34.05328121257607,True,True
4,GALAXY_SOUNDS_BLACK_HOLES,12137.0,13457.5,1320.5,12.619633971306866,10.074557455745575,-0.025065417078100984,-0.010280776180716935,0.0009290433346787819,0.0014826415605121803,0.0003262590818457828,15.8498,16.0,36.4071,98.9347,2.2970069022952972,25.0,33.0,51.5,594,249,-0.9202216640963641,-32.56583949531202,True,True
4,GALAXY_SOUNDS_DARK_MATTER,10876.0,10264.5,-611.5,10.182580900680842,8.127462746274627,-0.012853417465406318,-0.014395357667116616,0.011128893907360543,0.006177537514577659,0.0074396614738320675,12.9461,13.0,36.4071,98.9347,2.8122059925382934,20.0,26.0,36.0,594,249,-2.23019691624505,-33.11114660223157,True,True
4,GALAXY_SOUNDS_PLANETARY_RINGS,11415.5,9648.5,-1767.0,10.792940875622048,8.611061106110611,-0.002906756254419813,0.02207135416755285,0.006765534923688572,0.0012862775948712475,0.0024555986078947482,13.5659,14.0,36.4071,98.9347,2.6837216845177982,21.0,28.0,41.0,594,249,-0.7617789607489011,-32.963920557980366,True,True
4,GALAXY_SOUNDS_SOLAR_FLAMES,10643.0,10823.0,180.0,10.938182680483624,8.742874287428743,-0.008781515098256042,0.005220368773092696,-0.005072769679015151,0.004482666167048375,0.0007668108982172287,13.8549,14.0,36.4071,98.9347,2.6277418097568366,21.5,28.5,51.0,594,249,-1.7356795615923417,-33.5072860774414,True,True
4,GALAXY_SOUNDS_SOLAR_WINDS,10756.0,10247.5,-508.5,10.995516320610758,8.761126112611262,-0.011816492133891637,0.0023309359256695095,0.0026323601999965313,0.00211596691435803,-0.0025434534922853195,13.8779,14.0,36.4071,98.9347,2.623386823654876,22.0,28.5,43.0,594,249,-1.1077576929825008,-32.73030616242916,True,True
