name,path,returncode,total_pnl,own_trades,stdout_tail,day_2,trades_day_2,day_3,trades_day_3,day_4,trades_day_4
hybrid_add_winds75_to_flames,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_add_winds75_to_flames.py,0,282157.5,506,"trader: hybrid_add_winds75_to_flames.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         131     86599.50  runs/backtest-1777466074059-round5-day+2
D+3               3    10000         187     89170.00  runs/backtest-1777466074059-round5-day+3
D+4               4    10000         188    106388.00  runs/backtest-1777466074059-round5-day+4
TOTAL             -    30000         506    282157.50  -
",86599.5,131,89170.0,187,106388.0,188
hybrid_add_rings_to_flames,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_add_rings_to_flames.py,0,281544.5,504,"trader: hybrid_add_rings_to_flames.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         133     90212.50  runs/backtest-1777466072477-round5-day+2
D+3               3    10000         185     88338.00  runs/backtest-1777466072477-round5-day+3
D+4               4    10000         186    102994.00  runs/backtest-1777466072477-round5-day+4
TOTAL             -    30000         504    281544.50  -
",90212.5,133,88338.0,185,102994.0,186
hybrid_orderbook_neg50,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_orderbook_neg50.py,0,281111.5,509,"trader: hybrid_orderbook_neg50.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         133     87570.50  runs/backtest-1777466113216-round5-day+2
D+3               3    10000         186     87926.00  runs/backtest-1777466113216-round5-day+3
D+4               4    10000         190    105615.00  runs/backtest-1777466113216-round5-day+4
TOTAL             -    30000         509    281111.50  -
",87570.5,133,87926.0,186,105615.0,190
hybrid_orderbook_neg20,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_orderbook_neg20.py,0,280664.5,505,"trader: hybrid_orderbook_neg20.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         132     87181.50  runs/backtest-1777466074782-round5-day+2
D+3               3    10000         184     88269.00  runs/backtest-1777466074782-round5-day+3
D+4               4    10000         189    105214.00  runs/backtest-1777466074782-round5-day+4
TOTAL             -    30000         505    280664.50  -
",87181.5,132,88269.0,184,105214.0,189
hybrid_current,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_current.py,0,280131.5,507,"trader: hybrid_current.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         132     87181.50  runs/backtest-1777465976485-round5-day+2
D+3               3    10000         186     88102.00  runs/backtest-1777465976485-round5-day+3
D+4               4    10000         189    104848.00  runs/backtest-1777465976485-round5-day+4
TOTAL             -    30000         507    280131.50  -
",87181.5,132,88102.0,186,104848.0,189
hybrid_flames_k_m0p75,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_flames_k_m0p75.py,0,275813.5,490,"trader: hybrid_flames_k_m0p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         125     91111.50  runs/backtest-1777466025843-round5-day+2
D+3               3    10000         181     81758.00  runs/backtest-1777466025843-round5-day+3
D+4               4    10000         184    102944.00  runs/backtest-1777466025843-round5-day+4
TOTAL             -    30000         490    275813.50  -
",91111.5,125,81758.0,181,102944.0,184
hybrid_flames_k_m1p5,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_flames_k_m1p5.py,0,273150.5,518,"trader: hybrid_flames_k_m1p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         141     84656.50  runs/backtest-1777466027917-round5-day+2
D+3               3    10000         188     87856.00  runs/backtest-1777466027917-round5-day+3
D+4               4    10000         189    100638.00  runs/backtest-1777466027917-round5-day+4
TOTAL             -    30000         518    273150.50  -
",84656.5,141,87856.0,188,100638.0,189
hybrid_flames_k_m1p75,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_flames_k_m1p75.py,0,272322.5,517,"trader: hybrid_flames_k_m1p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         137     79952.50  runs/backtest-1777466071870-round5-day+2
D+3               3    10000         189     91016.00  runs/backtest-1777466071870-round5-day+3
D+4               4    10000         191    101354.00  runs/backtest-1777466071870-round5-day+4
TOTAL             -    30000         517    272322.50  -
",79952.5,137,91016.0,189,101354.0,191
hybrid_no_flames_signal,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_no_flames_signal.py,0,272233.5,493,"trader: hybrid_no_flames_signal.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         124     89054.50  runs/backtest-1777465978274-round5-day+2
D+3               3    10000         184     82203.00  runs/backtest-1777465978274-round5-day+3
D+4               4    10000         185    100976.00  runs/backtest-1777465978274-round5-day+4
TOTAL             -    30000         493    272233.50  -
",89054.5,124,82203.0,184,100976.0,185
hybrid_flames_k_m1p0,/Users/giordanmasen/Desktop/projects/prosperity/research/round5/galaxy_sounds/generated_traders/hybrid_flames_k_m1p0.py,0,271523.5,504,"trader: hybrid_flames_k_m1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         133     88519.50  runs/backtest-1777466027383-round5-day+2
D+3               3    10000         185     85035.00  runs/backtest-1777466027383-round5-day+3
D+4               4    10000         186     97969.00  runs/backtest-1777466027383-round5-day+4
TOTAL             -    30000         504    271523.50  -
",88519.5,133,85035.0,185,97969.0,186
