product_a,product_b,category_a,category_b,same_category,return_corr_mean,return_corr_day1,return_corr_day2,return_corr_day3,return_corr_min,return_corr_max,return_corr_std,return_corr_stable_days,rolling_return_corr_mean,rolling_return_corr_std,price_level_corr_mean,spread_corr_mean,relationship_score
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,True,-0.9159093639168808,-0.920032267885336,-0.9154435523506981,-0.9122522715146086,-0.920032267885336,-0.9122522715146086,0.0031932033230519423,3,-0.9149476503800513,0.024040399166581267,-0.9717895712510831,0.8915268338404788,1.8109504935269378
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,snackpacks,snackpacks,True,-0.9237508357731313,-0.9320945305828879,-0.9215282038568984,-0.9176297728796078,-0.9320945305828879,-0.9176297728796078,0.0061107759098139505,3,-0.9232863504559976,0.017800459335562537,-0.8101365812739512,0.8872475778034182,1.776032286939966
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,True,0.9133330301374599,0.9127758411740337,0.9132860498944929,0.9139371993438532,0.9127758411740337,0.9139371993438532,0.00047528486691217244,3,0.9131146146080428,0.01144862419082416,0.3903196972530458,0.9184585288292824,1.7439931471527605
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,snackpacks,snackpacks,True,-0.8309330841744226,-0.8338247744427376,-0.8299587153048651,-0.8290157627756649,-0.8338247744427376,-0.8290157627756649,0.0020806560382056333,3,-0.8302704989080589,0.02810963979148855,-0.7163859705052742,0.8957249109237292,1.6275206431874842
PEBBLES_L,PEBBLES_XL,pebbles,pebbles,True,-0.5000068648048295,-0.5030032989927217,-0.49516333915553135,-0.5018539562662355,-0.5030032989927217,-0.49516333915553135,0.0034568822863276266,3,-0.4991236262697389,0.05853812904464955,-0.7388443149374896,0.3296562306271667,1.0179357925921235
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,True,-0.49565526157138756,-0.49662641188946005,-0.4953302064711162,-0.4950091663535863,-0.49662641188946005,-0.4950091663535863,0.0006991024695923454,3,-0.49422213583946,0.05379488868503346,-0.6015526118359432,0.3850724133018437,1.0031868795514984
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,True,-0.4973147706140419,-0.4947723070516987,-0.49449418408378465,-0.5026778207066421,-0.5026778207066421,-0.49449418408378465,0.003793948498870745,3,-0.4964496465194855,0.05300759004097533,-0.5631527333673164,0.24401981681455,0.9855076164968112
PEBBLES_M,PEBBLES_XL,pebbles,pebbles,True,-0.5114973416178821,-0.5042247771247601,-0.5144265508331622,-0.5158406968957239,-0.5158406968957239,-0.5042247771247601,0.005174784890957848,3,-0.5110845568818113,0.05269202347160148,-0.3046381893103448,0.500868066603211,0.9668062635075961
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,galaxy_sounds,uv_visors,False,0.017369767452416918,0.011399968908520559,0.008090177888343543,0.03261915556038665,0.008090177888343543,0.03261915556038665,0.010867276794730365,3,0.017006726060270632,0.06792482705643314,0.7220419084799397,0.8623143903017958,0.13308209192486475
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,galaxy_sounds,oxygen_shakes,False,0.01613428155213625,0.012469684572901771,0.01912669628031332,0.016806463803193655,0.012469684572901771,0.01912669628031332,0.002758963930189623,3,0.018055539641287126,0.0642930421190709,0.6436793893908267,0.8775447861343818,0.12534367620366252
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,translators,translators,True,0.017721931332936702,0.012746623175333857,0.010975103984161858,0.029444066839314397,0.010975103984161858,0.029444066839314397,0.008320293091134997,3,0.017172908633280286,0.06937073484637067,-0.6393961447130132,0.7118242403036655,0.1233704454052283
ROBOT_IRONING,TRANSLATOR_ECLIPSE_CHARCOAL,robotics,translators,False,0.012870179244299342,0.010556513155362423,0.019985486897172944,0.008068537680362663,0.008068537680362663,0.019985486897172944,0.005132784022817201,3,0.011816823630904449,0.065607835001057,0.650733799397024,0.6875458787689949,0.1180223118634752
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,sleep_pods,sleep_pods,True,-0.0071718067515327095,0.0016144732218382224,-0.02501538255901964,0.0018854890825832867,-0.02501538255901964,0.0018854890825832867,0.012617798555937915,1,-0.0075331111435166685,0.06507649918261517,0.7403890215009228,0.8100072354659327,0.11256954832985158
