category,product,avoid_score,validated_alpha_score,liquidity_score,avg_spread,ret_vol,mean_reversion_score,reason
uv_visors,UV_VISOR_AMBER,0.2526357686586693,20.051668025242183,3.5819759133495666,10.320500000000001,7.954869516446952,0.019128804601488133,few validated global edges and/or unattractive spread/liquidity
translators,TRANSLATOR_SPACE_GRAY,0.2468429099107201,21.222556763793733,2.850020383473091,8.402166666666666,9.4187541851178,0.03567602130456466,few validated global edges and/or unattractive spread/liquidity
uv_visors,UV_VISOR_ORANGE,0.2632239244683215,21.528131890460912,2.752082030358301,13.2841,10.454437717846082,0.020655315882056692,few validated global edges and/or unattractive spread/liquidity
robotics,ROBOT_MOPPING,0.30803506073822096,21.555820268271894,1.7790882330739992,7.970666666666666,11.134119795523654,0.025367800401186007,few validated global edges and/or unattractive spread/liquidity
robotics,ROBOT_IRONING,0.23847446199765465,21.734444103206027,2.5879733105393403,6.392933333333333,10.33091818866703,0.1325225523466787,few validated global edges and/or unattractive spread/liquidity
galaxy_sounds,GALAXY_SOUNDS_PLANETARY_RINGS,0.2515154619609024,21.769340601763666,2.6753610927310683,13.690033333333332,10.861377227489655,0.0336084388920516,few validated global edges and/or unattractive spread/liquidity
uv_visors,UV_VISOR_RED,0.2752552408307754,22.423403802982495,2.605666881517943,14.039433333333333,11.016838484633459,0.008806247749772476,few validated global edges and/or unattractive spread/liquidity
panels,PANEL_4X4,0.2623614286240982,22.934114282475267,2.5900415464078246,8.750466666666666,9.954581190385454,0.019619836856283077,few validated global edges and/or unattractive spread/liquidity
robotics,ROBOT_VACUUMING,0.25276094752509753,23.19270520420765,2.5478833634897327,6.7533,9.223777336222447,0.02950973041419559,few validated global edges and/or unattractive spread/liquidity
oxygen_shakes,OXYGEN_SHAKE_MORNING_BREATH,0.2316848627553319,23.228957534963968,2.8612046746390543,12.7829,10.08970103679612,0.03965962386306026,few validated global edges and/or unattractive spread/liquidity
panels,PANEL_1X2,0.23984108438438245,23.452055832761115,3.1797768425853943,11.509766666666666,9.041581262175145,0.021644376782815968,few validated global edges and/or unattractive spread/liquidity
panels,PANEL_1X4,0.2624130295938611,23.54854654712283,2.9355749914137816,8.376633333333332,9.457152528648544,0.0051404174018633035,few validated global edges and/or unattractive spread/liquidity
uv_visors,UV_VISOR_YELLOW,0.23443026671668493,23.560563090462303,2.626721935807603,13.909966666666667,10.998564678456447,0.04307806326896224,few validated global edges and/or unattractive spread/liquidity
translators,TRANSLATOR_VOID_BLUE,0.24101524839618216,23.841685164139786,2.2954029279573547,9.524666666666667,10.822758555441858,0.048874769427081154,few validated global edges and/or unattractive spread/liquidity
microchips,MICROCHIP_CIRCLE,0.31585586612648847,23.857994931730445,1.6391174123108392,8.262166666666667,9.22782368866016,0.017564099480683156,few validated global edges and/or unattractive spread/liquidity
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,0.248223357323067,24.02385786101742,2.526996083000764,14.512766666666666,11.447457785158868,0.030821045346200882,few validated global edges and/or unattractive spread/liquidity
panels,PANEL_2X2,0.23923063623816254,24.11105932666063,2.800399378618614,8.515466666666667,9.580099162330837,0.029745516133308777,few validated global edges and/or unattractive spread/liquidity
oxygen_shakes,OXYGEN_SHAKE_CHOCOLATE,0.21233825204159945,24.254693943496832,3.0010540879553464,12.185466666666665,10.811015592316565,0.12508712794515828,few validated global edges and/or unattractive spread/liquidity
sleep_pods,SLEEP_POD_SUEDE,0.26140284314830187,24.273843381391643,2.2029915869274195,9.949466666666666,11.39511504101919,0.031024726713152134,few validated global edges and/or unattractive spread/liquidity
sleep_pods,SLEEP_POD_NYLON,0.24715696529594708,24.353445010803753,2.7361304634755634,8.564666666666668,9.613675016914529,0.022791188232905338,few validated global edges and/or unattractive spread/liquidity
sleep_pods,SLEEP_POD_LAMB_WOOL,0.2640444690574604,25.065232696301937,2.3137357149473115,9.4001,10.71041776681546,0.019390669325269155,few validated global edges and/or unattractive spread/liquidity
