product,category,leader_score,laggard_score,relationships
UV_VISOR_RED,visor,2013.8461891986606,1128.1138892324027,1230
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,1753.6284700486083,1389.6052026667148,1321
PANEL_2X2,panel,1460.1810532931538,850.1838763357005,973
TRANSLATOR_GRAPHITE_MIST,translator,1427.3912313959484,849.9070080174704,1157
OXYGEN_SHAKE_EVENING_BREATH,oxygen,1426.5748011292972,392.2141141151864,1089
MICROCHIP_OVAL,microchip,1418.02149499378,1386.7809170056596,1228
PEBBLES_XL,pebbles,1289.2409940003813,1836.2490894058099,1051
PEBBLES_M,pebbles,1285.4824610140072,1119.1397027872856,947
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,1219.3862037225117,1278.4415394384666,1183
MICROCHIP_CIRCLE,microchip,1218.7345435343266,1213.9387766596294,1067
PEBBLES_XS,pebbles,1206.9399793917855,1978.2761615187924,1077
PEBBLES_L,pebbles,1199.7301910691856,1583.6803467641714,1144
OXYGEN_SHAKE_MORNING_BREATH,oxygen,1193.3412397378431,849.6151546640488,1168
SLEEP_POD_NYLON,sleep,1161.5738379605866,1170.084147732197,1112
TRANSLATOR_VOID_BLUE,translator,1145.6350702098055,528.4762891495818,1106
MICROCHIP_SQUARE,microchip,1132.58405724624,1932.018834643944,1159
UV_VISOR_YELLOW,visor,1103.2088468348932,1049.1510426203158,1198
TRANSLATOR_ASTRO_BLACK,translator,1097.219210275001,961.5982918890726,1190
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,1086.3269802830998,1349.0102158326133,1216
ROBOT_DISHES,robot,1080.7357156751073,943.7327970576955,932
GALAXY_SOUNDS_BLACK_HOLES,galaxy,1070.244855495223,893.7255038095515,978
PANEL_4X4,panel,1055.223489889582,890.5790523877515,1035
PEBBLES_S,pebbles,1017.4279981073714,1048.0662739141324,1072
PANEL_1X4,panel,1010.7187920498061,833.6524595068324,1052
SNACKPACK_CHOCOLATE,snack,1005.8765795319863,796.1152481372836,1094
OXYGEN_SHAKE_CHOCOLATE,oxygen,1005.3973168100787,1011.4542883257483,1271
SLEEP_POD_SUEDE,sleep,1003.6121280985891,1088.7930940920542,1111
SNACKPACK_PISTACHIO,snack,971.6923197910617,508.18067105395966,1133
ROBOT_MOPPING,robot,965.6278425869693,805.9003770759152,888
SNACKPACK_STRAWBERRY,snack,958.8870344523696,770.7367221002337,1149
PANEL_1X2,panel,932.7964406907138,969.356044394913,1135
GALAXY_SOUNDS_DARK_MATTER,galaxy,930.9946333748316,1202.0385875145598,1013
SNACKPACK_VANILLA,snack,918.606813597419,800.7776696557328,1078
TRANSLATOR_ECLIPSE_CHARCOAL,translator,913.9858747518538,727.8693958437044,1184
SNACKPACK_RASPBERRY,snack,891.328021956061,740.8649943725228,1166
TRANSLATOR_SPACE_GRAY,translator,880.5056148019041,1082.113341330148,1132
UV_VISOR_ORANGE,visor,872.74494022479,1456.964161178444,1154
ROBOT_IRONING,robot,871.6958320046251,867.4982116938509,1029
SLEEP_POD_LAMB_WOOL,sleep,802.1875059468387,862.0249532731331,1008
MICROCHIP_RECTANGLE,microchip,788.0441049161631,1432.8306672031206,1109
OXYGEN_SHAKE_MINT,oxygen,781.9129280854614,952.7988866553619,1115
SLEEP_POD_POLYESTER,sleep,773.3340169675641,1226.1682163532091,1029
ROBOT_VACUUMING,robot,767.4637933208146,858.3961048735226,1211
PANEL_2X4,panel,748.7659756958417,1007.1653593976375,1022
UV_VISOR_AMBER,visor,735.2255387237321,434.89120466008893,957
MICROCHIP_TRIANGLE,microchip,729.6556849235207,1164.16254181465,918
UV_VISOR_MAGENTA,visor,668.7066253709173,835.2770929562224,1101
OXYGEN_SHAKE_GARLIC,oxygen,647.8931556234384,1008.2510351813864,1016
ROBOT_LAUNDRY,robot,626.69923195678,750.1046618907676,898
SLEEP_POD_COTTON,sleep,600.4934124897452,1050.556855067079,986
