trader: leadlag_predictive_3day.py
dataset: round5
mode: fast
artifacts: metrics-only
bundle: runs/r5_leadlag_predictive_3day [flat multi-run output]
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        1108    731787.50  runs/r5_leadlag_predictive_3day/round5-day+2-*
D+3               3    10000        1468    967628.00  runs/r5_leadlag_predictive_3day/round5-day+3-*
D+4               4    10000        1287    620907.00  runs/r5_leadlag_predictive_3day/round5-day+4-*
TOTAL             -    30000        3863   2320322.50  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES       14437.50   12718.00   15870.50   43026.00
GALAXY_SOUNDS_DARK_MATTER       14166.00   31334.00   17596.00   63096.00
GALAXY_SOUNDS_PLANETARY_RINGS   11780.00   -1655.00   36125.00   46250.00
GALAXY_SOUNDS_SOLAR_FLAMES      25942.00   27554.00   20434.00   73930.00
GALAXY_SOUNDS_SOLAR_WINDS       18703.00   15990.00    7345.00   42038.00
MICROCHIP_CIRCLE                27668.00    9057.00    5613.00   42338.00
MICROCHIP_OVAL                  30006.00   34590.50   17527.00   82123.50
MICROCHIP_RECTANGLE              5750.00   22696.00   17988.00   46434.00
MICROCHIP_SQUARE                 3064.00   41356.00   25541.00   69961.00
MICROCHIP_TRIANGLE              -5892.00   13527.00   13708.00   21343.00
OXYGEN_SHAKE_CHOCOLATE          12416.00   15986.00   17908.00   46310.00
OXYGEN_SHAKE_EVENING_BREATH      1450.00   25572.00   24352.00   51374.00
OXYGEN_SHAKE_GARLIC             18225.00   27003.00  -12171.00   33057.00
OXYGEN_SHAKE_MINT               31763.00    4200.00   15235.00   51198.00
OXYGEN_SHAKE_MORNING_BREATH         0.00   35250.00       0.00   35250.00
PANEL_1X2                       31518.00    4425.00    8110.00   44053.00
PANEL_1X4                       -1640.00   28832.00    9225.00   36417.00
PANEL_2X2                           0.00   16150.00   10260.00   26410.00
PANEL_2X4                       26384.00   14202.00    4127.00   44713.00
PANEL_4X4                       21887.00   12411.00    7332.00   41630.00
PEBBLES_L                       37235.00   28219.00    2581.00   68035.00
PEBBLES_M                         746.00   22186.00   24721.00   47653.00
PEBBLES_S                       13525.00   18363.00   33973.00   65861.00
PEBBLES_XL                      67145.00   58705.00   -3770.00  122080.00
PEBBLES_XS                      19455.00   39811.00   24061.00   83327.00
ROBOT_DISHES                     6448.00   36194.00  -10374.00   32268.00
ROBOT_IRONING                    4860.00   20283.00    3470.00   28613.00
ROBOT_LAUNDRY                    4548.00   12149.00     950.00   17647.00
ROBOT_MOPPING                   -1835.00   26603.00    7463.00   32231.00
ROBOT_VACUUMING                   112.00   14662.00       0.00   14774.00
SLEEP_POD_COTTON                11190.00   14460.00   20320.00   45970.00
SLEEP_POD_LAMB_WOOL             25181.00   14849.00   14708.00   54738.00
SLEEP_POD_NYLON                  1960.00    7298.50    4836.50   14095.00
SLEEP_POD_POLYESTER             17615.00   30392.00    9113.00   57120.00
SLEEP_POD_SUEDE                 10950.00   37249.00   18861.00   67060.00
SNACKPACK_CHOCOLATE             14130.00    9995.00    2500.00   26625.00
SNACKPACK_PISTACHIO             13626.00    5264.00    2639.00   21529.00
SNACKPACK_RASPBERRY             28785.00   14395.00   15985.00   59165.00
SNACKPACK_STRAWBERRY             4280.00   20670.00   13230.00   38180.00
SNACKPACK_VANILLA               16495.00    9586.00    6240.00   32321.00
TRANSLATOR_ASTRO_BLACK          -1590.00   16627.00   24351.00   39388.00
TRANSLATOR_ECLIPSE_CHARCOAL      8173.00   16228.00   21946.00   46347.00
TRANSLATOR_GRAPHITE_MIST        22543.00   20006.00   18817.00   61366.00
TRANSLATOR_SPACE_GRAY           14708.00   12610.00    4321.00   31639.00
TRANSLATOR_VOID_BLUE            14454.00   18459.00   19403.00   52316.00
UV_VISOR_AMBER                  14935.00   11030.00   20273.00   46238.00
UV_VISOR_MAGENTA                12935.00   14682.00   21916.00   49533.00
UV_VISOR_ORANGE                  7345.00    8575.00   16594.00   32514.00
UV_VISOR_RED                    36501.00   16879.00   -7055.00   46325.00
UV_VISOR_YELLOW                 17705.00       0.00   26708.00   44413.00
