product,base,best,improve,signal,base_days,best_days
PEBBLES_XS,64152.0,81909.0,17757.0,"('PEBBLES_XL', 200, 0.1)","(19455.0, 32737.0, 11960.0)","(19455.0, 50316.0, 12138.0)"
UV_VISOR_MAGENTA,51105.0,65635.0,14530.0,"('UV_VISOR_AMBER', 500, 1)","(12935.0, 14371.0, 23799.0)","(12935.0, 19884.0, 32816.0)"
PANEL_1X2,30200.0,44053.0,13853.0,"('PANEL_2X2', 200, -1)","(15875.0, 4425.0, 9900.0)","(31518.0, 4425.0, 8110.0)"
PEBBLES_L,68035.0,81699.0,13664.0,"('PEBBLES_S', 500, 0.5)","(37235.0, 28219.0, 2581.0)","(44286.0, 30020.0, 7393.0)"
MICROCHIP_OVAL,64398.5,77433.5,13035.0,"('MICROCHIP_RECTANGLE', 2, -0.05)","(18851.0, 31411.5, 14136.0)","(24541.0, 34094.5, 18798.0)"
SLEEP_POD_LAMB_WOOL,54738.0,67751.0,13013.0,"('SLEEP_POD_COTTON', 500, -1)","(25181.0, 14849.0, 14708.0)","(17949.0, 26983.0, 22819.0)"
OXYGEN_SHAKE_CHOCOLATE,31027.0,43860.0,12833.0,"('OXYGEN_SHAKE_EVENING_BREATH', 50, -0.1)","(10610.0, 8094.0, 12323.0)","(11686.0, 13774.0, 18400.0)"
PANEL_4X4,31679.0,41630.0,9951.0,"('PANEL_2X2', 100, -1)","(7963.0, 13877.0, 9839.0)","(21887.0, 12411.0, 7332.0)"
TRANSLATOR_GRAPHITE_MIST,52187.0,61366.0,9179.0,"('TRANSLATOR_VOID_BLUE', 500, 0.5)","(18289.0, 14696.0, 19202.0)","(22543.0, 20006.0, 18817.0)"
ROBOT_LAUNDRY,17647.0,24904.0,7257.0,"('ROBOT_MOPPING', 500, 1)","(4548.0, 12149.0, 950.0)","(3436.0, 20518.0, 950.0)"
PEBBLES_XL,122080.0,129217.0,7137.0,"('PEBBLES_M', 20, -1)","(67145.0, 58705.0, -3770.0)","(68824.0, 63683.0, -3290.0)"
TRANSLATOR_VOID_BLUE,52316.0,59398.0,7082.0,"('TRANSLATOR_ECLIPSE_CHARCOAL', 200, -0.1)","(14454.0, 18459.0, 19403.0)","(14490.0, 25687.0, 19221.0)"
MICROCHIP_CIRCLE,28177.0,34322.0,6145.0,"('MICROCHIP_SQUARE', 100, 1)","(20434.0, 5018.0, 2725.0)","(20831.0, 7438.0, 6053.0)"
MICROCHIP_SQUARE,72659.0,78784.0,6125.0,"('MICROCHIP_OVAL', 10, 0.05)","(10474.0, 36244.0, 25941.0)","(3788.0, 46455.0, 28541.0)"
MICROCHIP_TRIANGLE,22780.0,28904.0,6124.0,"('MICROCHIP_OVAL', 200, 1)","(-5575.0, 15027.0, 13328.0)","(76.0, 15617.0, 13211.0)"
OXYGEN_SHAKE_GARLIC,33057.0,39023.0,5966.0,"('OXYGEN_SHAKE_MINT', 500, -1)","(18225.0, 27003.0, -12171.0)","(17787.0, 32179.0, -10943.0)"
SNACKPACK_STRAWBERRY,28736.0,34380.0,5644.0,"('SNACKPACK_CHOCOLATE', 100, 1)","(4280.0, 12933.0, 11523.0)","(4280.0, 15775.0, 14325.0)"
OXYGEN_SHAKE_EVENING_BREATH,52265.0,57144.0,4879.0,"('OXYGEN_SHAKE_MORNING_BREATH', 200, 0.5)","(1450.0, 26038.0, 24777.0)","(361.0, 32888.0, 23895.0)"
SLEEP_POD_NYLON,14095.0,18672.5,4577.5,"('SLEEP_POD_COTTON', 100, 1)","(1960.0, 7298.5, 4836.5)","(-1132.0, 15289.0, 4515.5)"
GALAXY_SOUNDS_SOLAR_FLAMES,66032.0,70253.0,4221.0,"('GALAXY_SOUNDS_BLACK_HOLES', 500, -0.25)","(27815.0, 21655.0, 16562.0)","(30261.0, 22686.0, 17306.0)"
PEBBLES_S,52761.0,56914.0,4153.0,"('PEBBLES_XS', 500, 0.1)","(19088.0, 6728.0, 26945.0)","(15012.0, 16399.0, 25503.0)"
UV_VISOR_AMBER,42171.0,46238.0,4067.0,"('UV_VISOR_RED', 500, 0.25)","(14935.0, 11030.0, 16206.0)","(14935.0, 11030.0, 20273.0)"
