product,base,best,improve,signal2,base_days,best_days
PEBBLES_L,81699.0,94924.0,13225.0,"('PEBBLES_XL', 5, 0.5)","(44286.0, 30020.0, 7393.0)","(43877.0, 39042.0, 12005.0)"
UV_VISOR_MAGENTA,65635.0,75443.0,9808.0,"('UV_VISOR_YELLOW', 20, -0.25)","(12935.0, 19884.0, 32816.0)","(12935.0, 27274.0, 35234.0)"
MICROCHIP_SQUARE,78784.0,88572.0,9788.0,"('MICROCHIP_TRIANGLE', 5, 0.05)","(3788.0, 46455.0, 28541.0)","(12468.0, 43367.0, 32737.0)"
PEBBLES_S,56914.0,65861.0,8947.0,"('PEBBLES_L', 10, -0.1)","(15012.0, 16399.0, 25503.0)","(13525.0, 18363.0, 33973.0)"
MICROCHIP_CIRCLE,34322.0,42338.0,8016.0,"('MICROCHIP_RECTANGLE', 100, 1)","(20831.0, 7438.0, 6053.0)","(27668.0, 9057.0, 5613.0)"
ROBOT_LAUNDRY,24904.0,30646.0,5742.0,"('ROBOT_VACUUMING', 500, 1)","(3436.0, 20518.0, 950.0)","(10727.0, 18969.0, 950.0)"
OXYGEN_SHAKE_GARLIC,39023.0,44630.0,5607.0,"('OXYGEN_SHAKE_MINT', 200, 1)","(17787.0, 32179.0, -10943.0)","(19232.0, 30159.0, -4761.0)"
MICROCHIP_RECTANGLE,47394.0,52113.0,4719.0,"('MICROCHIP_SQUARE', 200, -1)","(5750.0, 23416.0, 18228.0)","(5750.0, 25458.0, 20905.0)"
MICROCHIP_OVAL,77433.5,82123.5,4690.0,"('MICROCHIP_RECTANGLE', 1, 0.1)","(24541.0, 34094.5, 18798.0)","(30006.0, 34590.5, 17527.0)"
TRANSLATOR_ECLIPSE_CHARCOAL,46347.0,50780.0,4433.0,"('TRANSLATOR_SPACE_GRAY', 100, -0.25)","(8173.0, 16228.0, 21946.0)","(8051.0, 16074.0, 26655.0)"
SLEEP_POD_NYLON,18672.5,22928.0,4255.5,"('SLEEP_POD_SUEDE', 100, -0.5)","(-1132.0, 15289.0, 4515.5)","(2095.0, 14242.0, 6591.0)"
