feature,target,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,day_2_ic,day_3_ic,day_4_ic
spread,target_cross_buy_5,-0.06397019433229412,0.06397019433229412,-0.0671449292748215,-0.0619102397646812,1,-0.0619102397646812,-0.06285541395737963,-0.0671449292748215
spread,target_cross_sell_5,-0.06294659243048235,0.06294659243048235,-0.06760975007388068,-0.05751355171396887,1,-0.05751355171396887,-0.06371647550359752,-0.06760975007388068
depth_3,target_cross_sell_5,-0.05134254145308592,0.05134254145308592,-0.05224404658148548,-0.05016563670156738,1,-0.05016563670156738,-0.051617941076204904,-0.05224404658148548
depth_3,target_cross_buy_5,-0.047422809860381214,0.047422809860381214,-0.047861885806061516,-0.046980289742946754,1,-0.047861885806061516,-0.046980289742946754,-0.047426254032135365
depth_1,target_cross_sell_5,-0.047008671508499876,0.047008671508499876,-0.047755048607690954,-0.04652467645651388,1,-0.047755048607690954,-0.046746289461294804,-0.04652467645651388
depth_1,target_cross_buy_5,-0.04265784772848863,0.04265784772848863,-0.043108210808630684,-0.042185211911924876,1,-0.043108210808630684,-0.04268012046491032,-0.042185211911924876
obi_3,target_1,-0.03622843740435978,0.03622843740435978,-0.037531873194426496,-0.03393064710907714,1,-0.037531873194426496,-0.03393064710907714,-0.0372227919095757
obi_1,target_1,0.03297281021104397,0.03297281021104397,0.0304438628175676,0.03611225461385076,1,0.03611225461385076,0.0304438628175676,0.032362313201713566
obi_3,target_3,-0.024809237504029857,0.024809237504029857,-0.027644368460346902,-0.02167376063140422,1,-0.02510958342033845,-0.02167376063140422,-0.027644368460346902
obi_1,target_3,0.021971083187963595,0.021971083187963595,0.019820578523544467,0.023155380904830252,1,0.022937290135516063,0.019820578523544467,0.023155380904830252
obi_3,target_cross_buy_5,-0.02155016855531877,0.02155016855531877,-0.02425418637747792,-0.018621342630020757,1,-0.018621342630020757,-0.021774976658457637,-0.02425418637747792
obi_3,target_5,-0.01914118368542506,0.01914118368542506,-0.023811217086967967,-0.015029552570859469,1,-0.015029552570859469,-0.018582781398447747,-0.023811217086967967
obi_1,target_cross_buy_5,0.019027234820272396,0.019027234820272396,0.017721047111984266,0.020136629344955168,1,0.020136629344955168,0.017721047111984266,0.01922402800387775
obi_1,target_5,0.017557016962346503,0.017557016962346503,0.015736453095788423,0.018564502579347348,1,0.018370095211903744,0.015736453095788423,0.018564502579347348
obi_3,target_cross_sell_5,0.016653159806589348,0.016653159806589348,0.011383172832944396,0.02326004454614273,1,0.011383172832944396,0.015316262040680914,0.02326004454614273
obi_1,target_cross_sell_5,-0.016015678416027083,0.016015678416027083,-0.01782062597834332,-0.013688879900607916,1,-0.016537529369130017,-0.013688879900607916,-0.01782062597834332
cat_resid,target_cross_buy_5,-0.015620393272555183,0.015620393272555183,-0.019944137197527054,-0.012909230243261441,1,-0.012909230243261441,-0.01400781237687705,-0.019944137197527054
xcat_snack_ret_1,target_1,-0.01559428014342642,0.01559428014342642,-0.016935306592981692,-0.013208073294330415,1,-0.016639460542967152,-0.013208073294330415,-0.016935306592981692
cat_resid,target_cross_sell_5,-0.014458592459241469,0.014458592459241469,-0.01814641382178188,-0.011272322406062745,1,-0.011272322406062745,-0.013957041149879779,-0.01814641382178188
vol_100,target_revert_5,0.014013119451048814,0.014013119451048814,0.004536400067020964,0.032637491729385786,1,0.004536400067020964,0.004865466556739694,0.032637491729385786
ret_1,target_3,-0.013788515162161648,0.013788515162161648,-0.02016780944914118,-0.008702232727399449,1,-0.012495503309944317,-0.008702232727399449,-0.02016780944914118
vol_20,target_revert_5,0.013585726533019073,0.013585726533019073,0.0015867048939591957,0.03698316948251771,1,0.0015867048939591957,0.0021873052225803154,0.03698316948251771
ret_3,target_1,-0.012379487150366448,0.012379487150366448,-0.02993208959389029,-0.0031254333048708924,1,-0.004080938552338159,-0.0031254333048708924,-0.02993208959389029
ret_1,target_cross_buy_5,-0.01147212642757565,0.01147212642757565,-0.01804801069757107,-0.004292834354327415,1,-0.012075534230828468,-0.004292834354327415,-0.01804801069757107
ret_3,target_3,-0.011240174654558599,0.011240174654558599,-0.01656772742810656,-0.007308408964548618,1,-0.009844387571020618,-0.007308408964548618,-0.01656772742810656
ret_1,target_5,-0.011167776824779346,0.011167776824779346,-0.018043639506910555,-0.0037361136475772606,1,-0.011723577319850223,-0.0037361136475772606,-0.018043639506910555
ret_200,target_cross_buy_5,-0.011137055981688975,0.011137055981688975,-0.01798043174458815,-0.0025317009510585483,1,-0.0025317009510585483,-0.012899035249420227,-0.01798043174458815
ret_500,target_cross_buy_5,-0.010878087114360828,0.010878087114360828,-0.01459640657210113,-0.007606746669427536,1,-0.007606746669427536,-0.01459640657210113,-0.010431108101553817
ret_1,target_cross_sell_5,0.010817131025274644,0.010817131025274644,0.003164445244522787,0.017957263745922138,1,0.011329684085379009,0.003164445244522787,0.017957263745922138
xcat_snack_ret_1,target_cross_buy_5,-0.010776991420430556,0.010776991420430556,-0.011758153681913922,-0.010067206077469313,1,-0.010067206077469313,-0.011758153681913922,-0.010505614501908437
xcat_snack_ret_1,target_3,-0.010189947206088854,0.010189947206088854,-0.011745687327898153,-0.008551671057586927,1,-0.008551671057586927,-0.010272483232781486,-0.011745687327898153
ret_20,target_cross_buy_5,-0.01002742524023779,0.01002742524023779,-0.016474639770070222,-0.0056427247437733615,1,-0.007964911206869782,-0.0056427247437733615,-0.016474639770070222
ret_50,target_cross_buy_5,-0.009965890206500344,0.009965890206500344,-0.020975644582912338,-0.0036043430329855647,1,-0.0036043430329855647,-0.0053176830036031335,-0.020975644582912338
ret_20,target_3,-0.00960527236908362,0.00960527236908362,-0.01632300731997605,-0.003412275836037491,1,-0.009080533951237316,-0.003412275836037491,-0.01632300731997605
ret_3,target_cross_buy_5,-0.00943739202276952,0.00943739202276952,-0.017458793001336934,-0.002722294503449501,1,-0.008131088563522125,-0.002722294503449501,-0.017458793001336934
xcat_snack_ret_1,target_5,-0.009090361029006072,0.009090361029006072,-0.009957924724149182,-0.007643304338273059,1,-0.007643304338273059,-0.009957924724149182,-0.009669854024595975
