model,feature_set,ic,sign_accuracy,proxy_edge_sum,trades
decision_stump:ret_10:-49.5:-1,single_feature,-0.007255154269190176,0.5072536268134067,-6699.5,1999
decision_stump:vol_20:10.62:-1,single_feature,0.019653487006960697,0.4927463731865933,-6829.5,1999
decision_stump:ret_10:-1:-1,single_feature,0.005569078184298969,0.4942471235617809,-6870.0,1999
decision_stump:z_200:1.15:-1,single_feature,0.025385846260912254,0.5017508754377189,-6932.0,1999
decision_stump:vol_20:9.002:-1,single_feature,-0.012403177427091232,0.48874437218609307,-7148.5,1999
decision_stump:cat_ret_1_ex:6.625:+1,single_feature,0.032415644462420866,0.5027513756878439,-7372.5,1999
decision_stump:z_50:0.9612:-1,single_feature,-0.022412740240103545,0.47573786893446723,-7834.5,1999
decision_stump:vol_20:7.661:-1,single_feature,0.006934818762472718,0.5032516258129065,-7900.5,1999
decision_stump:cat_resid_z_200:1.139:-1,single_feature,0.012217628120715592,0.5082541270635318,-8023.5,1999
decision_stump:cat_ret_1_ex:-5.25:-1,single_feature,0.0017089849800087762,0.4917458729364682,-8187.0,1999
decision_stump:cat_ret_1_ex:6.375:+1,single_feature,0.03197813010021228,0.4947473736868434,-8194.5,1999
decision_stump:z_200:-0.9979:+1,single_feature,0.01835828314620454,0.49024512256128067,-8397.0,1999
decision_stump:ret_10:24:-1,single_feature,-0.023317331699384207,0.4822411205602801,-8594.5,1999
decision_stump:cat_ret_1_ex:-3.25:+1,single_feature,0.007164510094054538,0.5092546273136568,-8760.5,1999
decision_stump:vol_20:9.947:-1,single_feature,0.0007893879714387763,0.4932466233116558,-8769.5,1999
decision_stump:z_200:1.261:-1,single_feature,0.0035841617202773284,0.4957478739369685,-8977.5,1999
decision_stump:vol_20:11.84:-1,single_feature,-0.006652978904464058,0.5067533766883442,-9132.0,1999
decision_stump:vol_20:9.601:-1,single_feature,-0.009349377812927375,0.48624312156078037,-9165.0,1999
decision_stump:ret_1:15:-1,single_feature,-0.00043808545412070144,0.5002501250625313,-9207.0,1999
decision_stump:ret_5:14:-1,single_feature,0.004003567449878953,0.49024512256128067,-9291.0,1999
decision_stump:cat_resid_z_200:1.242:-1,single_feature,0.0165375631399839,0.5087543771885943,-9393.5,1999
decision_stump:cat_ret_5_ex:0.25:+1,single_feature,-0.0019430482369497037,0.496248124062031,-9464.0,1999
decision_stump:z_50:-0.04576:-1,single_feature,-0.048878317432042524,0.4822411205602801,-9475.5,1999
decision_stump:vol_20:7.097:+1,single_feature,-0.013424324602586593,0.4832416208104052,-9497.0,1999
decision_stump:z_50:1.093:-1,single_feature,-0.012608811944517614,0.46473236618309155,-9522.0,1999
decision_stump:ret_20:-42.38:-1,single_feature,-0.004664386556110717,0.49824912456228115,-9545.0,3998
decision_stump:cat_resid_z_200:-1.234:-1,single_feature,0.0008699387787026305,0.48724362181090547,-9589.0,1999
decision_stump:z_50:-1.804:-1,single_feature,0.01900005219030929,0.48724362181090547,-9823.0,1999
decision_stump:cat_ret_5_ex:8.5:-1,single_feature,-0.02008284017800259,0.4817408704352176,-9850.0,1999
decision_stump:ret_3:-10.5:-1,single_feature,-0.013364630312678635,0.48724362181090547,-9875.5,1999
decision_stump:cat_ret_5_ex:10.75:-1,single_feature,-0.03284675981468979,0.5027513756878439,-9893.0,1999
decision_stump:ret_10:-25.5:+1,single_feature,-0.013963774112990029,0.49674837418709356,-9920.0,1999
decision_stump:ret_5:14.5:+1,single_feature,-0.03417095720509941,0.4852426213106553,-10027.5,1999
decision_stump:vol_20:9.657:+1,single_feature,0.04561297411692121,0.5082541270635318,-10641.0,1999
decision_stump:vol_20:6.374:-1,single_feature,-0.024506944489205776,0.5027513756878439,-10811.5,1999
decision_stump:ret_3:13.5:-1,single_feature,0.060722608311437276,0.5117558779389695,-11055.5,1999
decision_stump:ret_1:6.5:-1,single_feature,0.015924487551655472,0.39769884942471234,-11402.0,1999
decision_stump:ret_20:-45:-1,single_feature,-0.01098452205874957,0.4977488744372186,-11577.5,1999
decision_stump:z_200:0.02598:-1,single_feature,-0.021002030145657883,0.4827413706853427,-11637.5,1999
decision_stump:ret_10:-22.5:+1,single_feature,0.03364405047388384,0.5047523761880941,-11790.0,1999
decision_stump:ret_5:-0.5:-1,single_feature,0.010820891546726932,0.49874937468734365,-11860.5,1999
decision_stump:cat_resid_z_200:0.0302:-1,single_feature,-0.03889851754262339,0.49374687343671836,-11861.0,1999
decision_stump:vol_20:14.98:-1,single_feature,0.021704640466676483,0.5097548774387194,-11969.5,1999
decision_stump:cat_ret_5_ex:8.625:-1,single_feature,0.014175966662102314,0.5032516258129065,-12137.5,1999
decision_stump:vol_20:18.09:-1,single_feature,0.026976208450145946,0.49724862431215605,-12154.0,1999
decision_stump:z_50:-0.04283:-1,single_feature,0.026746652581765805,0.5082541270635318,-12234.5,1999
decision_stump:cat_ret_5_ex:8.375:-1,single_feature,0.014462195714819265,0.5047523761880941,-12471.5,1999
decision_stump:cat_ret_1_ex:-2.625:-1,single_feature,0.024044657721746642,0.49024512256128067,-12538.5,1999
decision_stump:cat_resid_z_200:1.277:-1,single_feature,0.049205434805783495,0.5057528764382191,-12713.5,1999
decision_stump:z_200:-1.209:-1,single_feature,-0.011641679036895633,0.4062031015507754,-12813.0,1999
decision_stump:ret_3:13:+1,single_feature,0.014951272557113803,0.49724862431215605,-12901.5,1999
decision_stump:z_50:-1.088:-1,single_feature,-0.00982770820547247,0.49974987493746875,-12917.0,3998
