split,product,threshold_mult,n_trades_proxy,proxy_edge_sum,proxy_edge_mean
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,0.5,2148,-13824.5,-6.43598696461825
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,0.75,1401,-9163.5,-6.5406852248394
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,1.0,804,-4465.0,-5.553482587064677
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,1.25,466,-1944.5,-4.17274678111588
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,1.5,259,-745.5,-2.8783783783783785
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,0.5,2030,-13172.0,-6.488669950738916
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,0.75,1195,-8059.5,-6.744351464435146
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,1.0,633,-5893.5,-9.310426540284361
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,1.25,315,-2404.5,-7.633333333333334
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,1.5,155,-1085.0,-7.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,0.5,1262,-7037.5,-5.576465927099841
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,0.75,569,-3153.5,-5.542179261862917
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.0,279,-1256.5,-4.503584229390681
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.25,170,-295.5,-1.738235294117647
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.5,123,-87.5,-0.7113821138211383
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,0.5,761,-5887.0,-7.735873850197109
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,0.75,269,-1688.0,-6.275092936802974
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,1.0,142,-769.5,-5.419014084507042
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,1.25,102,-329.0,-3.2254901960784315
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,1.5,82,-181.0,-2.207317073170732
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_FLAMES,0.5,1590,-11262.5,-7.083333333333333
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_FLAMES,0.75,835,-6536.5,-7.8281437125748505
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.0,397,-2558.5,-6.444584382871536
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.25,181,-946.5,-5.2292817679558015
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,111,-640.5,-5.77027027027027
train_d2_test_d3d4,SLEEP_POD_SUEDE,0.5,1957,-8657.0,-4.42360756259581
train_d2_test_d3d4,SLEEP_POD_SUEDE,0.75,1228,-5113.5,-4.164087947882736
train_d2_test_d3d4,SLEEP_POD_SUEDE,1.0,709,-1973.0,-2.782792665726375
train_d2_test_d3d4,SLEEP_POD_SUEDE,1.25,378,-749.0,-1.9814814814814814
train_d2_test_d3d4,SLEEP_POD_SUEDE,1.5,216,-289.5,-1.3402777777777777
train_d2_test_d3d4,SLEEP_POD_LAMB_WOOL,0.5,2141,-8794.0,-4.1074264362447455
train_d2_test_d3d4,SLEEP_POD_LAMB_WOOL,0.75,1422,-6022.5,-4.235232067510548
train_d2_test_d3d4,SLEEP_POD_LAMB_WOOL,1.0,895,-3865.0,-4.318435754189944
train_d2_test_d3d4,SLEEP_POD_LAMB_WOOL,1.25,545,-2732.0,-5.012844036697247
train_d2_test_d3d4,SLEEP_POD_LAMB_WOOL,1.5,333,-1483.0,-4.453453453453453
train_d2_test_d3d4,SLEEP_POD_POLYESTER,0.5,1974,-12701.5,-6.434397163120567
train_d2_test_d3d4,SLEEP_POD_POLYESTER,0.75,1279,-8363.5,-6.539093041438624
train_d2_test_d3d4,SLEEP_POD_POLYESTER,1.0,771,-5455.5,-7.075875486381323
train_d2_test_d3d4,SLEEP_POD_POLYESTER,1.25,420,-3416.0,-8.133333333333333
train_d2_test_d3d4,SLEEP_POD_POLYESTER,1.5,245,-1871.5,-7.6387755102040815
train_d2_test_d3d4,SLEEP_POD_NYLON,0.5,1715,-7019.5,-4.093002915451895
train_d2_test_d3d4,SLEEP_POD_NYLON,0.75,982,-3734.5,-3.8029531568228108
train_d2_test_d3d4,SLEEP_POD_NYLON,1.0,539,-1894.5,-3.514842300556586
train_d2_test_d3d4,SLEEP_POD_NYLON,1.25,260,-179.5,-0.6903846153846154
train_d2_test_d3d4,SLEEP_POD_NYLON,1.5,169,213.0,1.2603550295857988
train_d2_test_d3d4,SLEEP_POD_COTTON,0.5,2070,-8355.0,-4.036231884057971
train_d2_test_d3d4,SLEEP_POD_COTTON,0.75,1335,-5270.5,-3.947940074906367
train_d2_test_d3d4,SLEEP_POD_COTTON,1.0,785,-2774.5,-3.534394904458599
train_d2_test_d3d4,SLEEP_POD_COTTON,1.25,431,-1801.0,-4.178654292343388
train_d2_test_d3d4,SLEEP_POD_COTTON,1.5,222,-649.0,-2.9234234234234235
train_d2_test_d3d4,MICROCHIP_CIRCLE,0.5,3770,-17001.0,-4.5095490716180375
train_d2_test_d3d4,MICROCHIP_CIRCLE,0.75,3618,-16558.0,-4.576561636263129
train_d2_test_d3d4,MICROCHIP_CIRCLE,1.0,3416,-15797.5,-4.624560889929742
train_d2_test_d3d4,MICROCHIP_CIRCLE,1.25,3151,-14642.5,-4.646937480165027
train_d2_test_d3d4,MICROCHIP_CIRCLE,1.5,2887,-13777.0,-4.772081745756841
train_d2_test_d3d4,MICROCHIP_OVAL,0.5,3482,-13452.5,-3.8634405514072374
train_d2_test_d3d4,MICROCHIP_OVAL,0.75,3265,-12246.0,-3.7506891271056664
train_d2_test_d3d4,MICROCHIP_OVAL,1.0,3036,-11934.0,-3.930830039525692
train_d2_test_d3d4,MICROCHIP_OVAL,1.25,2805,-10613.5,-3.7837789661319072
train_d2_test_d3d4,MICROCHIP_OVAL,1.5,2587,-8982.5,-3.4721685349826052
train_d2_test_d3d4,MICROCHIP_SQUARE,0.5,2435,-12861.0,-5.281724845995893
train_d2_test_d3d4,MICROCHIP_SQUARE,0.75,1748,-9258.5,-5.29662471395881
train_d2_test_d3d4,MICROCHIP_SQUARE,1.0,1198,-6384.5,-5.329298831385643
train_d2_test_d3d4,MICROCHIP_SQUARE,1.25,740,-3233.0,-4.368918918918919
train_d2_test_d3d4,MICROCHIP_SQUARE,1.5,469,-2151.5,-4.587420042643923
train_d2_test_d3d4,MICROCHIP_RECTANGLE,0.5,2768,-9165.0,-3.3110549132947975
train_d2_test_d3d4,MICROCHIP_RECTANGLE,0.75,2241,-7642.0,-3.4100847835787595
train_d2_test_d3d4,MICROCHIP_RECTANGLE,1.0,1759,-5932.0,-3.3723706651506538
train_d2_test_d3d4,MICROCHIP_RECTANGLE,1.25,1374,-4215.5,-3.0680494905385736
train_d2_test_d3d4,MICROCHIP_RECTANGLE,1.5,1035,-3145.0,-3.0386473429951693
train_d2_test_d3d4,MICROCHIP_TRIANGLE,0.5,3107,-14795.5,-4.761989056968137
train_d2_test_d3d4,MICROCHIP_TRIANGLE,0.75,2673,-10384.5,-3.8849607182940518
train_d2_test_d3d4,MICROCHIP_TRIANGLE,1.0,2280,-8021.5,-3.5182017543859647
train_d2_test_d3d4,MICROCHIP_TRIANGLE,1.25,1928,-7847.5,-4.070280082987552
train_d2_test_d3d4,MICROCHIP_TRIANGLE,1.5,1598,-6643.5,-4.157384230287859
train_d2_test_d3d4,PEBBLES_XS,0.5,2738,-8384.5,-3.06227173119065
train_d2_test_d3d4,PEBBLES_XS,0.75,2213,-7414.0,-3.35020334387709
train_d2_test_d3d4,PEBBLES_XS,1.0,1718,-5347.5,-3.1126309662398137
train_d2_test_d3d4,PEBBLES_XS,1.25,1316,-3569.5,-2.712386018237082
train_d2_test_d3d4,PEBBLES_XS,1.5,981,-2895.0,-2.9510703363914375
train_d2_test_d3d4,PEBBLES_S,0.5,2632,-16233.0,-6.167553191489362
train_d2_test_d3d4,PEBBLES_S,0.75,2036,-12239.5,-6.011542239685658
train_d2_test_d3d4,PEBBLES_S,1.0,1510,-7945.5,-5.2619205298013245
train_d2_test_d3d4,PEBBLES_S,1.25,1082,-5634.0,-5.207024029574861
train_d2_test_d3d4,PEBBLES_S,1.5,728,-4687.0,-6.438186813186813
train_d2_test_d3d4,PEBBLES_M,0.5,2451,-17256.0,-7.040391676866585
train_d2_test_d3d4,PEBBLES_M,0.75,1807,-12389.5,-6.85639180962922
train_d2_test_d3d4,PEBBLES_M,1.0,1279,-8902.0,-6.960125097732604
