a,b,category_a,category_b,same_category,return_corr_mean,return_corr_min,return_corr_max,return_corr_std,price_corr_mean,price_corr_min
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snack,snack,True,0.9133330301374604,0.9127758411740341,0.9139371993438533,0.0004752848669120167,0.3903196972530459,-0.07176314772170383
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,snack,snack,True,0.03985708539357854,0.026169308507472348,0.05618786983434055,0.012396709852059203,-0.16752132670401984,-0.5529035166745844
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,snack,snack,True,0.031210629441718794,0.012980357313914089,0.04988433165532923,0.015069246900640721,0.1484670801865439,0.04423677384152854
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,snack,snack,True,0.030814580154882865,0.01114627878028142,0.048560326371380254,0.015334599289172107,0.00035146141420164023,-0.2059406277197499
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,oxygen,snack,False,0.027896694844972095,0.021082980540516837,0.032062708275125584,0.0048577323393649355,0.047348111538344194,-0.22717151420495818
GALAXY_SOUNDS_PLANETARY_RINGS,SNACKPACK_PISTACHIO,galaxy,snack,False,0.02515758219688689,0.009254232401445834,0.04638806472218544,0.015620800940782787,-0.016616522887441143,-0.7113291650216956
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,snack,snack,True,0.02473037279422265,0.009203313377853291,0.03695305681267484,0.011567230661150075,0.1107777662260852,-0.20417300386254264
ROBOT_MOPPING,SNACKPACK_RASPBERRY,robot,snack,False,0.024382227369581164,0.019229023206075772,0.03279114117338737,0.005996248543118704,-0.07198352920748602,-0.34465545573139217
SNACKPACK_PISTACHIO,UV_VISOR_RED,snack,visor,False,0.02342202551085872,0.0188083106135922,0.029436804408845902,0.004450726932350351,-0.10471462708654648,-0.472244743863025
SNACKPACK_PISTACHIO,UV_VISOR_MAGENTA,snack,visor,False,0.023206885193449645,0.01937080017422309,0.02841500983740522,0.003817617202459248,-0.319402397878406,-0.7707743406393824
SNACKPACK_STRAWBERRY,UV_VISOR_RED,snack,visor,False,0.02316579855061392,0.020597787898988258,0.027139994249068614,0.0028499278670640186,0.17603986575011202,-0.13740040202390488
SNACKPACK_PISTACHIO,TRANSLATOR_ASTRO_BLACK,snack,translator,False,0.022435612661235626,0.015527028730735084,0.02946582874554167,0.005691141200662807,0.4050190637859579,-0.0002730714338056799
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,galaxy,oxygen,False,0.022215418269675682,0.015018052816310763,0.027863537113193934,0.005357346389084749,-0.30141572562913993,-0.8892411988276887
SNACKPACK_PISTACHIO,UV_VISOR_ORANGE,snack,visor,False,0.021922349886358227,0.0060529652651767265,0.03826793426798356,0.013156015902033472,0.3690522873077609,0.08351206573806721
OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_CHOCOLATE,oxygen,snack,False,0.021810499075361516,0.011242570919673048,0.031322277227581595,0.008231453536094956,0.103648179003113,-0.19264214688165562
GALAXY_SOUNDS_SOLAR_WINDS,TRANSLATOR_GRAPHITE_MIST,galaxy,translator,False,0.021631590342217673,0.008203390839460624,0.02899201192115941,0.00950982433483634,0.45866735788841756,0.00980538728199189
SNACKPACK_CHOCOLATE,UV_VISOR_RED,snack,visor,False,0.02133548022960949,0.014892122666556097,0.030947659269545857,0.006927054981098969,0.19868856985195701,-0.2706335232093769
SNACKPACK_PISTACHIO,TRANSLATOR_ECLIPSE_CHARCOAL,snack,translator,False,0.021156902813858472,0.009988053985974538,0.03492794038406016,0.010346594385765719,0.4295553937121131,0.018735880908932245
SNACKPACK_STRAWBERRY,UV_VISOR_MAGENTA,snack,visor,False,0.021124460943160547,0.01762135635189654,0.022987242875247577,0.0024787333277337628,0.051033485274854885,-0.5038790513590513
SNACKPACK_STRAWBERRY,TRANSLATOR_ASTRO_BLACK,snack,translator,False,0.021005307199086467,0.01833085928246773,0.024797098658891282,0.002755528426445924,-0.020894091324578246,-0.38589764047132347
PANEL_1X2,SNACKPACK_PISTACHIO,panel,snack,False,0.02048607476995508,0.006726370786352979,0.02816454322380249,0.009751406002579595,-0.17882794866211613,-0.6877070872593982
SLEEP_POD_NYLON,SNACKPACK_RASPBERRY,sleep,snack,False,0.020300051681866247,0.012756584255574254,0.025355162393776626,0.0054359900741633525,0.2845541018424867,0.073902093706169
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_CHOCOLATE,galaxy,snack,False,0.0201536428724769,0.018383637982059695,0.02130415317613728,0.0012702184607316612,0.013444068592380528,-0.49244618536439616
OXYGEN_SHAKE_CHOCOLATE,SNACKPACK_PISTACHIO,oxygen,snack,False,0.020120892445494174,0.009807450243585114,0.02747581353648934,0.007510321818906021,0.02846853960944401,-0.42359006347799194
OXYGEN_SHAKE_GARLIC,SNACKPACK_RASPBERRY,oxygen,snack,False,0.01993726396121287,0.015047222636565329,0.025381012804446556,0.0042368816221803034,0.028616817303990034,-0.266697268634888
