a,b,category_a,category_b,same_category,return_corr_mean,return_corr_min,return_corr_max,return_corr_std,price_corr_mean,price_corr_min
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snack,snack,True,0.9133330301374604,0.9127758411740341,0.9139371993438533,0.0004752848669120167,0.3903196972530459,-0.07176314772170383
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,snack,snack,True,0.03985708539357854,0.026169308507472348,0.05618786983434055,0.012396709852059203,-0.16752132670401984,-0.5529035166745844
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,snack,snack,True,0.031210629441718794,0.012980357313914089,0.04988433165532923,0.015069246900640721,0.1484670801865439,0.04423677384152854
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,snack,snack,True,0.030814580154882865,0.01114627878028142,0.048560326371380254,0.015334599289172107,0.00035146141420164023,-0.2059406277197499
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,snack,snack,True,0.02473037279422265,0.009203313377853291,0.03695305681267484,0.011567230661150075,0.1107777662260852,-0.20417300386254264
UV_VISOR_ORANGE,UV_VISOR_RED,visor,visor,True,0.01960034924775954,0.004885129497897953,0.029076665825852915,0.01054805471193823,0.07545784870304634,-0.07189272531929408
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,translator,translator,True,0.0177219313329367,0.010975103984161861,0.02944406683931439,0.008320293091134995,-0.6393961447130135,-0.7035597147569114
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,snack,snack,True,0.01671607198047445,0.0011285834731346684,0.0334476014744254,0.013218959955967875,-0.20397925798239194,-0.3799392268012269
PEBBLES_M,PEBBLES_XS,pebbles,pebbles,True,0.014621064679769724,0.004305062424005031,0.02598740993798949,0.00888288480717842,-0.1780168923388038,-0.8289302110515998
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,snack,snack,True,0.014377740702486973,0.0024868384597479597,0.025654035670119296,0.009467948148816612,0.08211764105890966,-0.12919403917266192
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,galaxy,True,0.013171737010461539,0.0003787245684614823,0.02681736759599048,0.01081035551553179,-0.29689812716171304,-0.6345972831231721
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,oxygen,oxygen,True,0.012868922810660682,0.0014706547424951483,0.02416175819048734,0.009263904179149615,-0.10926182489116254,-0.25683205863770003
PEBBLES_M,PEBBLES_S,pebbles,pebbles,True,0.012487512942442743,0.00012511190731121923,0.025741079270864924,0.010476643154421697,-0.11726893383958396,-0.38623621161936056
MICROCHIP_CIRCLE,MICROCHIP_OVAL,microchip,microchip,True,0.012467942387997514,0.005057063208794806,0.02160833182097863,0.006866805538560554,0.09832291946260714,-0.9226622617307142
ROBOT_IRONING,ROBOT_VACUUMING,robot,robot,True,0.012408780026592481,0.0010192780472874888,0.01913166585037485,0.0080972270043349,0.1810512940713825,-0.4558920742689547
PEBBLES_L,PEBBLES_M,pebbles,pebbles,True,0.010800551487671792,0.004627951310615361,0.020444829442852815,0.006908102412329834,0.14595166827665162,-0.2924190186767941
PANEL_1X2,PANEL_2X2,panel,panel,True,0.010551789365597301,0.003940235658484245,0.015489000243921375,0.0048611424441654,-0.1587380232738392,-0.3925755897927914
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,translator,translator,True,0.010466962413175684,0.006166307440663402,0.014792119274887373,0.0035215155550596235,-0.20444785254858747,-0.8094694782412013
MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,microchip,microchip,True,0.010462313926591119,-0.012073492573953105,0.022476851900750546,0.015946878365025816,0.45645850413035377,0.23665138166488836
PANEL_1X4,PANEL_2X4,panel,panel,True,0.010306756134067422,0.004915820625442785,0.02007204507482131,0.006917562713936682,0.013513900454118275,-0.7016035079427652
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,oxygen,oxygen,True,0.009798749411847064,0.0006645261122418071,0.014932787018687685,0.006475437257104836,-0.14202212581590282,-0.4809651303192204
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,galaxy,galaxy,True,0.009202097495260185,0.0005112619105418705,0.024365222943980806,0.010760135262748204,-0.3230598978040589,-0.5940998722486
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,oxygen,oxygen,True,0.009140982429481909,0.007936137739351007,0.00981957812385973,0.0008542210582934357,-0.17508086633813172,-0.49166909528232844
UV_VISOR_MAGENTA,UV_VISOR_YELLOW,visor,visor,True,0.009094718378872149,-0.004291597902651928,0.022139285560330315,0.010793068593437918,0.3089380890668391,0.012832996393561662
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sleep,sleep,True,0.009035074834771813,0.007066738172755237,0.010654681294435092,0.0014853828971295527,-0.08902686880676292,-0.40174326008182953
