target,train_day,test_day,coef_json,train_resid_std,test_resid_std,test_adf_t,test_half_life,test_z_reversion_corr_20
PEBBLES_XS,2,3,"{'PEBBLES_S': -1.000196, 'PEBBLES_M': -1.000178, 'PEBBLES_L': -1.000078, 'PEBBLES_XL': -1.0001, 'intercept': 50005.447157}",2.815134904546682,2.7604514510874143,-99.43603442203374,0.6969865045294695,0.7159171142587264
PEBBLES_XS,2,4,"{'PEBBLES_S': -1.000196, 'PEBBLES_M': -1.000178, 'PEBBLES_L': -1.000078, 'PEBBLES_XL': -1.0001, 'intercept': 50005.447157}",2.815134904546682,2.821164423307653,-98.74145718065753,0.7019308190906393,0.7106639931479019
PEBBLES_XS,3,2,"{'PEBBLES_S': -0.999905, 'PEBBLES_M': -0.99999, 'PEBBLES_L': -0.999794, 'PEBBLES_XL': -0.999836, 'intercept': 49994.692515}",2.7568054659366013,2.8195814685927525,-97.53121212314808,0.7108055153381808,0.708191888461412
PEBBLES_XS,3,4,"{'PEBBLES_S': -0.999905, 'PEBBLES_M': -0.99999, 'PEBBLES_L': -0.999794, 'PEBBLES_XL': -0.999836, 'intercept': 49994.692515}",2.7568054659366013,2.8248643044445303,-98.44573446197573,0.7040683798862105,0.7096155393550744
PEBBLES_XS,4,2,"{'PEBBLES_S': -1.000296, 'PEBBLES_M': -1.000086, 'PEBBLES_L': -1.000149, 'PEBBLES_XL': -1.000157, 'intercept': 50007.101562}",2.820481361130735,2.8156928020499317,-97.84105938049123,0.7084995706499806,0.7093070047141207
PEBBLES_XS,4,3,"{'PEBBLES_S': -1.000296, 'PEBBLES_M': -1.000086, 'PEBBLES_L': -1.000149, 'PEBBLES_XL': -1.000157, 'intercept': 50007.101562}",2.820481361130735,2.7598681224757478,-99.48419973015002,0.6966466952737861,0.7161166682201343
PEBBLES_S,2,3,"{'PEBBLES_XS': -0.999571, 'PEBBLES_M': -0.999839, 'PEBBLES_L': -0.99978, 'PEBBLES_XL': -0.999771, 'intercept': 49989.596188}",2.8142563343625477,2.7636075746014277,-99.14880890587204,0.699020380946003,0.714874391059229
PEBBLES_S,2,4,"{'PEBBLES_XS': -0.999571, 'PEBBLES_M': -0.999839, 'PEBBLES_L': -0.99978, 'PEBBLES_XL': -0.999771, 'intercept': 49989.596188}",2.8142563343625477,2.819588694948095,-98.78868353964329,0.7015909992538272,0.7108375243226618
PEBBLES_S,3,2,"{'PEBBLES_XS': -0.999947, 'PEBBLES_M': -0.999952, 'PEBBLES_L': -0.999796, 'PEBBLES_XL': -0.999827, 'intercept': 49994.705703}",2.7568632016556402,2.8198623712515993,-97.5117112750492,0.7109511444390425,0.7081333888022134
PEBBLES_S,3,4,"{'PEBBLES_XS': -0.999947, 'PEBBLES_M': -0.999952, 'PEBBLES_L': -0.999796, 'PEBBLES_XL': -0.999827, 'intercept': 49994.705703}",2.7568632016556402,2.8245485000004504,-98.4672515217281,0.7039120080888668,0.7096895111447533
PEBBLES_S,4,2,"{'PEBBLES_XS': -0.999293, 'PEBBLES_M': -0.999682, 'PEBBLES_L': -0.999579, 'PEBBLES_XL': -0.999629, 'intercept': 49982.358516}",2.8190670375551403,2.8152938401592738,-97.77229734413531,0.7090089050769703,0.7091020400639312
PEBBLES_S,4,3,"{'PEBBLES_XS': -0.999293, 'PEBBLES_M': -0.999682, 'PEBBLES_L': -0.999579, 'PEBBLES_XL': -0.999629, 'intercept': 49982.358516}",2.8190670375551403,2.770390521967698,-98.63929754757339,0.7026718843142139,0.7130142005466877
PEBBLES_M,2,3,"{'PEBBLES_XS': -0.99968, 'PEBBLES_S': -0.999966, 'PEBBLES_L': -0.999802, 'PEBBLES_XL': -0.999831, 'intercept': 49992.728758}",2.8144342240763662,2.7654585257732935,-99.029042079772,0.6998737461564323,0.7144289072687594
