horizon,signal_product,target,top_imbalance_corr,top_imbalance_positive_days,book_imbalance_corr,book_imbalance_positive_days,spread_corr,spread_positive_days
1,PEBBLES_XS,PEBBLES_XS,0.019959392445895008,3,-0.027728779613691967,0,-0.02001561640477232,0
1,PEBBLES_XS,PEBBLES_S,0.020112327996630795,3,-0.03431045992957512,0,-0.0017331530579127495,1
1,PEBBLES_XS,PEBBLES_M,0.023284698062343696,3,-0.03048858412374825,0,-0.005107976851692851,1
1,PEBBLES_XS,PEBBLES_L,0.013092539766082718,2,-0.029887098028656616,0,-0.005498443981004676,0
1,PEBBLES_XS,PEBBLES_XL,0.017957141089996017,3,-0.02508379071833435,0,0.0018396476530419207,2
1,PEBBLES_S,PEBBLES_XS,0.029038096885483436,3,-0.027728779613691967,0,-0.013256936264375801,1
1,PEBBLES_S,PEBBLES_S,0.035788319018189116,3,-0.03431045992957512,0,-0.014515606365347095,0
1,PEBBLES_S,PEBBLES_M,0.026757943678374575,3,-0.03048858412374825,0,-0.00844220854849529,1
1,PEBBLES_S,PEBBLES_L,0.029485060333183835,3,-0.029887098028656616,0,-0.008484009196424268,1
1,PEBBLES_S,PEBBLES_XL,0.024395156490693525,3,-0.02508379071833435,0,0.006066046042353965,2
1,PEBBLES_M,PEBBLES_XS,0.029038096885483436,3,-0.027728779613691967,0,-0.0013991563330174133,1
1,PEBBLES_M,PEBBLES_S,0.035788319018189116,3,-0.03431045992957512,0,-0.004918092978954819,1
1,PEBBLES_M,PEBBLES_M,0.026757943678374575,3,-0.03048858412374825,0,-0.018206530312324564,0
1,PEBBLES_M,PEBBLES_L,0.029485060333183835,3,-0.029887098028656616,0,-0.0028314169703981735,1
1,PEBBLES_M,PEBBLES_XL,0.024395156490693525,3,-0.02508379071833435,0,-0.0018296626197423316,1
1,PEBBLES_L,PEBBLES_XS,0.029038096885483436,3,-0.027728779613691967,0,-0.0121275007062828,0
1,PEBBLES_L,PEBBLES_S,0.035788319018189116,3,-0.03431045992957512,0,-0.009225167898205093,1
1,PEBBLES_L,PEBBLES_M,0.026757943678374575,3,-0.03048858412374825,0,-0.004874054613050255,0
1,PEBBLES_L,PEBBLES_L,0.029485060333183835,3,-0.029887098028656616,0,-0.007992061894349688,1
1,PEBBLES_L,PEBBLES_XL,0.024395156490693525,3,-0.02508379071833435,0,0.0023986784513843154,1
