name,path,returncode,total_pnl,stdout_tail,day_2,day_3,day_4,own_trades
pscale_pebbles_m_1p25,research/round5/pebbles/generated_traders/pscale_pebbles_m_1p25.py,0,428724.0,"    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_m_1p25.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_m_1p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         185    148194.00  runs/backtest-1777466576681-round5-day+2
D+3               3    10000         211    185892.00  runs/backtest-1777466576681-round5-day+3
D+4               4    10000         148     94638.00  runs/backtest-1777466576681-round5-day+4
TOTAL             -    30000         544    428724.00  -
",148194.0,185892.0,94638.0,544.0
shift_pebbles_m_m25,research/round5/pebbles/generated_traders/shift_pebbles_m_m25.py,0,427650.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_m_m25.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_m_m25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         186    154788.00  runs/backtest-1777466632877-round5-day+2
D+3               3    10000         180    179876.00  runs/backtest-1777466632877-round5-day+3
D+4               4    10000         133     92986.00  runs/backtest-1777466632877-round5-day+4
TOTAL             -    30000         499    427650.00  -
",154788.0,179876.0,92986.0,499.0
shift_pebbles_xl_p25,research/round5/pebbles/generated_traders/shift_pebbles_xl_p25.py,0,427488.0,"    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_xl_p25.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_xl_p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    150150.00  runs/backtest-1777466725007-round5-day+2
D+3               3    10000         196    184952.00  runs/backtest-1777466725007-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466725007-round5-day+4
TOTAL             -    30000         502    427488.00  -
",150150.0,184952.0,92386.0,502.0
shift_pebbles_m_p25,research/round5/pebbles/generated_traders/shift_pebbles_m_p25.py,0,425976.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_m_p25.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_m_p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         168    147058.00  runs/backtest-1777466657851-round5-day+2
D+3               3    10000         197    186627.00  runs/backtest-1777466657851-round5-day+3
D+4               4    10000         137     92291.00  runs/backtest-1777466657851-round5-day+4
TOTAL             -    30000         502    425976.00  -
",147058.0,186627.0,92291.0,502.0
pscale_pebbles_m_0p75,research/round5/pebbles/generated_traders/pscale_pebbles_m_0p75.py,0,425276.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_m_0p75.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_m_0p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         167    150838.00  runs/backtest-1777466576547-round5-day+2
D+3               3    10000         180    180655.00  runs/backtest-1777466576547-round5-day+3
D+4               4    10000         125     93783.00  runs/backtest-1777466576547-round5-day+4
TOTAL             -    30000         472    425276.00  -
",150838.0,180655.0,93783.0,472.0
pscale_pebbles_s_0p75,research/round5/pebbles/generated_traders/pscale_pebbles_s_0p75.py,0,425244.0,"    Finished `release` profile [optimized] target(s) in 0.05s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_s_0p75.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_s_0p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         176    149720.00  runs/backtest-1777466547645-round5-day+2
D+3               3    10000         197    183138.00  runs/backtest-1777466547645-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466547645-round5-day+4
TOTAL             -    30000         510    425244.00  -
",149720.0,183138.0,92386.0,510.0
edge_l2,research/round5/pebbles/generated_traders/edge_l2.py,0,424643.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_l2.py --dataset round5 --products off --artifact-mode none`
trader: edge_l2.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         168    149238.00  runs/backtest-1777466771172-round5-day+2
D+3               3    10000         194    183019.00  runs/backtest-1777466771172-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466771172-round5-day+4
TOTAL             -    30000         499    424643.00  -
",149238.0,183019.0,92386.0,499.0
edge_m30,research/round5/pebbles/generated_traders/edge_m30.py,0,424637.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_m30.py --dataset round5 --products off --artifact-mode none`
trader: edge_m30.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466749860-round5-day+2
D+3               3    10000         192    183533.00  runs/backtest-1777466749860-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466749860-round5-day+4
TOTAL             -    30000         498    424637.00  -
",148718.0,183533.0,92386.0,498.0
edge_xl2,research/round5/pebbles/generated_traders/edge_xl2.py,0,424587.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_xl2.py --dataset round5 --products off --artifact-mode none`
trader: edge_xl2.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466771147-round5-day+2
D+3               3    10000         196    183483.00  runs/backtest-1777466771147-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466771147-round5-day+4
TOTAL             -    30000         502    424587.00  -
",148718.0,183483.0,92386.0,502.0
lead_s1p0,research/round5/pebbles/generated_traders/lead_s1p0.py,0,424587.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/lead_s1p0.py --dataset round5 --products off --artifact-mode none`
trader: lead_s1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466267111-round5-day+2
D+3               3    10000         196    183483.00  runs/backtest-1777466267111-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466267111-round5-day+4
TOTAL             -    30000         502    424587.00  -
",148718.0,183483.0,92386.0,502.0
edge_xs4,research/round5/pebbles/generated_traders/edge_xs4.py,0,424587.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_xs4.py --dataset round5 --products off --artifact-mode none`
trader: edge_xs4.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466725947-round5-day+2
D+3               3    10000         196    183483.00  runs/backtest-1777466725947-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466725947-round5-day+4
TOTAL             -    30000         502    424587.00  -
",148718.0,183483.0,92386.0,502.0
edge_xs0,research/round5/pebbles/generated_traders/edge_xs0.py,0,424587.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_xs0.py --dataset round5 --products off --artifact-mode none`
trader: edge_xs0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466725349-round5-day+2
D+3               3    10000         196    183483.00  runs/backtest-1777466725349-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466725349-round5-day+4
TOTAL             -    30000         502    424587.00  -
",148718.0,183483.0,92386.0,502.0
edge_m10,research/round5/pebbles/generated_traders/edge_m10.py,0,424444.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_m10.py --dataset round5 --products off --artifact-mode none`
trader: edge_m10.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         170    148656.00  runs/backtest-1777466749394-round5-day+2
D+3               3    10000         197    183402.00  runs/backtest-1777466749394-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466749394-round5-day+4
TOTAL             -    30000         504    424444.00  -
",148656.0,183402.0,92386.0,504.0
lead_s1p0_edge125,research/round5/pebbles/generated_traders/lead_s1p0_edge125.py,0,424072.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/lead_s1p0_edge125.py --dataset round5 --products off --artifact-mode none`
trader: lead_s1p0_edge125.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         167    147461.00  runs/backtest-1777466323900-round5-day+2
D+3               3    10000         193    183737.00  runs/backtest-1777466323900-round5-day+3
D+4               4    10000         135     92874.00  runs/backtest-1777466323900-round5-day+4
TOTAL             -    30000         495    424072.00  -
",147461.0,183737.0,92874.0,495.0
drop_pebbles_m_1,research/round5/pebbles/generated_traders/drop_pebbles_m_1.py,0,423758.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/drop_pebbles_m_1.py --dataset round5 --products off --artifact-mode none`
trader: drop_pebbles_m_1.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         149    147041.00  runs/backtest-1777466461693-round5-day+2
D+3               3    10000         171    191671.00  runs/backtest-1777466461693-round5-day+3
D+4               4    10000         104     85046.00  runs/backtest-1777466461693-round5-day+4
TOTAL             -    30000         424    423758.00  -
",147041.0,191671.0,85046.0,424.0
pscale_pebbles_s_1p25,research/round5/pebbles/generated_traders/pscale_pebbles_s_1p25.py,0,423584.0,"    Finished `release` profile [optimized] target(s) in 0.05s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_s_1p25.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_s_1p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         167    147461.00  runs/backtest-1777466547663-round5-day+2
D+3               3    10000         193    183737.00  runs/backtest-1777466547663-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466547663-round5-day+4
TOTAL             -    30000         497    423584.00  -
",147461.0,183737.0,92386.0,497.0
