product,day_2,day_3,day_4,total,min_day_pnl,max_day_share,positive_days,filter_decision,signal,best_params,stability_score,total_pnl,positive_days_simple,max_lucky_segment_share,sensitivity_ratio
GALAXY_SOUNDS_BLACK_HOLES,14658.5,14142.0,21124.0,49924.5,14142.0,0.4231189095534257,3,keep,imbalance,"((), 0.5)",0.0,-55690.0,0,1.0,-1.0
GALAXY_SOUNDS_DARK_MATTER,14473.0,31791.0,18118.0,64382.0,14473.0,0.4937870833462769,3,keep,mean_reversion,"((700,), 2.0)",0.0,-39790.0,0,1.0,-1.0
GALAXY_SOUNDS_PLANETARY_RINGS,13200.0,-1655.0,37537.0,49082.0,-1655.0,0.764781386251579,2,drop,momentum,"((500,), 1.0)",0.0,-41070.0,1,4.66,-1.0
GALAXY_SOUNDS_SOLAR_FLAMES,25975.0,28622.0,22587.0,77184.0,22587.0,0.37082815091210614,3,keep,mean_reversion,"((700,), 2.0)",0.0,-52420.0,0,1.0,-1.0
GALAXY_SOUNDS_SOLAR_WINDS,18908.0,16270.0,7635.0,42813.0,7635.0,0.44164155747086165,3,keep,momentum,"((500,), 1.0)",0.0,-38740.0,1,1.0,-1.0
MICROCHIP_CIRCLE,27668.0,9057.0,5613.0,42338.0,5613.0,0.6535027634748926,3,drop,basket_residual,"((700,), 2.0)",0.0,-20740.0,0,1.0,-1.0
MICROCHIP_OVAL,30006.0,34590.5,17527.0,82123.5,17527.0,0.42120099606081085,3,keep,lead_lag,"((500, 1), 1.5)",0.0,8105.0,2,1.0,-10.10610734114744
MICROCHIP_RECTANGLE,5750.0,25458.0,20905.0,52113.0,5750.0,0.48851534166138966,3,keep,basket_residual,"((700,), 2.0)",0.0,-19050.0,0,1.0,-1.0
MICROCHIP_SQUARE,12468.0,43367.0,32737.0,88572.0,12468.0,0.489624260488642,3,keep,imbalance,"((), 0.5)",0.0,-3880.0,0,1.0,-1.0
MICROCHIP_TRIANGLE,1031.0,15980.0,14886.5,31897.5,1031.0,0.5009797006034956,3,keep,mean_reversion,"((700,), 2.0)",0.0,-29050.0,0,1.0,-1.0
OXYGEN_SHAKE_CHOCOLATE,12416.0,15986.0,17908.0,46310.0,12416.0,0.3866983372921615,3,keep,mean_reversion,"((700,), 2.0)",0.0,-28970.0,0,1.0,-1.0
OXYGEN_SHAKE_EVENING_BREATH,361.0,32473.0,25966.0,58800.0,361.0,0.5522619047619047,3,keep,basket_residual,"((700,), 2.0)",0.0,-29010.0,0,1.0,-1.0
OXYGEN_SHAKE_GARLIC,19232.0,30159.0,-4761.0,44630.0,-4761.0,0.6757562177907237,2,drop,mean_reversion,"((700,), 2.0)",0.0,-52360.0,0,1.0,-1.0
OXYGEN_SHAKE_MINT,31847.0,4000.0,15805.0,51652.0,4000.0,0.616568574304964,3,keep,momentum,"((500,), 1.0)",0.0,-31295.0,1,1.0,-1.0
OXYGEN_SHAKE_MORNING_BREATH,1575.0,36050.0,3725.0,41350.0,1575.0,0.871825876662636,3,drop,mean_reversion,"((700,), 2.0)",0.0,-47550.0,0,1.0,-1.0
PANEL_1X2,31518.0,4425.0,8110.0,44053.0,4425.0,0.7154563820852156,3,drop,momentum,"((500,), 1.5)",0.0,-30950.0,0,1.0,-1.0
PANEL_1X4,-2030.0,30502.0,10405.0,38877.0,-2030.0,0.7845769992540577,2,drop,momentum,"((500,), 1.0)",0.0,-16115.0,1,4.560209424083769,-1.0
PANEL_2X2,0.0,16386.0,10260.0,26646.0,0.0,0.6149515874802972,2,keep,mean_reversion,"((700,), 2.0)",0.0,-27040.0,0,1.0,-1.0
PANEL_2X4,29077.0,13301.0,4984.0,47362.0,4984.0,0.6139309995354926,3,keep,imbalance,"((), 0.5)",0.0,-20190.0,0,1.0,-1.0
PANEL_4X4,25122.0,12467.0,7073.0,44662.0,7073.0,0.5624916036003762,3,keep,basket_residual,"((700,), 2.0)",0.0,-30370.0,0,1.0,-1.0
PEBBLES_L,43877.0,39042.0,12005.0,94924.0,12005.0,0.46223294425013695,3,keep,imbalance,"((), 0.5)",0.0,-13320.0,0,1.0,-1.0
PEBBLES_M,222.0,24595.0,26973.0,51790.0,222.0,0.5208148291175903,3,keep,imbalance,"((), 0.5)",0.0,-15050.0,0,1.0,-1.0
PEBBLES_S,13525.0,18363.0,33973.0,65861.0,13525.0,0.5158287909384917,3,keep,imbalance,"((), 0.5)",0.0,-10020.0,0,1.0,-1.0
PEBBLES_XL,71115.0,64081.0,-2374.0,132822.0,-2374.0,0.5354158196684284,2,drop,imbalance,"((), 0.5)",0.0,-15490.0,0,1.0,-1.0
PEBBLES_XS,19455.0,39811.0,24061.0,83327.0,19455.0,0.47776831039158973,3,keep,basket_residual,"((700,), 2.0)",0.0,-33010.0,0,1.0,-1.0
ROBOT_DISHES,10068.0,36978.0,-10374.0,36672.0,-10374.0,1.0083442408376964,2,drop,mean_reversion,"((100,), 1.0)",0.0,171070.0,1,1.0,0.6007190039165254
ROBOT_IRONING,4860.0,20290.0,3679.0,28829.0,3679.0,0.7038051961566478,3,drop,imbalance,"((), 0.5)",0.0,-6950.0,0,1.0,-1.0
ROBOT_LAUNDRY,10727.0,18969.0,950.0,30646.0,950.0,0.618971480780526,3,keep,mean_reversion,"((700,), 2.0)",0.0,-20680.0,0,1.0,-1.0
ROBOT_MOPPING,-1835.0,26603.0,7463.0,32231.0,-1835.0,0.8253854984331854,2,drop,mean_reversion,"((700,), 2.0)",0.0,-25555.0,0,1.0,-1.0
ROBOT_VACUUMING,326.0,14662.0,290.0,15278.0,290.0,0.9596805864641968,3,drop,mean_reversion,"((700,), 2.0)",0.0,-16360.0,0,1.0,-1.0
SLEEP_POD_COTTON,11190.0,15009.0,20490.0,46689.0,11190.0,0.43886140204330787,3,keep,imbalance,"((), 0.5)",0.0,-15910.0,0,1.0,-1.0
