product,day_2,day_3,day_4,total
GALAXY_SOUNDS_BLACK_HOLES,15847.0,13643.0,0.0,29490.0
GALAXY_SOUNDS_DARK_MATTER,15454.0,23326.0,19734.0,58514.0
GALAXY_SOUNDS_PLANETARY_RINGS,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,17521.0,28940.0,19566.0,66027.0
GALAXY_SOUNDS_SOLAR_WINDS,-2921.0,16076.0,8023.0,21178.0
MICROCHIP_CIRCLE,0.0,0.0,0.0,0.0
MICROCHIP_OVAL,17375.0,-17703.0,-10083.0,-10411.0
MICROCHIP_RECTANGLE,5750.0,18756.0,21370.0,45876.0
MICROCHIP_SQUARE,-15846.0,-27254.0,17595.0,-25505.0
MICROCHIP_TRIANGLE,-132.0,12397.0,-7475.0,4790.0
OXYGEN_SHAKE_CHOCOLATE,5220.0,-772.0,17549.0,21997.0
OXYGEN_SHAKE_EVENING_BREATH,361.0,27611.0,21239.0,49211.0
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,0.0
OXYGEN_SHAKE_MINT,22477.0,4275.0,17518.0,44270.0
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,0.0
PANEL_1X2,0.0,0.0,0.0,0.0
PANEL_1X4,0.0,0.0,0.0,0.0
PANEL_2X2,0.0,0.0,10034.0,10034.0
PANEL_2X4,28152.0,13832.0,6037.0,48021.0
PANEL_4X4,9167.0,13130.0,7655.0,29952.0
PEBBLES_L,43612.0,37271.0,5186.0,86069.0
PEBBLES_M,3007.0,24151.0,26978.0,54136.0
PEBBLES_S,7404.0,-1510.0,-6116.0,-222.0
PEBBLES_XL,0.0,0.0,0.0,0.0
PEBBLES_XS,19455.0,44639.0,12223.0,76317.0
ROBOT_DISHES,0.0,0.0,0.0,0.0
ROBOT_IRONING,0.0,0.0,0.0,0.0
ROBOT_LAUNDRY,11417.0,18844.0,1441.0,31702.0
ROBOT_MOPPING,0.0,0.0,0.0,0.0
ROBOT_VACUUMING,0.0,0.0,0.0,0.0
SLEEP_POD_COTTON,11190.0,15170.0,0.0,26360.0
SLEEP_POD_LAMB_WOOL,19210.0,27394.0,22373.0,68977.0
SLEEP_POD_NYLON,-7160.0,10755.0,10131.0,13726.0
SLEEP_POD_POLYESTER,17615.0,19228.0,9113.0,45956.0
SLEEP_POD_SUEDE,10950.0,39119.0,20188.0,70257.0
SNACKPACK_CHOCOLATE,15289.0,10972.0,-1900.0,24361.0
SNACKPACK_PISTACHIO,14679.0,7402.0,-815.0,21266.0
SNACKPACK_RASPBERRY,12881.0,11897.0,13667.0,38445.0
SNACKPACK_STRAWBERRY,4280.0,16377.0,13292.0,33949.0
SNACKPACK_VANILLA,17305.0,4699.0,6668.0,28672.0
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,8899.0,18032.0,21602.0,48533.0
TRANSLATOR_GRAPHITE_MIST,21391.0,18599.0,19366.0,59356.0
TRANSLATOR_SPACE_GRAY,13154.0,9043.0,4736.0,26933.0
TRANSLATOR_VOID_BLUE,14994.0,19651.0,16425.0,51070.0
UV_VISOR_AMBER,14935.0,11046.0,18685.0,44666.0
UV_VISOR_MAGENTA,12935.0,16391.0,35171.0,64497.0
UV_VISOR_ORANGE,0.0,9295.0,18059.0,27354.0
UV_VISOR_RED,0.0,0.0,0.0,0.0
UV_VISOR_YELLOW,0.0,0.0,21932.0,21932.0
