product,category,signal,best_params,day_2_pnl,day_3_pnl,day_4_pnl,total_pnl,positive_days,sign_flips_by_day,max_drawdown,turnover,max_lucky_segment_share,param_median_pnl,param_p25_pnl,param_positive_rate,sensitivity_ratio,stability_score
GALAXY_SOUNDS_DARK_MATTER,galaxy,mean_reversion,"((700,), 2.0)",-8160.0,-16300.0,-15330.0,-39790.0,0,False,17180.0,6340.0,1.0,-109010.0,-127550.0,0.0,-1.0,0.0
GALAXY_SOUNDS_DARK_MATTER,galaxy,momentum,"((500,), 2.0)",-57920.0,-18820.0,-5635.0,-82375.0,0,False,60955.0,11490.0,1.0,-169960.0,-356385.0,0.0,-1.0,0.0
GALAXY_SOUNDS_DARK_MATTER,galaxy,basket_residual,"((700,), 2.0)",-15300.0,-15960.0,-15345.0,-46605.0,0,False,16470.0,6950.0,1.0,-113910.0,-130030.0,0.0,-1.0,0.0
GALAXY_SOUNDS_DARK_MATTER,galaxy,lead_lag,"((500, -1), 2.0)",-25980.0,-22250.0,-23225.0,-71455.0,0,False,29080.0,13990.0,1.0,-187445.0,-328325.0,0.0,-1.0,0.0
GALAXY_SOUNDS_DARK_MATTER,galaxy,imbalance,"((), 0.5)",-18640.0,-17580.0,-18380.0,-54600.0,0,False,18705.0,15840.0,1.0,-66010.0,-66750.0,0.0,-1.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,galaxy,mean_reversion,"((700,), 2.0)",-21295.0,-22510.0,-19095.0,-62900.0,0,False,22760.0,7400.0,1.0,-135135.0,-149590.0,0.0,-1.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,galaxy,momentum,"((500,), 1.0)",-7075.0,-34820.0,-25205.0,-67100.0,0,False,49825.0,11370.0,1.0,-169310.0,-392160.0,0.0,-1.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,galaxy,basket_residual,"((700,), 2.0)",-18405.0,-26700.0,-17395.0,-62500.0,0,False,27115.0,7100.0,1.0,-135105.0,-150770.0,0.0,-1.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,galaxy,lead_lag,"((500, -1), 2.0)",-27715.0,-9780.0,-26495.0,-63990.0,0,False,39510.0,11230.0,1.0,-176980.0,-392460.0,0.0,-1.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,galaxy,imbalance,"((), 0.5)",-15170.0,-19870.0,-20650.0,-55690.0,0,False,21260.0,15840.0,1.0,-69720.0,-70230.0,0.0,-1.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,mean_reversion,"((700,), 2.0)",-20300.0,-14100.0,-18510.0,-52910.0,0,False,20600.0,6790.0,1.0,-123520.0,-137120.0,0.0,-1.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,momentum,"((500,), 1.0)",1000.0,-39185.0,-2885.0,-41070.0,1,True,44170.0,8650.0,4.66,-143420.0,-368750.0,0.0,-1.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,basket_residual,"((700,), 2.0)",-20660.0,-17710.0,-18790.0,-57160.0,0,False,21080.0,7270.0,1.0,-125150.0,-143220.0,0.0,-1.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,lead_lag,"((500, -1), 1.5)",-9980.0,-30725.0,-55115.0,-95820.0,0,False,56020.0,11890.0,1.0,-141930.0,-360590.0,0.0,-1.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,imbalance,"((), 0.5)",-15580.0,-20180.0,-18010.0,-53770.0,0,False,20180.0,15840.0,1.0,-64670.0,-65225.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,mean_reversion,"((700,), 2.0)",-19460.0,-13970.0,-21895.0,-55325.0,0,False,22385.0,7590.0,1.0,-117575.0,-130935.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,momentum,"((500,), 1.0)",-22145.0,-33430.0,16835.0,-38740.0,1,True,39385.0,9970.0,1.0,-157100.0,-342365.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,basket_residual,"((700,), 2.0)",-20280.0,-14830.0,-20645.0,-55755.0,0,False,21300.0,7750.0,1.0,-120115.0,-136420.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,lead_lag,"((500, -1), 2.0)",-24125.0,-30670.0,-8295.0,-63090.0,0,False,31825.0,11830.0,1.0,-165820.0,-341025.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,imbalance,"((), 0.5)",-16520.0,-17470.0,-14020.0,-48010.0,0,False,17470.0,15840.0,1.0,-61380.0,-61585.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,mean_reversion,"((700,), 2.0)",-19410.0,-21770.0,-11240.0,-52420.0,0,False,21975.0,6780.0,1.0,-122755.0,-139485.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,momentum,"((500,), 1.0)",-10375.0,-17820.0,-66370.0,-94565.0,0,False,66970.0,12330.0,1.0,-193785.0,-397635.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,basket_residual,"((700,), 2.0)",-23310.0,-23900.0,-11130.0,-58340.0,0,False,24205.0,7440.0,1.0,-125395.0,-142995.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,lead_lag,"((500, -1), 1.0)",-24485.0,-40960.0,-23840.0,-89285.0,0,False,42825.0,12910.0,1.0,-188160.0,-409930.0,0.0,-1.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,imbalance,"((), 0.5)",-17880.0,-21060.0,-19510.0,-58450.0,0,False,21135.0,15840.0,1.0,-70600.0,-71295.0,0.0,-1.0,0.0
SLEEP_POD_SUEDE,sleep,mean_reversion,"((700,), 2.0)",-12540.0,-6450.0,-7300.0,-26290.0,0,False,13365.0,8480.0,1.0,-80230.0,-93350.0,0.0,-1.0,0.0
SLEEP_POD_SUEDE,sleep,momentum,"((500,), 1.5)",-1270.0,-18200.0,-23285.0,-42755.0,0,False,26005.0,10640.0,1.0,-150355.0,-278445.0,0.0,-1.0,0.0
SLEEP_POD_SUEDE,sleep,basket_residual,"((700,), 2.0)",-10880.0,-10260.0,-9920.0,-31060.0,0,False,11565.0,9160.0,1.0,-77600.0,-98160.0,0.0,-1.0,0.0
SLEEP_POD_SUEDE,sleep,lead_lag,"((500, -1), 2.0)",-14240.0,-42740.0,-2535.0,-59515.0,0,False,46005.0,11490.0,1.0,-147555.0,-254740.0,0.0,-1.0,0.0
SLEEP_POD_SUEDE,sleep,imbalance,"((), 0.5)",-9020.0,-5810.0,-8620.0,-23450.0,0,False,9080.0,8460.0,1.0,-43570.0,-48310.0,0.0,-1.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,mean_reversion,"((700,), 2.0)",-16040.0,-7990.0,-16550.0,-40580.0,0,False,17190.0,6310.0,1.0,-90885.0,-99715.0,0.0,-1.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,momentum,"((500,), 2.0)",-9465.0,-19880.0,-33770.0,-63115.0,0,False,41235.0,12000.0,1.0,-97970.0,-205780.0,0.0,-1.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,basket_residual,"((700,), 2.0)",-19530.0,-15460.0,-10270.0,-45260.0,0,False,20425.0,6870.0,1.0,-91920.0,-112780.0,0.0,-1.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,lead_lag,"((500, -1), 1.0)",-14445.0,-8185.0,-38070.0,-60700.0,0,False,42925.0,12090.0,1.0,-104410.0,-218750.0,0.0,-1.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,imbalance,"((), 0.5)",-7260.0,-6890.0,-5880.0,-20030.0,0,False,7320.0,7860.0,1.0,-37530.0,-41975.0,0.0,-1.0,0.0
SLEEP_POD_POLYESTER,sleep,mean_reversion,"((700,), 2.0)",-16970.0,-9450.0,-8390.0,-34810.0,0,False,17415.0,7660.0,1.0,-76590.0,-91590.0,0.0,-1.0,0.0
