product,signal,params,total_pnl,day_2,day_3,day_4
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((100,), 1.0)",-227315.0,-66250.0,-85790.0,-75275.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((100,), 1.5)",-196890.0,-55970.0,-76970.0,-63950.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((100,), 2.0)",-127550.0,-36310.0,-48650.0,-42590.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((300,), 1.0)",-121820.0,-31290.0,-48020.0,-42510.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((300,), 1.5)",-109010.0,-30310.0,-42200.0,-36500.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((300,), 2.0)",-74910.0,-20410.0,-29730.0,-24770.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((700,), 1.0)",-76635.0,-16390.0,-31340.0,-28905.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((700,), 1.5)",-62945.0,-14420.0,-25370.0,-23155.0
GALAXY_SOUNDS_DARK_MATTER,mean_reversion,"((700,), 2.0)",-39790.0,-8160.0,-16300.0,-15330.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((20,), 1.0)",-389535.0,-142610.0,-127370.0,-119555.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((20,), 1.5)",-377815.0,-132710.0,-124520.0,-120585.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((20,), 2.0)",-356385.0,-124260.0,-117090.0,-115035.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((100,), 1.0)",-165310.0,-68940.0,-32580.0,-63790.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((100,), 1.5)",-169960.0,-73000.0,-32370.0,-64590.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((100,), 2.0)",-171190.0,-75290.0,-35130.0,-60770.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((500,), 1.0)",-88515.0,-59350.0,-22850.0,-6315.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((500,), 1.5)",-83445.0,-61360.0,-17860.0,-4225.0
GALAXY_SOUNDS_DARK_MATTER,momentum,"((500,), 2.0)",-82375.0,-57920.0,-18820.0,-5635.0
GALAXY_SOUNDS_DARK_MATTER,basket_residual,"((100,), 1.0)",-218140.0,-63930.0,-76300.0,-77910.0
GALAXY_SOUNDS_DARK_MATTER,basket_residual,"((100,), 1.5)",-193970.0,-55390.0,-71500.0,-67080.0
GALAXY_SOUNDS_DARK_MATTER,basket_residual,"((100,), 2.0)",-130030.0,-39400.0,-45240.0,-45390.0
GALAXY_SOUNDS_DARK_MATTER,basket_residual,"((300,), 1.0)",-123975.0,-31270.0,-46290.0,-46415.0
GALAXY_SOUNDS_DARK_MATTER,basket_residual,"((300,), 1.5)",-113910.0,-29450.0,-42440.0,-42020.0
