name,path,n_products,oval_m,oval_t,oval_e,square_m,square_t,square_e,returncode,total_pnl,day_2,day_3,day_4,stdout_tail
split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p5,research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p5.py,38,1.25,5.5,1.0,0.75,6.0,0.5,0,604354.5,186449.5,201740.5,216164.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p5.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7177    186449.50  runs/backtest-1777386629042-round5-day+2
D+3               3    10000        8744    201740.50  runs/backtest-1777386629042-round5-day+3
D+4               4    10000        7844    216164.50  runs/backtest-1777386629042-round5-day+4
TOTAL             -    30000       23765    604354.50  -
"
split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p5,research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p5.py,38,1.25,5.5,0.5,0.75,6.0,0.5,0,604275.5,186628.5,201066.5,216580.5,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p5.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7180    186628.50  runs/backtest-1777386613288-round5-day+2
D+3               3    10000        8747    201066.50  runs/backtest-1777386613288-round5-day+3
D+4               4    10000        7853    216580.50  runs/backtest-1777386613288-round5-day+4
TOTAL             -    30000       23780    604275.50  -
"
split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p0.py,38,1.25,5.5,1.0,0.75,6.0,0.0,0,603565.5,185898.5,201755.5,215911.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe1p0_sm0p75_st6p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7186    185898.50  runs/backtest-1777386621205-round5-day+2
D+3               3    10000        8747    201755.50  runs/backtest-1777386621205-round5-day+3
D+4               4    10000        7850    215911.50  runs/backtest-1777386621205-round5-day+4
TOTAL             -    30000       23783    603565.50  -
"
split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p0.py,38,1.25,5.5,0.5,0.75,6.0,0.0,0,603486.5,186077.5,201081.5,216327.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p5_sm0p75_st6p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7189    186077.50  runs/backtest-1777386605380-round5-day+2
D+3               3    10000        8750    201081.50  runs/backtest-1777386605380-round5-day+3
D+4               4    10000        7859    216327.50  runs/backtest-1777386605380-round5-day+4
TOTAL             -    30000       23798    603486.50  -
"
split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p5,research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p5.py,38,1.25,5.5,0.0,0.75,6.0,0.5,0,602583.5,184800.5,201216.5,216566.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p5.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7190    184800.50  runs/backtest-1777386597374-round5-day+2
D+3               3    10000        8749    201216.50  runs/backtest-1777386597374-round5-day+3
D+4               4    10000        7855    216566.50  runs/backtest-1777386597374-round5-day+4
TOTAL             -    30000       23794    602583.50  -
"
split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p0.py,38,1.25,5.5,0.0,0.75,6.0,0.0,0,601794.5,184249.5,201231.5,216313.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p0_sm0p75_st6p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7199    184249.50  runs/backtest-1777386589535-round5-day+2
D+3               3    10000        8752    201231.50  runs/backtest-1777386589535-round5-day+3
D+4               4    10000        7861    216313.50  runs/backtest-1777386589535-round5-day+4
TOTAL             -    30000       23812    601794.50  -
"
split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p5,research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p5.py,38,1.25,5.0,0.5,0.75,6.0,0.5,0,599222.5,184729.5,200254.5,214238.5,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p5.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7184    184729.50  runs/backtest-1777386581750-round5-day+2
D+3               3    10000        8757    200254.50  runs/backtest-1777386581750-round5-day+3
D+4               4    10000        7872    214238.50  runs/backtest-1777386581750-round5-day+4
TOTAL             -    30000       23813    599222.50  -
"
split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p0.py,38,1.25,5.0,0.5,0.75,6.0,0.0,0,598433.5,184178.5,200269.5,213985.5,"ng pyo3-macros v0.27.2
   Compiling rust_backtester v0.5.0 (/Users/giordanmasen/Desktop/projects/prosperity/prosperity_rust_backtester)
    Finished `release` profile [optimized] target(s) in 7.97s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p0_oe0p5_sm0p75_st6p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7193    184178.50  runs/backtest-1777386573973-round5-day+2
D+3               3    10000        8760    200269.50  runs/backtest-1777386573973-round5-day+3
D+4               4    10000        7878    213985.50  runs/backtest-1777386573973-round5-day+4
TOTAL             -    30000       23831    598433.50  -
"
split_om1p25_ot5p5_oe1p0_sm0p75_st6p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p5_se0p0.py,38,1.25,5.5,1.0,0.75,6.5,0.0,0,594591.5,186519.5,196691.5,211380.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st6p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe1p0_sm0p75_st6p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7182    186519.50  runs/backtest-1777386629035-round5-day+2
D+3               3    10000        8733    196691.50  runs/backtest-1777386629035-round5-day+3
D+4               4    10000        7843    211380.50  runs/backtest-1777386629035-round5-day+4
TOTAL             -    30000       23758    594591.50  -
"
split_om1p25_ot5p5_oe0p5_sm0p75_st6p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p5_se0p0.py,38,1.25,5.5,0.5,0.75,6.5,0.0,0,594512.5,186698.5,196017.5,211796.5,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st6p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p5_sm0p75_st6p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7185    186698.50  runs/backtest-1777386613277-round5-day+2
D+3               3    10000        8736    196017.50  runs/backtest-1777386613277-round5-day+3
D+4               4    10000        7852    211796.50  runs/backtest-1777386613277-round5-day+4
TOTAL             -    30000       23773    594512.50  -
"
