product,static
GALAXY_SOUNDS_BLACK_HOLES,21897.0
GALAXY_SOUNDS_DARK_MATTER,31738.0
GALAXY_SOUNDS_PLANETARY_RINGS,13646.0
GALAXY_SOUNDS_SOLAR_FLAMES,38566.0
GALAXY_SOUNDS_SOLAR_WINDS,22478.5
MICROCHIP_CIRCLE,23947.0
MICROCHIP_OVAL,839.0
MICROCHIP_RECTANGLE,25900.0
MICROCHIP_SQUARE,45376.0
MICROCHIP_TRIANGLE,-6632.0
OXYGEN_SHAKE_CHOCOLATE,12828.0
OXYGEN_SHAKE_EVENING_BREATH,42310.0
OXYGEN_SHAKE_GARLIC,21607.0
OXYGEN_SHAKE_MINT,28156.0
OXYGEN_SHAKE_MORNING_BREATH,6149.0
PANEL_1X2,14308.0
PANEL_1X4,13235.0
PANEL_2X2,5125.0
PANEL_2X4,27297.0
PANEL_4X4,23874.0
PEBBLES_L,44125.0
PEBBLES_M,19372.0
PEBBLES_S,11628.0
PEBBLES_XL,70539.5
PEBBLES_XS,17219.0
ROBOT_DISHES,12946.5
ROBOT_IRONING,9712.0
ROBOT_LAUNDRY,2133.0
ROBOT_MOPPING,19810.0
ROBOT_VACUUMING,8352.0
SLEEP_POD_COTTON,27794.0
SLEEP_POD_LAMB_WOOL,39968.0
SLEEP_POD_NYLON,2449.0
SLEEP_POD_POLYESTER,37865.0
SLEEP_POD_SUEDE,16904.0
SNACKPACK_CHOCOLATE,20800.0
SNACKPACK_PISTACHIO,13288.0
SNACKPACK_RASPBERRY,43842.5
SNACKPACK_STRAWBERRY,18841.0
SNACKPACK_VANILLA,25132.5
TRANSLATOR_ASTRO_BLACK,16595.0
TRANSLATOR_ECLIPSE_CHARCOAL,31707.0
TRANSLATOR_GRAPHITE_MIST,13185.0
TRANSLATOR_SPACE_GRAY,15981.0
TRANSLATOR_VOID_BLUE,19764.0
UV_VISOR_AMBER,14424.0
UV_VISOR_MAGENTA,23081.0
UV_VISOR_ORANGE,13468.0
UV_VISOR_RED,18418.0
UV_VISOR_YELLOW,14330.0
