product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
MICROCHIP_TRIANGLE,microchip,basket_residual,MICROCHIP_TRIANGLE:ridge_microchip,"{""threshold"": 187.9415085654873, ""mult"": 0.6, ""resid_std"": 313.236}",2404.0,5249.5,5507.5,13161.0,4387.0,1406.143129272408,3,9713.5,7700.0,374.81315119461436,8.635433333333333,15850,0.0,1391.7069659729348
MICROCHIP_CIRCLE,microchip,basket_residual,MICROCHIP_CIRCLE:ridge_microchip,"{""threshold"": 499.9886137130577, ""mult"": 1.4, ""resid_std"": 357.135}",1523.5,2799.0,4318.0,8640.5,2880.1666666666665,1142.2926021334854,3,3678.5,3050.0,605.804513640754,8.262166666666667,5342,0.0,1347.0764752799007
ROBOT_LAUNDRY,robot,basket_residual,ROBOT_LAUNDRY:ridge_robot,"{""threshold"": 447.4854147848067, ""mult"": 1.4, ""resid_std"": 319.632}",2317.5,5821.0,1982.0,10120.5,3373.5,1736.0553466599695,3,4364.0,4920.0,548.6747139786534,7.165066666666666,5080,0.0,1283.7040246710199
MICROCHIP_RECTANGLE,microchip,basket_residual,MICROCHIP_RECTANGLE:ridge_microchip,"{""threshold"": 461.4759753377484, ""mult"": 1.4, ""resid_std"": 329.626}",4681.5,1611.0,3622.0,9914.5,3304.8333333333335,1273.4306899954242,3,5785.0,4770.0,590.3588599686119,7.885766666666667,4722,0.0,1234.2433848363078
MICROCHIP_CIRCLE,microchip,basket_residual,MICROCHIP_CIRCLE:ridge_microchip,"{""threshold"": 357.1347240807555, ""mult"": 1.0, ""resid_std"": 357.135}",2826.0,1901.5,3215.0,7942.5,2647.5,550.8885247186282,3,5761.5,3410.0,508.6603512911349,8.262166666666667,10418,0.0,1075.7424589328916
ROBOT_IRONING,robot,basket_residual,ROBOT_IRONING:ridge_robot,"{""threshold"": 369.0771556536431, ""mult"": 1.0, ""resid_std"": 369.077}",1782.0,9575.5,1778.0,13135.5,4378.5,3674.8343046546556,3,4995.0,5730.0,505.0729259194643,6.392933333333333,11297,0.0,887.7177019744739
SLEEP_POD_POLYESTER,sleep,basket_residual,SLEEP_POD_POLYESTER:ridge_sleep,"{""threshold"": 458.2293109365741, ""mult"": 1.4, ""resid_std"": 327.307}",2045.0,4295.0,3128.5,9468.5,3156.1666666666665,918.7669575154639,3,4321.5,2560.0,602.0946454427981,10.2957,4857,1693.5,801.8381442816149
MICROCHIP_TRIANGLE,microchip,basket_residual,MICROCHIP_TRIANGLE:ridge_microchip,"{""threshold"": 438.5301866528037, ""mult"": 1.4, ""resid_std"": 313.236}",953.5,8912.5,3033.5,12899.5,4299.833333333333,3370.3729104589534,3,6586.5,3440.0,577.7186461008399,8.635433333333333,5175,0.0,729.8709415350132
MICROCHIP_TRIANGLE,microchip,basket_residual,MICROCHIP_TRIANGLE:ridge_microchip,"{""threshold"": 313.23584760914554, ""mult"": 1.0, ""resid_std"": 313.236}",2259.0,5520.0,8030.0,15809.0,5269.666666666667,2362.64122446798,3,8260.0,5880.0,483.96664386064475,8.635433333333333,9064,2648.0,652.1098707624799
MICROCHIP_RECTANGLE,microchip,basket_residual,MICROCHIP_RECTANGLE:ridge_microchip,"{""threshold"": 329.62569666982034, ""mult"": 1.0, ""resid_std"": 329.626}",3123.5,1111.5,5606.5,9841.5,3280.5,1838.4310339707245,3,6790.0,6050.0,487.1633947196409,7.885766666666667,9874,0.0,618.619827919029
ROBOT_IRONING,robot,basket_residual,ROBOT_IRONING:ridge_robot,"{""threshold"": 516.7080179151003, ""mult"": 1.4, ""resid_std"": 369.077}",1249.0,4218.0,1064.5,6531.5,2177.1666666666665,1445.0514600602369,3,4686.0,2560.0,606.5680352551268,6.392933333333333,4821,0.0,254.6032176275125
