product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
MICROCHIP_CIRCLE,microchip,basket_residual,MICROCHIP_CIRCLE:ridge_microchip,"{""threshold"": 357.1347240807555, ""mult"": 1.0, ""resid_std"": 357.135}",2826.0,1901.5,3215.0,7942.5,2647.5,550.8885247186282,3,5761.5,3410.0,508.6603512911349,8.262166666666667,10418,0.0,1075.7424589328916
MICROCHIP_TRIANGLE,microchip,basket_residual,MICROCHIP_TRIANGLE:ridge_microchip,"{""threshold"": 438.5301866528037, ""mult"": 1.4, ""resid_std"": 313.236}",953.5,8912.5,3033.5,12899.5,4299.833333333333,3370.3729104589534,3,6586.5,3440.0,577.7186461008399,8.635433333333333,5175,0.0,729.8709415350132
MICROCHIP_TRIANGLE,microchip,basket_residual,MICROCHIP_TRIANGLE:ridge_microchip,"{""threshold"": 313.23584760914554, ""mult"": 1.0, ""resid_std"": 313.236}",2259.0,5520.0,8030.0,15809.0,5269.666666666667,2362.64122446798,3,8260.0,5880.0,483.96664386064475,8.635433333333333,9064,2648.0,652.1098707624799
MICROCHIP_RECTANGLE,microchip,basket_residual,MICROCHIP_RECTANGLE:ridge_microchip,"{""threshold"": 329.62569666982034, ""mult"": 1.0, ""resid_std"": 329.626}",3123.5,1111.5,5606.5,9841.5,3280.5,1838.4310339707245,3,6790.0,6050.0,487.1633947196409,7.885766666666667,9874,0.0,618.619827919029
ROBOT_IRONING,robot,basket_residual,ROBOT_IRONING:ridge_robot,"{""threshold"": 516.7080179151003, ""mult"": 1.4, ""resid_std"": 369.077}",1249.0,4218.0,1064.5,6531.5,2177.1666666666665,1445.0514600602369,3,4686.0,2560.0,606.5680352551268,6.392933333333333,4821,0.0,254.6032176275125
ROBOT_LAUNDRY,robot,basket_residual,ROBOT_LAUNDRY:ridge_robot,"{""threshold"": 319.63243913200483, ""mult"": 1.0, ""resid_std"": 319.632}",2778.0,4446.5,208.0,7432.5,2477.5,1743.3580144843074,3,5655.5,4690.0,463.1191149077239,7.165066666666666,10865,0.0,128.7972905852001
OXYGEN_SHAKE_GARLIC,oxygen,participant_flow,OXYGEN_SHAKE_GARLIC:flow_0.9,"{""threshold"": 7.5273, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0546,0,0.0,0.0
SNACKPACK_STRAWBERRY,snack,participant_flow,SNACKPACK_STRAWBERRY:flow_0.9,"{""threshold"": 8.913233333333332, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.826466666666665,0,0.0,0.0
SNACKPACK_RASPBERRY,snack,participant_flow,SNACKPACK_RASPBERRY:flow_0.9,"{""threshold"": 8.421233333333333, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.842466666666667,0,0.0,0.0
UV_VISOR_YELLOW,visor,participant_flow,UV_VISOR_YELLOW:flow_0.97,"{""threshold"": 13.909966666666667, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.909966666666667,0,0.0,0.0
SNACKPACK_PISTACHIO,snack,participant_flow,SNACKPACK_PISTACHIO:flow_0.9,"{""threshold"": 7.962816666666667, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.925633333333334,0,0.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,participant_flow,SLEEP_POD_LAMB_WOOL:flow_0.97,"{""threshold"": 9.4001, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.4001,0,0.0,0.0
SNACKPACK_PISTACHIO,snack,participant_flow,SNACKPACK_PISTACHIO:flow_0.9,"{""threshold"": 15.925633333333334, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.925633333333334,0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,participant_flow,GALAXY_SOUNDS_SOLAR_FLAMES:flow_0.97,"{""threshold"": 14.071533333333333, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.071533333333333,0,0.0,0.0
SNACKPACK_PISTACHIO,snack,participant_flow,SNACKPACK_PISTACHIO:flow_0.99,"{""threshold"": 15.925633333333334, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.925633333333334,0,0.0,0.0
SLEEP_POD_LAMB_WOOL,sleep,participant_flow,SLEEP_POD_LAMB_WOOL:flow_0.9,"{""threshold"": 9.4001, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.4001,0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,participant_flow,GALAXY_SOUNDS_SOLAR_FLAMES:flow_0.99,"{""threshold"": 14.071533333333333, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.071533333333333,0,0.0,0.0
SNACKPACK_STRAWBERRY,snack,participant_flow,SNACKPACK_STRAWBERRY:flow_0.97,"{""threshold"": 8.913233333333332, ""decay"": 0.97, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.826466666666665,0,0.0,0.0
SNACKPACK_STRAWBERRY,snack,participant_flow,SNACKPACK_STRAWBERRY:flow_0.99,"{""threshold"": 17.826466666666665, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.826466666666665,0,0.0,0.0
SNACKPACK_PISTACHIO,snack,participant_flow,SNACKPACK_PISTACHIO:flow_0.97,"{""threshold"": 15.925633333333334, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.925633333333334,0,0.0,0.0
SNACKPACK_STRAWBERRY,snack,participant_flow,SNACKPACK_STRAWBERRY:flow_0.97,"{""threshold"": 17.826466666666665, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.826466666666665,0,0.0,0.0
