day,product,mid_start,mid_end,net_move,mid_mean,mid_std,ret_vol,abs_ret_mean,mean_reversion_score,avg_spread,median_spread,avg_top_depth,avg_total_depth,avg_abs_imbalance,jump_95,jump_99,max_abs_jump,adf_t_mid,stationary_mid_5pct,trade_volume,trade_count,ret_ac1,ret_ac2,ret_ac5,ret_ac10,ret_ac20,momentum_5,momentum_20,momentum_100
2,UV_VISOR_AMBER,10000.0,8500.5,-1499.5,9177.2059,414.7335307220649,9.14646125690845,7.292779277927793,0.007275599859833036,11.8268,12.0,36.5445,99.1411,0.0012209915171441231,18.0,23.5,42.0,-1.4587186182165874,False,562,229,-0.007275599859833036,0.01353434414447803,0.004814653051473986,0.009080773421455884,-0.004727029427626678,0.0037607293639403,-0.0007760105729533841,-0.0012984539104776544
2,UV_VISOR_MAGENTA,10000.0,11299.5,1299.5,10398.9058,429.38622803527363,10.503547912991444,8.356785678567856,0.007793249293598919,13.2634,13.0,36.5445,99.1411,0.0012209915171441231,20.5,27.5,45.0,-0.4481977981924705,False,562,229,-0.007793249293598919,0.001929674456429252,0.009112335131897912,0.0010482108635200284,0.005184631495136046,-0.001743294026816747,-0.009067188321488477,-0.027876131942972903
2,UV_VISOR_ORANGE,10000.0,10154.5,154.5,9876.90115,220.6692471860941,9.978416364982102,7.924642464246425,0.0037310661815114104,12.6553,13.0,36.5445,99.1411,0.0012209915171441231,20.0,26.0,37.0,-2.0990680449448686,False,562,229,-0.0037310661815114104,0.021545738905518898,-0.011084233099570285,0.002476707570702371,0.019883471744122118,-0.0005254044730603908,0.000919640269570562,-0.009195576027824559
2,UV_VISOR_RED,10000.0,10842.0,842.0,10777.55565,280.9460106107177,10.800438629908738,8.668466846684668,0.0015697893003740232,13.7181,14.0,36.5445,99.1411,0.0012209915171441231,21.0,27.0,45.0,-2.913235500167383,True,562,229,-0.0015697893003740232,0.0066425271426373625,-0.024712895662136053,0.020007454723349267,0.004150953656182834,-0.00136742335904518,-0.010954059421801705,-0.0038427302946573974
2,UV_VISOR_YELLOW,10000.0,11567.5,1567.5,10790.3959,680.581791677672,10.776321955643642,8.540604060406041,-0.014943177042930817,13.7314,14.0,36.5445,99.1411,0.0012209915171441231,21.0,28.0,47.5,-0.8302784342797564,False,562,229,0.014943177042930817,0.02079481265993449,-0.002724328280314026,-0.006824818493613783,-0.0011746050459964794,0.009702226482507752,-0.0008885584856299653,-0.02760958951652336
3,UV_VISOR_AMBER,8497.0,7388.0,-1109.0,7672.90135,254.75422860705865,7.7181187407091345,6.165316531653166,0.0005385897209007594,10.0387,10.0,36.5868,99.3298,0.0013293951006657445,15.0,19.5,35.5,-3.1437183539586426,True,649,255,-0.0005385897209007594,-0.023816933088182085,0.005964635510158678,0.004192654884687335,0.007398122378321219,0.0026356108167962427,-0.00445029897578544,-0.00023489340570956126
3,UV_VISOR_MAGENTA,11328.5,11582.5,254.0,11358.40575,260.07839691511765,11.599306408850238,9.24022402240224,-0.0004153559676784238,14.3765,15.0,36.5868,99.3298,0.0013293951006657445,23.0,30.0,48.5,-2.081608750949116,False,649,255,0.0004153559676784238,0.01057345344859344,-0.01713273667552504,-0.004011256756621274,-0.010773358086283182,0.0005965957745412219,-0.013166864470595568,-0.02207042878987863
3,UV_VISOR_ORANGE,10167.5,10281.5,114.0,10574.22955,306.81640916319566,10.578332105677932,8.446644664466447,-0.009135381117598596,13.4513,14.0,36.5868,99.3298,0.0013293951006657445,21.0,27.5,45.0,-1.784191400454201,False,649,255,0.009135381117598596,0.010004292921629469,-0.009452621867918532,0.018442643842375598,-0.004644482207358163,-0.014023580626918658,0.0064133722008044855,-0.001157040688129164
3,UV_VISOR_RED,10849.0,11031.0,182.0,10624.18825,280.64923915260755,10.486418131249346,8.345334533453345,0.015540787022723695,13.5135,14.0,36.5868,99.3298,0.0013293951006657445,20.5,27.0,46.0,-1.5797382092306294,False,649,255,-0.015540787022723695,0.0003555744845107601,-0.005851845578406045,-0.015830924439985523,-0.016530079647104217,-0.025887811962313885,-0.01501326801980779,0.008336484289102305
3,UV_VISOR_YELLOW,11578.5,12044.5,466.0,11408.83865,254.68008597292703,11.527387661107404,9.211421142114212,0.009808691140937381,14.4349,15.0,36.5868,99.3298,0.0013293951006657445,22.5,29.5,48.0,-1.5406203486712398,False,649,255,-0.009808691140937381,-0.017650360738969598,0.0020494783548830465,0.0074865850888217265,-0.011852618495867502,-0.01566662513030431,-0.012854226749906834,-0.00028092543980544175
4,UV_VISOR_AMBER,7385.0,7130.0,-255.0,6884.9815,178.46610436648749,7.000028551723271,5.5834583458345834,0.0036347801318349455,9.096,9.0,36.4875,98.9347,0.0013648663745495931,14.0,18.0,27.5,-2.638561727848102,False,594,249,-0.0036347801318349455,0.004858048985460909,0.006810729458917564,0.010611595202775336,0.009734493237414968,0.005758935556185893,0.010165351685085205,0.01189422266426313
4,UV_VISOR_MAGENTA,11580.5,11531.5,-49.0,11578.06715,301.42570048998397,11.471453064504946,9.125312531253126,0.002877561212319867,14.6349,15.0,36.4071,98.9347,0.0013648663745495931,22.5,29.5,49.0,-1.9023859057617485,False,594,249,-0.002877561212319867,-9.28034014662779e-05,0.012320850303316196,-0.006125603909681931,0.0029189530934528728,0.0036766629674482784,5.358684146491357e-05,0.0014173798994070238
