a,b,mean,min,max,std
UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.006646059123239679,0.00017606527519590368,0.012986585807876462,0.0064062415181881825
UV_VISOR_AMBER,UV_VISOR_ORANGE,0.004415094455558989,0.0015708554017594208,0.008501351633531799,0.003628346905993678
UV_VISOR_AMBER,UV_VISOR_RED,-0.0014436937171396797,-0.010906848135448396,0.01012748961778659,0.010674440529332835
UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.006597775494307787,0.0005674289774416782,0.012031608812521116,0.005755321521851384
UV_VISOR_ORANGE,UV_VISOR_RED,0.01960034924775953,0.004885129497897948,0.02907666582585291,0.01291867591160423
UV_VISOR_RED,UV_VISOR_MAGENTA,0.0053489700699866334,-0.012781424581416127,0.016669141962719864,0.015862481456558768
UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.002104749021613305,-0.007056267389756611,0.006717778703175177,0.007659609749979319
UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.00909471837887216,-0.0042915979026519275,0.02213928556033034,0.013218755406390734
UV_VISOR_YELLOW,UV_VISOR_ORANGE,0.004478169328373185,-0.005006023614130408,0.009856762567578226,0.00823817728405933
UV_VISOR_YELLOW,UV_VISOR_RED,0.007676319641833482,-0.008502134652223825,0.01967504812089214,0.01454616747373068
