day,a,b,corr
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.0059757583782584795
2,UV_VISOR_YELLOW,UV_VISOR_ORANGE,-0.005006023614130408
2,UV_VISOR_YELLOW,UV_VISOR_RED,0.011856045456832132
2,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.009436467478938065
2,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.008501351633531799
2,UV_VISOR_AMBER,UV_VISOR_RED,0.01012748961778659
2,UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.00017606527519590368
2,UV_VISOR_ORANGE,UV_VISOR_RED,0.004885129497897948
2,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.012031608812521116
2,UV_VISOR_RED,UV_VISOR_MAGENTA,0.016669141962719864
3,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.007056267389756611
3,UV_VISOR_YELLOW,UV_VISOR_ORANGE,0.009856762567578226
3,UV_VISOR_YELLOW,UV_VISOR_RED,0.01967504812089214
3,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.02213928556033034
3,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.0015708554017594208
3,UV_VISOR_AMBER,UV_VISOR_RED,-0.0035517226337572327
3,UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.006775526286646671
3,UV_VISOR_ORANGE,UV_VISOR_RED,0.02907666582585291
3,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.007194288692960566
3,UV_VISOR_RED,UV_VISOR_MAGENTA,0.012159192828656164
4,UV_VISOR_YELLOW,UV_VISOR_AMBER,0.006717778703175177
4,UV_VISOR_YELLOW,UV_VISOR_ORANGE,0.008583769031671738
4,UV_VISOR_YELLOW,UV_VISOR_RED,-0.008502134652223825
4,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,-0.0042915979026519275
4,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.0031730763313857478
4,UV_VISOR_AMBER,UV_VISOR_RED,-0.010906848135448396
4,UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.012986585807876462
4,UV_VISOR_ORANGE,UV_VISOR_RED,0.024839252419527738
4,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.0005674289774416782
4,UV_VISOR_RED,UV_VISOR_MAGENTA,-0.012781424581416127
