name,path,quote_size,improve,inv_skew,min_edge,n_products,returncode,total_pnl,day_2,day_3,day_4,stdout_tail,use_pebbles,pebble_take_edge,pebble_mm_edge,use_micro_lag,micro_bias_mult,micro_take_edge
micro_totalpos_m1p0_t4p0,research/round5/generated_traders/micro_totalpos_m1p0_t4p0.py,5,1,,,38,0,553471.5,177327.5,181815.5,194328.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_totalpos_m1p0_t4p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_totalpos_m1p0_t4p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7278    177327.50  runs/backtest-1777385598823-round5-day+2
D+3               3    10000        8847    181815.50  runs/backtest-1777385598823-round5-day+3
D+4               4    10000        7918    194328.50  runs/backtest-1777385598823-round5-day+4
TOTAL             -    30000       24043    553471.50  -
",,,,True,1.0,4.0
micro_robust_m1p0_t4p0,research/round5/generated_traders/micro_robust_m1p0_t4p0.py,5,1,,,41,0,549977.5,169729.5,175929.0,204319.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_robust_m1p0_t4p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_robust_m1p0_t4p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7848    169729.50  runs/backtest-1777385545546-round5-day+2
D+3               3    10000        9538    175929.00  runs/backtest-1777385545546-round5-day+3
D+4               4    10000        8528    204319.00  runs/backtest-1777385545546-round5-day+4
TOTAL             -    30000       25914    549977.50  -
",,,,True,1.0,4.0
micro_totalpos_m1p0_t6p0,research/round5/generated_traders/micro_totalpos_m1p0_t6p0.py,5,1,,,38,0,544569.0,164756.5,168868.0,210944.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_totalpos_m1p0_t6p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_totalpos_m1p0_t6p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7173    164756.50  runs/backtest-1777385599809-round5-day+2
D+3               3    10000        8764    168868.00  runs/backtest-1777385599809-round5-day+3
D+4               4    10000        7848    210944.50  runs/backtest-1777385599809-round5-day+4
TOTAL             -    30000       23785    544569.00  -
",,,,True,1.0,6.0
micro_robust_m1p0_t6p0,research/round5/generated_traders/micro_robust_m1p0_t6p0.py,5,1,,,41,0,541075.0,157158.5,162981.5,220935.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_robust_m1p0_t6p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_robust_m1p0_t6p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7743    157158.50  runs/backtest-1777385545527-round5-day+2
D+3               3    10000        9455    162981.50  runs/backtest-1777385545527-round5-day+3
D+4               4    10000        8458    220935.00  runs/backtest-1777385545527-round5-day+4
TOTAL             -    30000       25656    541075.00  -
",,,,True,1.0,6.0
micro_totalpos_m1p0_t2p0,research/round5/generated_traders/micro_totalpos_m1p0_t2p0.py,5,1,,,38,0,525774.5,167732.5,176002.5,182039.5,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_totalpos_m1p0_t2p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_totalpos_m1p0_t2p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7417    167732.50  runs/backtest-1777385598837-round5-day+2
D+3               3    10000        8973    176002.50  runs/backtest-1777385598837-round5-day+3
D+4               4    10000        8053    182039.50  runs/backtest-1777385598837-round5-day+4
TOTAL             -    30000       24443    525774.50  -
",,,,True,1.0,2.0
micro_robust_m1p0_t2p0,research/round5/generated_traders/micro_robust_m1p0_t2p0.py,5,1,,,41,0,522280.5,160134.5,170116.0,192030.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/micro_robust_m1p0_t2p0.py --dataset round5 --products off --artifact-mode none`
trader: micro_robust_m1p0_t2p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7987    160134.50  runs/backtest-1777385545539-round5-day+2
D+3               3    10000        9664    170116.00  runs/backtest-1777385545539-round5-day+3
D+4               4    10000        8663    192030.00  runs/backtest-1777385545539-round5-day+4
TOTAL             -    30000       26314    522280.50  -
",,,,True,1.0,2.0
mm_totalpos_q5_i1_s0p0_e0p0,research/round5/generated_traders/mm_totalpos_q5_i1_s0p0_e0p0.py,5,1,0.0,0.0,38,0,514955.5,159929.0,160076.0,194950.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q5_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q5_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7122    159929.00  runs/backtest-1777385260037-round5-day+2
D+3               3    10000        8699    160076.00  runs/backtest-1777385260037-round5-day+3
D+4               4    10000        7799    194950.50  runs/backtest-1777385260037-round5-day+4
TOTAL             -    30000       23620    514955.50  -
",,,,,,
mm_totalpos_q8_i1_s0p0_e0p0,research/round5/generated_traders/mm_totalpos_q8_i1_s0p0_e0p0.py,8,1,0.0,0.0,38,0,514955.5,159929.0,160076.0,194950.5,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q8_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q8_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7122    159929.00  runs/backtest-1777385274323-round5-day+2
D+3               3    10000        8699    160076.00  runs/backtest-1777385274323-round5-day+3
D+4               4    10000        7799    194950.50  runs/backtest-1777385274323-round5-day+4
TOTAL             -    30000       23620    514955.50  -
",,,,,,
mm_totalpos_q10_i1_s0p0_e0p0,research/round5/generated_traders/mm_totalpos_q10_i1_s0p0_e0p0.py,10,1,0.0,0.0,38,0,514955.5,159929.0,160076.0,194950.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q10_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q10_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7122    159929.00  runs/backtest-1777385288402-round5-day+2
D+3               3    10000        8699    160076.00  runs/backtest-1777385288402-round5-day+3
D+4               4    10000        7799    194950.50  runs/backtest-1777385288402-round5-day+4
TOTAL             -    30000       23620    514955.50  -
",,,,,,
mm_totalpos_q8_i1_s0p0_e1p0,research/round5/generated_traders/mm_totalpos_q8_i1_s0p0_e1p0.py,8,1,0.0,1.0,38,0,512351.5,160130.0,157565.0,194656.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q8_i1_s0p0_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q8_i1_s0p0_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7106    160130.00  runs/backtest-1777385274323-round5-day+2
D+3               3    10000        8663    157565.00  runs/backtest-1777385274323-round5-day+3
D+4               4    10000        7787    194656.50  runs/backtest-1777385274323-round5-day+4
TOTAL             -    30000       23556    512351.50  -
",,,,,,
mm_totalpos_q5_i1_s0p0_e1p0,research/round5/generated_traders/mm_totalpos_q5_i1_s0p0_e1p0.py,5,1,0.0,1.0,38,0,512351.5,160130.0,157565.0,194656.5,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q5_i1_s0p0_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q5_i1_s0p0_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7106    160130.00  runs/backtest-1777385260066-round5-day+2
D+3               3    10000        8663    157565.00  runs/backtest-1777385260066-round5-day+3
D+4               4    10000        7787    194656.50  runs/backtest-1777385260066-round5-day+4
TOTAL             -    30000       23556    512351.50  -
",,,,,,
mm_totalpos_q10_i1_s0p0_e1p0,research/round5/generated_traders/mm_totalpos_q10_i1_s0p0_e1p0.py,10,1,0.0,1.0,38,0,512351.5,160130.0,157565.0,194656.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_totalpos_q10_i1_s0p0_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_totalpos_q10_i1_s0p0_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7106    160130.00  runs/backtest-1777385288418-round5-day+2
D+3               3    10000        8663    157565.00  runs/backtest-1777385288418-round5-day+3
D+4               4    10000        7787    194656.50  runs/backtest-1777385288418-round5-day+4
TOTAL             -    30000       23556    512351.50  -
",,,,,,
mm_robust_q10_i1_s0p0_e0p0,research/round5/generated_traders/mm_robust_q10_i1_s0p0_e0p0.py,10,1,0.0,0.0,41,0,511461.5,152331.0,154189.5,204941.0,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_robust_q10_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_robust_q10_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7692    152331.00  runs/backtest-1777385446182-round5-day+2
D+3               3    10000        9390    154189.50  runs/backtest-1777385446182-round5-day+3
D+4               4    10000        8409    204941.00  runs/backtest-1777385446182-round5-day+4
TOTAL             -    30000       25491    511461.50  -
",,,,,,
mm_robust_q8_i1_s0p0_e0p0,research/round5/generated_traders/mm_robust_q8_i1_s0p0_e0p0.py,8,1,0.0,0.0,41,0,511461.5,152331.0,154189.5,204941.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_robust_q8_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_robust_q8_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7692    152331.00  runs/backtest-1777385431829-round5-day+2
D+3               3    10000        9390    154189.50  runs/backtest-1777385431829-round5-day+3
D+4               4    10000        8409    204941.00  runs/backtest-1777385431829-round5-day+4
TOTAL             -    30000       25491    511461.50  -
",,,,,,
mm_pos2day_q5_i1_s0p0_e0p0,research/round5/generated_traders/mm_pos2day_q5_i1_s0p0_e0p0.py,5,1,0.0,0.0,37,0,511430.5,165642.0,142538.0,203250.5,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.05s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_pos2day_q5_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_pos2day_q5_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        6938    165642.00  runs/backtest-1777385316871-round5-day+2
D+3               3    10000        8486    142538.00  runs/backtest-1777385316871-round5-day+3
D+4               4    10000        7611    203250.50  runs/backtest-1777385316871-round5-day+4
TOTAL             -    30000       23035    511430.50  -
",,,,,,
mm_pos2day_q10_i1_s0p0_e0p0,research/round5/generated_traders/mm_pos2day_q10_i1_s0p0_e0p0.py,10,1,0.0,0.0,37,0,511430.5,165642.0,142538.0,203250.5,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/mm_pos2day_q10_i1_s0p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: mm_pos2day_q10_i1_s0p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        6938    165642.00  runs/backtest-1777385345187-round5-day+2
D+3               3    10000        8486    142538.00  runs/backtest-1777385345187-round5-day+3
D+4               4    10000        7611    203250.50  runs/backtest-1777385345187-round5-day+4
TOTAL             -    30000       23035    511430.50  -
",,,,,,
