strategy,day,pnl,own_trades
v19_vfe_mr_3000,0,229510.50,2090
v19_vfe_mr_3000,1,318073.00,2461
v19_vfe_mr_3000,2,168655.50,2179
v16_hp_smaller_mr,0,229525.50,2090
v16_hp_smaller_mr,1,316469.00,2457
v16_hp_smaller_mr,2,168772.50,2187
v25_worst_mid_fair,0,229384.50,2092
v25_worst_mid_fair,1,316640.00,2457
v25_worst_mid_fair,2,168298.50,2183
v13_dual_informed,0,229114.50,2087
v13_dual_informed,1,316700.00,2446
v13_dual_informed,2,167969.50,2168
v26_worst_mid_target,0,228258.50,2086
v26_worst_mid_target,1,318691.00,2458
v26_worst_mid_target,2,166594.50,2157
v11_hybrid_plus_informed,0,229106.50,2087
v11_hybrid_plus_informed,1,316700.00,2446
v11_hybrid_plus_informed,2,167625.50,2167
v12_hybrid_strong_informed,0,229106.50,2087
v12_hybrid_strong_informed,1,316700.00,2446
v12_hybrid_strong_informed,2,167625.50,2167
v14_high_conviction,0,229106.50,2087
v14_high_conviction,1,316700.00,2446
v14_high_conviction,2,167625.50,2167
v18_both_mr_smaller,0,229667.50,2089
v18_both_mr_smaller,1,314391.00,2455
v18_both_mr_smaller,2,168809.50,2186
v17_hp_mr500,0,228889.50,2104
v17_hp_mr500,1,312604.00,2461
v17_hp_mr500,2,167708.50,2199
v24_partial_hedge,0,228508.50,2088
v24_partial_hedge,1,307599.00,2434
v24_partial_hedge,2,170047.50,2174
v22_negskew_stable,0,221516.50,2087
v22_negskew_stable,1,307593.00,2470
v22_negskew_stable,2,167053.50,2250
v15_hp_cap_150,0,218538.50,2035
v15_hp_cap_150,1,300116.00,2392
v15_hp_cap_150,2,162400.50,2133
v23_delta_hedge,0,222891.50,2072
v23_delta_hedge,1,290118.00,2406
v23_delta_hedge,2,166334.50,2163
hybrid,0,216128.50,1867
hybrid,1,242150.00,1797
hybrid,2,208328.50,2159
v21_safe_structural,0,208398.50,2309
v21_safe_structural,1,267532.00,2541
v21_safe_structural,2,172814.50,2357
v10_full_limits,0,62365.50,818
v10_full_limits,1,118255.00,880
v10_full_limits,2,70478.50,843
v20_structural,0,46227.50,872
v20_structural,1,62599.50,819
v20_structural,2,67917.00,890
v09_hybrid_informed_ema,0,32356.50,624
v09_hybrid_informed_ema,1,59637.00,649
v09_hybrid_informed_ema,2,36091.50,642
v03_iv_scalp_dual_mr,0,31765.50,611
v03_iv_scalp_dual_mr,1,59382.00,655
v03_iv_scalp_dual_mr,2,36779.50,642
v07_v03_plus_pos_reduce,0,31765.50,611
v07_v03_plus_pos_reduce,1,59382.00,655
v07_v03_plus_pos_reduce,2,36779.50,642
v01_bs_smile_flow,0,31749.50,621
v01_bs_smile_flow,1,59196.00,669
v01_bs_smile_flow,2,36941.50,649
v08_ema_trend_inf,0,32218.50,614
v08_ema_trend_inf,1,59516.00,658
v08_ema_trend_inf,2,36091.50,642
v02_inventory_aware,0,31720.50,615
v02_inventory_aware,1,59129.00,663
v02_inventory_aware,2,36685.50,644
v04_p3_clean_mm,0,7652.00,1285
v04_p3_clean_mm,1,22766.50,1314
v04_p3_clean_mm,2,31517.00,1384
v05_informed_flow,0,7954.00,1502
v05_informed_flow,1,19106.50,1567
v05_informed_flow,2,29362.00,1584
v06_targeted_p3_informed,0,4670.00,1587
v06_targeted_p3_informed,1,14765.50,1658
v06_targeted_p3_informed,2,26262.00,1691
