source_family,signals_tested,product_signal_rows,median_directed_corr_fwd1,max_directed_corr_fwd1,median_positive_day_fraction,viable_rows_corr_ge_0p03,top_examples
book_depth,1,12,0.18024888048061466,0.4755734011882356,1.0,9,VEV_4000:depth_ratio_l3=0.476; VEV_4500:depth_ratio_l3=0.409; HYDROGEL_PACK:depth_ratio_l3=0.327; VELVETFRUIT_EXTRACT:depth_ratio_l3=0.321; VEV_5000:depth_ratio_l3=0.199
book_imbalance,4,48,0.22844993723287527,0.4827603218532406,1.0,35,VEV_4000:imbalance_l1=0.483; VEV_4000:imbalance_l3=0.475; VEV_4000:book_pressure_3=0.474; VEV_4500:imbalance_l3=0.409; VEV_4500:book_pressure_3=0.406
book_order_flow,5,60,0.019742588637995724,0.1654186883643557,1.0,18,VEV_5400:ofi_l1=0.165; VEV_5500:ofi_l1=0.156; VEV_5500:ofi_l1_roll_3=0.146; VEV_5500:ofi_l1_roll_5=0.144; VEV_5400:ofi_l1_roll_3=0.131
book_shape,1,12,0.3042638047725844,0.4941594290317876,1.0,10,VEV_4000:book_slope_skew=0.494; VEV_4500:book_slope_skew=0.430; VEV_5300:book_slope_skew=0.355; VELVETFRUIT_EXTRACT:book_slope_skew=0.353; HYDROGEL_PACK:book_slope_skew=0.318
book_walls,1,12,0.2862299225602041,0.48017027669542406,1.0,10,VEV_4000:wall_skew_1=0.480; VEV_4500:wall_skew_1=0.406; VEV_5300:wall_skew_1=0.354; HYDROGEL_PACK:wall_skew_1=0.321; VEV_5500:wall_skew_1=0.288
composite_book,2,24,0.23860405216804642,0.5013735840577208,1.0,20,VEV_4000:micro_l1_plus_inv_imb_l3=0.501; VEV_4000:micro_l3_plus_ofi_10=0.487; VEV_4500:micro_l1_plus_inv_imb_l3=0.428; VEV_4500:micro_l3_plus_ofi_10=0.403; VELVETFRUIT_EXTRACT:micro_l1_plus_inv_imb_l3=0.351
composite_options,1,12,0.0043093070755064085,0.22697117879644343,0.6666666666666666,3,VELVETFRUIT_EXTRACT:under_micro_plus_option_price_resid=0.227; VEV_4500:under_micro_plus_option_price_resid=0.095; VEV_4000:under_micro_plus_option_price_resid=0.093; VEV_5400:under_micro_plus_option_price_resid=0.007; VEV_5500:under_micro_plus_option_price_resid=0.005
cross_product_book,4,48,0.0029096855927420516,0.32679981854907764,0.6666666666666666,6,HYDROGEL_PACK:xprod_HYDROGEL_PACK_imbalance_l3=0.327; VELVETFRUIT_EXTRACT:xprod_VELVETFRUIT_EXTRACT_imbalance_l3=0.321; HYDROGEL_PACK:xprod_HYDROGEL_PACK_micro_edge_l1=0.297; VELVETFRUIT_EXTRACT:xprod_VELVETFRUIT_EXTRACT_micro_edge_l1=0.227; VEV_4500:xprod_VELVETFRUIT_EXTRACT_micro_edge_l1=0.098
cross_product_lead_lag,33,396,0.006064203908841558,0.2841341261145195,0.6666666666666666,33,VEV_4000:xprod_VEV_4000_ret_lag_1=0.284; VEV_5400:xprod_VEV_5400_ret_lag_1=0.254; VEV_5500:xprod_VEV_5500_ret_lag_1=0.245; VEV_4500:xprod_VEV_4500_ret_lag_1=0.225; VEV_4000:xprod_VEV_4500_ret_lag_1=0.214
cross_underlying,2,24,0.003233921352115983,0.32085381597842344,0.6666666666666666,4,VELVETFRUIT_EXTRACT:underlying_imbalance_l3=0.321; VELVETFRUIT_EXTRACT:underlying_micro_edge_l1=0.227; VEV_4500:underlying_micro_edge_l1=0.098; VEV_4000:underlying_micro_edge_l1=0.095; VEV_5300:underlying_imbalance_l3=0.010
