variant_id,k_micro,k_imbalance,threshold,max_order_clip,passive_offset,return_code,run_kind,artifact_mode,run_id,flat_dir,stdout_tail,stderr_tail,rust_final_pnl_total,own_trade_count,turnover_units,notional_turnover
hydro_k1_imb1_thr0_clip20_po0,1.0,1.0,0.0,20,0,0,rank,none,hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251,trader: hydro_k1_imb1_thr0_clip20_po0.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251/round3-day-0-*\nD+1               1    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251/round3-day+1-*\nD+2               2    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po0-rank-1777185821251/round3-day+2-*\nTOTAL             -    30000           0         0.00  -\n,,0.0,0,,
hydro_k1_imb1_thr0_clip20_po1,1.0,1.0,0.0,20,1,0,rank,none,hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618,trader: hydro_k1_imb1_thr0_clip20_po1.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           6       981.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618/round3-day-0-*\nD+1               1    10000           3      -454.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618/round3-day+1-*\nD+2               2    10000           3      -276.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0_clip20_po1-rank-1777185822618/round3-day+2-*\nTOTAL             -    30000          12       251.00  -\n,,251.0,12,,
hydro_k1_imb1_thr0p1_clip20_po0,1.0,1.0,0.1,20,0,0,rank,none,hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143,trader: hydro_k1_imb1_thr0p1_clip20_po0.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143/round3-day-0-*\nD+1               1    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143/round3-day+1-*\nD+2               2    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po0-rank-1777185824143/round3-day+2-*\nTOTAL             -    30000           0         0.00  -\n,,0.0,0,,
hydro_k1_imb1_thr0p1_clip20_po1,1.0,1.0,0.1,20,1,0,rank,none,hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558,trader: hydro_k1_imb1_thr0p1_clip20_po1.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           6       981.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558/round3-day-0-*\nD+1               1    10000           3      -454.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558/round3-day+1-*\nD+2               2    10000           3      -276.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p1_clip20_po1-rank-1777185825558/round3-day+2-*\nTOTAL             -    30000          12       251.00  -\n,,251.0,12,,
hydro_k1_imb1_thr0p2_clip20_po0,1.0,1.0,0.2,20,0,0,rank,none,hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928,trader: hydro_k1_imb1_thr0p2_clip20_po0.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928/round3-day-0-*\nD+1               1    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928/round3-day+1-*\nD+2               2    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po0-rank-1777185826928/round3-day+2-*\nTOTAL             -    30000           0         0.00  -\n,,0.0,0,,
hydro_k1_imb1_thr0p2_clip20_po1,1.0,1.0,0.2,20,1,0,rank,none,hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284,trader: hydro_k1_imb1_thr0p2_clip20_po1.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           6       981.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284/round3-day-0-*\nD+1               1    10000           2      -310.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284/round3-day+1-*\nD+2               2    10000           3      -276.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1_thr0p2_clip20_po1-rank-1777185828284/round3-day+2-*\nTOTAL             -    30000          11       395.00  -\n,,395.0,11,,
hydro_k1_imb1p15_thr0_clip20_po0,1.0,1.15,0.0,20,0,0,rank,none,hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644,trader: hydro_k1_imb1p15_thr0_clip20_po0.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644/round3-day-0-*\nD+1               1    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644/round3-day+1-*\nD+2               2    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po0-rank-1777185829644/round3-day+2-*\nTOTAL             -    30000           0         0.00  -\n,,0.0,0,,
hydro_k1_imb1p15_thr0_clip20_po1,1.0,1.15,0.0,20,1,0,rank,none,hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995,trader: hydro_k1_imb1p15_thr0_clip20_po1.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           6       981.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995/round3-day-0-*\nD+1               1    10000           3      -454.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995/round3-day+1-*\nD+2               2    10000           3      -276.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0_clip20_po1-rank-1777185830995/round3-day+2-*\nTOTAL             -    30000          12       251.00  -\n,,251.0,12,,
hydro_k1_imb1p15_thr0p1_clip20_po0,1.0,1.15,0.1,20,0,0,rank,none,hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591,trader: hydro_k1_imb1p15_thr0p1_clip20_po0.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591/round3-day-0-*\nD+1               1    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591/round3-day+1-*\nD+2               2    10000           0         0.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po0-rank-1777185832591/round3-day+2-*\nTOTAL             -    30000           0         0.00  -\n,,0.0,0,,
hydro_k1_imb1p15_thr0p1_clip20_po1,1.0,1.15,0.1,20,1,0,rank,none,hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055,/Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055,trader: hydro_k1_imb1p15_thr0p1_clip20_po1.py\ndataset: round3\nmode: fast\nartifacts: metrics-only\nbundle: /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055 [flat multi-run output]\nSET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR\nD=0               0    10000           6       981.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055/round3-day-0-*\nD+1               1    10000           3      -454.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055/round3-day+1-*\nD+2               2    10000           3      -276.00  /Users/giordanmasen/Desktop/projects/prosperity/analysis/round3_hydrogel_fine_tuning/rust_runs/hydro_k1_imb1p15_thr0p1_clip20_po1-rank-1777185834055/round3-day+2-*\nTOTAL             -    30000          12       251.00  -\n,,251.0,12,,
