variant_id,k_micro,k_imbalance,threshold,max_order_clip,passive_offset,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,turnover_units,notional_turnover,turnover_units_per_trade,turnover_collected,beats_previous_coarse_combined
hydro_k1_imb1_thr0p2_clip20_po1,1.0,1.0,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1_imb1p15_thr0p2_clip20_po1,1.0,1.15,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1_imb1p25_thr0p2_clip20_po1,1.0,1.25,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1_imb1p35_thr0p2_clip20_po1,1.0,1.35,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p1_imb1_thr0p2_clip20_po1,1.1,1.0,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p1_imb1p15_thr0p2_clip20_po1,1.1,1.15,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p1_imb1p25_thr0p2_clip20_po1,1.1,1.25,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p1_imb1p35_thr0p2_clip20_po1,1.1,1.35,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p2_imb1_thr0p2_clip20_po1,1.2,1.0,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p2_imb1p15_thr0p2_clip20_po1,1.2,1.15,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p2_imb1p25_thr0p2_clip20_po1,1.2,1.25,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p2_imb1p35_thr0p2_clip20_po1,1.2,1.35,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
hydro_k1p25_imb1_thr0p2_clip20_po1,1.25,1.0,0.2,20,1,395.0,981.0,-310.0,-276.0,131.66666666666666,600.7297414164061,-310.0,1,0.21917787249221687,11,52,519369.0,4.7272727272727275,True,False
